POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3413,62,4,11,4,5,0,0,21,0,113
POA3414,123,96,76,86,60,48,86,84,11,654
POA3415,9,0,4,0,0,0,9,6,0,26
POA3418,354,180,144,115,111,67,97,262,28,1351
POA3419,118,64,38,41,37,31,26,50,9,413
POA3420,84,14,14,10,7,3,6,13,0,150
POA3423,41,22,19,20,12,7,9,18,0,154
POA3424,95,42,18,27,25,13,24,36,6,290
POA3427,305,578,476,355,483,243,284,271,74,3062
POA3428,47,36,69,17,55,28,40,15,10,321
POA3429,2354,3594,3317,2491,3068,1820,1432,1613,352,20046
POA3430,29,25,30,5,13,15,13,16,4,154
POA3431,311,508,419,257,332,151,120,145,48,2289
POA3432,19,15,15,9,15,5,7,6,8,95
POA3433,22,18,16,3,15,18,3,9,0,109
POA3434,417,524,612,324,443,238,216,291,59,3123
POA3435,220,301,272,189,192,111,103,147,37,1578
POA3437,897,1408,958,663,797,430,275,398,76,5911
POA3438,204,291,173,151,155,96,50,92,15,1229
POA3440,186,330,131,91,115,74,24,57,6,1014
POA3441,154,237,66,65,76,33,12,41,20,708
POA3442,765,1203,489,460,426,259,130,266,59,4053
POA3444,888,1062,654,516,485,353,192,527,83,4763
POA3446,87,165,80,61,53,33,25,37,8,535
POA3447,36,47,46,31,29,30,11,26,5,253
POA3448,80,95,64,45,60,31,31,55,6,468
POA3450,355,950,313,331,273,194,93,280,50,2836
POA3451,370,698,411,346,257,177,121,254,49,2682
POA3453,155,211,132,96,88,70,61,84,7,903
POA3458,208,297,158,114,101,40,39,89,21,1059
POA3460,197,269,176,158,121,83,38,122,23,1178
POA3461,441,476,296,256,175,126,75,225,41,2119
POA3462,75,116,83,50,43,36,35,69,11,522
POA3463,192,221,160,121,110,66,59,117,17,1060
POA3464,69,46,88,82,53,55,41,67,7,512
POA3465,420,421,536,545,335,369,246,583,77,3536
POA3467,82,48,58,71,36,42,51,73,14,469
POA3468,35,14,4,12,8,6,9,14,3,115
