POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3373,0,3,3,3,8,9,3,8,0,39,4,9,4,0,10,5,0,6,22,51,68,176,101,74,166,196,57,146,34,1025
POA3374,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,17,31,15,17,43,37,9,36,7,209
POA3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,17,9,16,16,7,28,0,114
POA3377,7,20,26,9,27,17,3,7,0,127,10,21,6,8,18,16,3,10,28,123,226,572,411,376,758,846,212,439,75,3917
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,5,3,12,3,37,0,82
POA3379,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,9,54,36,32,25,55,26,97,7,341
POA3380,4,9,7,3,12,17,3,4,0,58,8,10,9,3,11,12,5,12,21,80,157,407,272,251,512,525,125,314,50,2624
POA3381,0,7,0,0,0,0,3,0,0,14,5,0,0,0,0,0,0,0,3,13,69,112,87,54,109,104,28,80,14,665
POA3384,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,31,30,17,38,47,16,54,5,252
POA3385,0,3,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,5,7,17,11,41,33,12,21,38,9,56,9,246
POA3387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,13,3,23,27,8,47,8,154
POA3388,0,3,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,3,5,15,31,25,24,24,51,15,47,3,230
POA3390,0,7,0,5,0,3,0,0,0,17,0,0,0,0,3,0,0,0,4,16,9,65,38,36,61,83,23,59,13,375
POA3391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,16,13,10,8,14,0,19,4,83
POA3392,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,7,30,39,14,34,30,12,45,10,229
POA3393,5,8,10,0,12,10,4,3,0,41,0,3,0,0,3,11,0,5,15,31,72,157,132,95,177,226,50,150,29,1086
POA3395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,15,8,5,34,8,32,6,151
POA3396,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,7,10,17,48,44,26,24,63,13,52,6,293
POA3400,18,46,33,19,73,70,20,22,3,299,11,27,16,17,44,39,5,18,52,228,361,998,774,685,1513,1441,396,681,126,6972
POA3401,4,12,10,6,21,27,4,19,0,103,3,12,5,13,6,19,4,9,14,86,111,360,283,210,428,505,144,417,37,2506
POA3407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,11,28,16,13,23,41,7,61,3,205
POA3409,0,0,5,3,7,5,0,0,0,22,0,0,0,0,0,4,0,0,7,16,32,81,51,56,64,101,18,116,17,534
POA3412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,6,12,20,12,23,8,118
POA3413,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,12,8,9,14,22,8,31,0,113
POA3414,0,3,0,0,5,0,0,0,0,10,0,0,0,0,4,4,3,5,8,23,28,90,63,66,144,120,34,102,12,654
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,5,9,0,26
POA3418,3,4,4,4,9,12,4,6,0,41,4,4,4,3,18,8,0,4,9,51,67,146,144,134,238,300,66,243,23,1351
POA3419,0,0,0,0,4,0,0,7,0,14,0,0,3,0,0,0,0,0,7,18,20,62,36,30,41,80,21,102,9,413
POA3420,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,3,18,16,4,13,21,9,58,0,150
POA3423,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,11,27,12,17,21,29,3,39,0,154
POA3424,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,5,0,8,20,4,43,32,26,34,52,20,68,12,290
POA3427,6,15,20,4,22,33,16,13,0,130,8,9,10,4,34,26,0,11,22,127,170,323,334,196,767,750,170,295,53,3062
POA3428,0,0,0,3,8,3,0,0,0,12,0,6,0,0,3,0,0,0,3,10,15,50,33,32,67,77,12,33,8,321
POA3429,66,123,79,48,139,150,50,81,16,751,27,86,45,41,159,157,27,84,125,754,1151,2644,2147,1555,4369,4470,1295,2139,273,20046
POA3430,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,16,16,11,25,37,10,21,8,154
POA3431,7,13,15,3,12,17,8,15,0,92,4,7,11,0,23,17,0,10,16,87,126,319,280,186,413,498,150,275,39,2289
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,13,6,10,14,21,7,15,8,95
POA3433,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,8,0,9,4,17,14,14,9,24,7,21,0,109
POA3434,11,19,24,7,30,30,13,25,4,158,3,20,6,8,27,34,3,20,19,143,193,433,336,211,550,703,220,423,51,3123
POA3435,11,12,12,5,16,23,0,8,0,83,5,5,4,0,8,11,3,10,11,58,99,225,181,124,267,321,101,221,28,1578
POA3437,18,38,25,21,26,36,5,43,3,218,7,30,13,15,34,51,12,22,22,203,299,953,604,473,1011,1259,394,815,104,5911
POA3438,0,8,9,0,8,9,4,7,0,41,0,9,7,0,3,3,4,7,0,32,66,208,132,105,176,263,85,177,11,1229
POA3440,0,5,6,4,0,4,0,3,0,24,0,6,7,4,4,11,4,11,0,41,68,174,126,84,127,206,65,143,13,1014
