POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3753,63,19,5,3,0,0,152,3,21,21,16,6,4,0,0,77,21,174,118,60,21,16,0,0,422,22,147,130,64,37,24,0,0,419,59,220,190,112,76,28,10,0,697,3,5,14,9,6,0,0,0,33,7,15,13,12,14,8,0,0,62,68,236,220,132,96,40,10,0,802,0,4,8,4,3,0,0,0,22,37,40,40,50,26,20,14,0,219,147,683,602,340,199,108,27,4,2117
POA3754,1066,339,133,56,17,4,2349,21,237,358,199,87,41,11,0,956,289,1868,2406,980,343,264,74,11,6241,250,1011,1545,922,429,224,69,8,4456,599,1714,1910,1337,737,425,165,16,6899,107,73,113,75,42,24,8,0,435,61,118,163,164,92,78,16,4,696,765,1908,2187,1573,868,521,189,23,8032,6,39,61,32,27,18,6,0,192,257,346,383,263,158,162,92,14,1673,1622,6115,8004,4301,2041,1299,467,54,23902
POA3755,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,4,0,3,3,3,0,0,26,0,5,3,3,0,8,0,0,24,0,9,4,12,15,5,3,0,53,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9,8,16,10,3,3,0,56,0,0,0,0,0,0,0,0,0,4,4,0,0,8,8,6,0,26,6,22,16,31,25,21,9,0,141
POA3756,158,58,37,22,6,0,421,7,68,63,41,37,16,3,0,232,73,389,385,188,123,74,23,3,1259,69,333,357,255,175,86,24,4,1302,220,745,589,499,363,172,55,17,2663,42,45,23,21,22,15,0,0,162,14,37,47,40,31,19,7,0,182,278,828,662,555,410,199,63,18,3007,0,16,16,17,6,10,7,0,76,146,162,164,121,111,64,50,4,814,579,1923,1800,1228,906,474,175,28,7113
POA3757,25,55,24,34,8,0,186,3,28,40,34,34,32,3,0,172,46,153,182,141,100,93,18,8,737,51,129,144,197,150,98,25,10,807,148,363,384,415,280,178,64,18,1860,18,19,10,25,14,10,0,0,94,9,5,15,35,27,16,4,3,120,177,393,411,475,321,205,69,25,2078,3,3,7,6,5,0,5,0,27,91,65,78,126,146,116,74,46,743,375,798,879,1030,781,582,214,90,4749
POA3758,10,15,5,0,4,0,45,0,3,7,8,21,3,0,0,47,3,29,35,30,18,12,5,0,141,12,31,29,46,28,27,3,0,177,40,85,114,112,93,48,14,0,500,3,4,8,3,0,0,0,0,19,0,0,0,9,9,0,3,0,31,44,89,123,123,99,52,10,0,549,0,0,0,0,0,0,0,0,7,27,29,22,28,46,38,10,4,201,98,189,233,248,218,133,44,3,1168
POA3759,9,3,13,10,4,0,46,0,0,3,11,18,9,0,0,53,9,21,30,41,37,15,5,0,159,8,11,12,24,19,25,9,0,108,18,16,21,43,42,16,10,3,168,4,0,0,0,0,0,0,0,3,0,0,4,0,8,0,4,0,20,20,23,23,46,47,22,13,3,199,0,0,0,0,0,3,0,0,4,9,4,6,12,10,18,6,7,73,51,61,89,146,149,98,32,11,633
POA3760,0,10,4,6,0,0,19,0,0,5,9,4,7,0,0,16,3,0,11,12,15,5,3,0,55,0,5,3,7,9,5,0,0,30,5,8,5,16,20,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,5,18,18,10,0,0,66,0,0,0,0,0,0,0,0,0,3,0,4,5,3,4,0,0,14,13,12,31,53,57,34,6,0,202
POA3761,6,14,10,22,5,0,64,0,0,8,9,4,9,0,0,29,9,28,34,35,28,34,6,0,171,0,14,17,33,24,15,11,0,114,17,22,37,41,44,19,5,5,196,3,0,3,0,5,0,0,0,11,0,0,0,5,5,3,6,0,10,20,22,42,42,51,23,13,5,219,0,0,0,0,0,0,0,0,4,10,7,11,14,16,8,11,0,90,41,68,118,150,140,110,47,0,679
POA3762,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,5,0,0,6,0,9,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,3,10,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,4,16,0,12,7,9,22,7,3,0,62
POA3763,7,9,3,9,0,0,35,4,3,5,11,9,6,0,0,36,7,28,36,30,20,24,3,0,138,8,25,26,42,45,19,11,0,165,34,75,74,84,69,36,6,0,369,3,0,3,0,4,0,0,0,14,0,0,5,3,0,8,0,0,16,38,69,82,85,75,38,6,0,401,0,0,0,0,0,4,0,0,6,10,11,19,34,25,23,5,3,132,68,146,170,214,185,116,25,4,920
POA3764,53,49,30,25,4,5,238,3,32,45,57,31,21,7,0,189,56,177,192,151,110,98,35,12,827,52,159,172,194,138,103,44,13,855,163,388,361,344,294,181,98,23,1846,25,27,13,12,20,3,3,0,98,13,17,19,35,17,28,17,7,166,193,433,398,398,328,217,116,28,2111,5,0,5,8,9,4,7,6,39,93,72,106,110,114,99,90,45,734,404,930,968,962,758,573,297,103,5002
POA3765,49,41,21,23,7,0,191,4,24,30,44,32,23,6,0,159,47,172,210,155,110,85,39,6,826,35,93,139,133,98,75,32,12,616,80,231,263,240,217,137,52,13,1230,9,6,12,7,6,7,0,0,59,5,13,26,22,21,22,7,3,123,93,255,305,263,253,163,65,17,1408,0,0,3,0,3,4,3,3,19,25,38,28,52,40,41,61,92,377,207,620,773,686,554,418,213,128,3595
POA3766,30,27,22,11,7,0,96,0,4,10,12,9,15,4,0,57,8,44,50,57,41,26,19,0,239,0,16,27,30,11,14,6,0,113,9,25,41,47,33,14,6,0,173,0,0,0,4,7,0,0,0,7,0,0,3,5,0,4,3,0,11,15,28,45,54,34,19,4,0,200,0,0,0,0,0,3,0,0,5,4,3,10,12,0,10,4,0,42,25,103,165,185,127,95,45,3,751
POA3767,17,18,6,10,10,3,78,0,4,11,11,17,16,5,0,66,8,34,30,40,46,34,12,0,206,7,12,26,27,31,25,13,0,135,8,23,48,34,40,10,8,4,174,5,3,3,0,4,4,0,0,14,0,0,0,0,7,7,0,0,20,10,28,48,33,50,23,7,4,208,0,0,0,0,6,0,3,0,8,8,3,5,6,10,10,9,5,48,38,92,146,141,155,122,59,10,754
POA3770,9,15,17,9,6,0,75,8,10,11,8,12,10,0,0,58,14,58,59,58,46,42,19,4,301,19,43,56,43,43,30,7,4,252,65,144,125,124,114,58,28,6,660,9,8,7,9,6,3,0,0,34,7,9,13,5,7,7,6,0,44,79,160,139,135,124,67,27,6,736,0,0,4,0,0,0,6,0,15,30,26,32,28,32,27,30,8,204,145,317,315,289,277,187,99,19,1634
POA3775,20,41,14,17,13,0,131,5,10,15,19,21,15,4,0,85,17,72,72,104,83,60,28,4,444,9,51,74,71,62,61,22,5,364,55,149,122,154,139,80,27,7,740,4,0,4,9,10,0,3,0,37,6,11,3,15,17,9,3,0,60,63,159,139,171,170,90,38,7,838,0,0,3,7,3,0,4,0,19,32,32,32,29,40,51,35,13,273,124,344,357,443,391,303,145,38,2149
