POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3150,17451,18602,36051,1333,1346,2683,209,195,400,6047,6056,12108,119,137,256,108,101,215,100,126,231,34,27,57,27,16,38,33,33,67,0,0,0,6681,6688,13370,3171,3081,6253,105,72,174,11290,11185,22482,1181,1283,2472,29923,31071,61000
POA3151,2878,3170,6049,104,92,195,39,34,75,1172,1171,2345,22,26,45,14,14,24,14,11,31,3,7,10,4,0,4,10,0,11,0,0,0,1276,1276,2548,597,521,1119,26,19,47,1999,1908,3906,153,138,292,5029,5218,10249
POA3152,9969,10675,20642,525,597,1121,79,81,161,3845,4027,7874,64,71,137,20,47,75,38,40,81,16,14,25,7,7,16,10,10,23,0,0,0,4087,4299,8384,827,885,1712,115,120,240,5556,5896,11451,505,616,1118,16030,17183,33215
POA3153,5709,5967,11678,290,290,585,58,48,108,2620,2762,5386,46,41,84,24,12,45,20,24,46,3,6,9,4,4,10,6,4,8,0,0,0,2789,2910,5700,420,479,896,70,60,134,3578,3740,7318,458,526,983,9749,10235,19979
POA3154,1437,1541,2977,34,32,68,4,4,11,436,428,860,4,3,7,6,3,10,3,4,8,8,10,19,0,0,3,0,0,0,0,0,0,459,454,915,20,30,49,24,20,46,543,538,1080,91,96,188,2069,2176,4241
POA3155,6187,6557,12748,455,497,959,60,54,116,3001,3117,6116,34,56,94,41,43,81,20,30,48,13,6,20,5,9,13,9,7,16,0,0,0,3180,3321,6496,381,485,874,77,42,114,4096,4342,8444,517,515,1028,10798,11424,22221
POA3156,12130,12477,24609,471,476,949,50,69,117,4018,4184,8201,54,53,103,26,30,49,28,26,59,16,18,31,17,16,33,0,3,6,0,0,0,4209,4395,8600,400,411,815,70,71,139,5149,5350,10502,631,622,1253,17911,18446,36356
POA3158,2260,2292,4550,123,107,227,11,9,21,632,623,1249,11,17,32,0,0,3,7,4,8,6,3,4,0,0,6,0,0,8,0,0,0,662,662,1327,40,72,115,15,13,30,848,854,1702,92,76,165,3194,3218,6414
POA3159,850,889,1735,39,39,82,5,3,6,227,233,459,0,6,4,0,0,3,5,8,9,3,4,3,0,0,0,0,0,0,0,0,0,235,250,490,14,10,24,0,0,3,300,299,594,63,45,108,1208,1238,2445
POA3160,2995,2979,5975,125,119,245,27,20,48,827,903,1728,16,14,31,5,3,7,5,4,13,6,7,10,7,5,20,0,4,3,0,0,0,893,968,1854,72,76,151,26,23,47,1110,1185,2293,142,117,263,4253,4277,8532
POA3161,3812,4165,7971,559,599,1156,106,142,243,1882,2013,3894,64,74,139,23,30,54,43,45,87,16,10,28,7,9,18,8,8,16,0,0,0,2146,2321,4475,772,796,1565,52,52,103,3529,3774,7303,339,411,756,7676,8352,16027
POA3162,4741,5124,9863,477,506,982,90,69,162,1905,1991,3901,44,55,106,16,14,33,30,36,61,3,10,14,5,6,13,9,8,19,0,0,0,2110,2191,4305,548,568,1115,75,58,133,3210,3324,6535,337,385,722,8286,8839,17119
POA3163,7233,7882,15119,632,640,1266,151,159,313,4296,4422,8711,82,104,188,39,59,100,82,78,157,17,21,42,18,21,35,26,32,59,0,0,0,4712,4891,9603,1942,1949,3890,100,98,193,7378,7574,14960,541,584,1119,15152,16042,31195
POA3165,8066,8576,16640,650,621,1270,128,111,239,3670,3800,7475,51,65,117,32,26,57,46,48,86,0,6,11,3,6,7,22,9,32,0,0,0,3952,4081,8029,763,762,1519,83,65,148,5445,5531,10973,401,444,840,13899,14547,28452
POA3166,6125,6738,12863,460,508,966,103,94,198,2999,2914,5911,70,77,146,38,35,74,45,43,82,26,19,45,8,10,24,23,23,45,0,0,0,3301,3229,6527,1116,1016,2129,74,49,118,4945,4795,9744,451,417,865,11525,11951,23474
POA3167,2867,2986,5853,150,126,273,22,22,45,977,942,1920,18,15,36,15,9,22,19,17,32,6,7,10,3,4,10,8,4,10,0,0,0,1069,1025,2092,353,345,700,28,20,49,1598,1521,3114,162,163,326,4630,4665,9295
POA3168,2786,2903,5685,363,290,650,137,156,292,2653,2382,5035,117,123,239,69,71,136,64,62,124,60,67,131,40,40,77,12,22,42,0,0,0,3149,2926,6071,3812,2874,6686,101,91,193,7424,6174,13604,1017,763,1779,11228,9840,21069
POA3169,5486,5677,11160,324,304,624,54,50,107,1977,1902,3877,38,34,73,24,27,48,30,26,54,10,6,16,17,13,30,4,7,15,0,0,0,2158,2071,4232,1456,1171,2623,68,36,106,3994,3583,7584,485,487,967,9966,9747,19710
POA3170,5880,6103,11981,402,382,789,53,45,93,1989,1853,3842,32,38,75,24,21,47,10,9,18,11,4,15,3,0,6,14,13,26,0,0,0,2128,1992,4123,597,559,1157,49,35,94,3175,2977,6154,365,301,665,9423,9377,18799
POA3171,5625,5654,11283,822,815,1636,59,31,85,1794,1496,3291,54,39,94,25,18,44,18,20,37,7,3,10,8,8,15,10,8,16,0,0,0,1971,1626,3589,1644,1492,3139,106,73,176,4542,4005,8541,622,550,1169,10786,10211,20993
POA3172,7557,7866,15419,393,413,806,30,35,64,1850,1730,3586,28,27,57,13,15,31,17,18,37,5,0,5,0,0,0,4,0,9,0,0,0,1941,1833,3777,634,648,1282,42,44,92,3012,2937,5955,415,381,797,10988,11181,22171
POA3173,8609,8906,17516,586,603,1191,61,67,126,3148,3031,6177,39,36,79,19,8,27,25,25,53,4,3,5,3,0,8,7,9,13,0,0,0,3309,3187,6496,935,940,1877,74,58,136,4908,4790,9697,451,480,937,13963,14184,28147
POA3174,10006,10442,20450,734,726,1463,114,105,215,4138,3610,7743,56,54,113,46,47,91,60,47,104,11,11,29,11,9,20,12,11,15,0,0,0,4434,3890,8331,2262,2321,4577,129,105,234,7557,7043,14602,1128,1023,2153,18693,18516,37203
