POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3799,28,57,31,24,6,191,18,21,73,80,108,12,308,7,0,11,12,6,0,37,6,0,10,12,55,0,80,7,0,16,14,51,11,102,104,82,306,296,759,58,1599
POA3802,84,290,110,76,18,754,180,87,432,295,299,42,1338,13,4,24,15,15,5,66,12,3,49,71,163,8,320,46,4,132,61,104,60,401,938,295,2446,1552,2191,283,7692
POA3803,17,96,24,29,3,224,43,19,179,101,150,15,503,4,0,10,8,7,0,26,4,0,23,28,53,3,112,20,4,45,29,53,31,173,279,76,861,569,954,124,2870
POA3804,32,119,36,49,4,284,49,21,152,82,60,14,382,5,0,12,9,3,0,33,6,0,17,29,85,4,144,7,3,49,28,58,13,154,222,110,865,509,1018,89,2823
POA3805,176,633,290,277,26,1679,340,194,996,736,796,95,3165,12,6,48,48,62,4,177,39,18,112,155,506,20,849,87,13,211,168,356,136,976,1726,641,5017,3758,6671,645,18466
POA3806,221,820,277,278,37,2104,482,245,1178,646,642,83,3267,15,14,66,58,69,6,223,36,13,104,144,374,17,686,84,8,206,141,242,77,757,2343,831,5712,3441,5507,531,18370
POA3807,40,160,59,48,6,377,51,38,155,83,93,5,434,0,0,16,9,8,3,34,8,0,20,28,69,0,122,0,0,25,28,45,16,110,238,128,722,571,1123,68,2856
POA3808,18,62,17,20,4,149,16,11,60,26,24,6,144,0,0,8,6,3,0,21,0,0,0,10,40,8,54,0,0,9,12,17,5,42,94,44,305,212,474,48,1169
POA3809,89,353,104,124,7,853,214,100,528,299,281,34,1458,5,3,22,22,15,0,75,16,3,49,69,172,6,321,37,5,74,64,121,39,350,965,314,2286,1632,2477,197,7873
POA3810,237,645,242,295,20,1710,297,197,957,743,957,89,3237,5,7,56,55,116,6,247,40,14,81,171,510,17,828,49,11,125,128,391,114,816,1433,648,4036,3538,7292,605,17552
POA3812,4,46,13,18,0,88,10,3,39,14,31,0,103,0,0,0,3,6,0,20,0,0,0,4,43,6,49,0,0,3,6,26,6,39,37,18,155,132,454,41,835
POA3813,0,17,3,10,0,39,0,3,7,0,6,0,23,0,0,0,3,12,0,17,0,0,0,6,27,0,25,0,0,0,3,4,4,9,17,7,72,54,162,15,328
POA3814,8,42,11,18,4,96,10,13,23,23,26,0,97,0,0,3,3,8,0,21,0,0,5,4,45,0,56,0,0,3,3,22,8,43,36,31,164,127,439,35,829
POA3815,25,48,17,24,0,132,9,8,59,31,48,9,166,0,0,3,0,14,3,22,0,0,4,9,44,0,56,0,3,5,11,36,7,69,44,47,218,194,620,55,1177
POA3816,12,42,17,14,6,91,10,8,28,35,54,9,140,0,0,3,7,15,0,21,0,0,3,12,28,3,45,0,0,0,3,33,10,47,29,22,152,167,500,46,915
POA3818,77,266,84,132,7,663,67,68,251,205,343,31,958,3,4,24,21,22,5,78,5,0,16,33,207,4,270,4,6,30,24,94,33,190,251,206,1017,906,2689,163,5236
POA3820,121,389,109,166,16,971,154,117,447,258,306,42,1326,0,4,23,18,32,0,85,11,11,29,52,191,6,293,3,3,33,24,81,36,178,507,360,1684,1128,2686,224,6585
POA3821,15,53,18,19,0,137,16,19,68,37,39,10,188,0,0,0,8,13,0,27,0,0,5,3,34,0,41,0,4,5,3,13,6,28,75,59,290,184,476,46,1127
POA3822,4,11,6,6,0,36,7,10,18,18,17,0,66,0,0,0,0,3,0,5,0,0,0,3,11,0,15,0,0,0,3,9,0,16,15,14,53,60,179,11,333
POA3823,9,31,6,17,0,72,12,7,31,32,41,5,129,0,3,4,5,9,0,16,0,0,0,3,17,0,32,3,0,0,0,14,4,19,42,25,140,114,320,25,662
POA3824,28,75,26,36,4,194,17,26,98,63,86,12,296,6,0,3,3,8,0,23,0,0,5,11,53,0,72,3,0,7,16,33,3,63,83,79,333,265,797,56,1619
POA3825,58,144,90,145,12,505,58,57,243,237,450,45,1087,0,0,10,9,29,0,49,4,0,14,23,187,0,233,3,6,15,23,124,48,224,176,172,792,859,3064,206,5263
POA3831,13,21,10,20,0,75,4,8,24,28,23,0,87,0,0,0,3,5,0,9,0,0,0,6,26,0,36,0,0,0,0,22,0,20,33,28,115,110,289,18,600
POA3832,0,0,0,0,0,8,0,0,5,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,13,10,38,4,75
POA3833,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,4,0,14,15,32,7,83
POA3835,0,7,6,0,0,14,0,0,5,0,13,0,19,0,0,0,0,0,0,5,0,0,0,0,7,0,9,0,0,0,0,3,0,3,4,3,37,16,65,7,133
POA3840,30,114,45,85,12,335,46,36,193,148,280,35,738,3,0,5,13,13,4,27,5,0,13,19,124,4,161,0,0,25,16,91,38,172,161,113,674,582,1977,188,3701
POA3842,17,65,17,25,3,154,18,18,54,66,94,4,256,0,0,0,0,7,0,8,0,0,0,3,35,0,43,4,0,4,4,29,0,39,63,57,221,202,601,35,1178
POA3844,113,414,117,160,20,991,259,169,795,412,557,56,2242,0,0,22,16,40,3,87,12,4,28,71,275,9,397,5,5,32,32,166,32,268,644,429,2267,1615,4547,284,9795
POA3847,16,17,12,11,0,50,3,10,32,21,36,4,104,0,0,0,0,0,0,8,0,0,0,3,25,5,30,0,0,0,3,10,5,23,13,27,98,93,344,34,613
POA3850,77,228,69,91,3,549,134,70,327,193,273,16,1012,4,0,17,11,3,0,36,3,6,19,36,107,3,174,7,4,18,25,58,21,128,350,234,1156,822,1857,127,4555
POA3851,25,77,30,22,5,174,19,19,61,58,90,11,254,0,0,0,0,8,4,16,0,4,0,9,42,0,57,5,0,6,7,39,16,63,59,67,292,256,746,67,1485
POA3852,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,112,11,15,0,149
POA3854,8,23,3,8,0,54,4,5,21,10,21,6,67,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,4,9,4,17,19,21,90,58,283,27,489
POA3856,4,8,4,8,0,27,7,4,17,9,23,6,68,0,0,0,0,4,0,4,0,0,0,0,14,0,16,0,0,0,0,7,0,8,13,10,56,51,199,9,333
POA3857,0,9,0,3,0,14,8,0,9,6,0,0,17,0,0,0,0,0,0,5,0,0,0,0,3,0,7,0,0,4,0,0,0,4,4,4,29,15,44,0,102
POA3858,10,29,9,13,0,60,0,7,33,26,53,7,133,4,0,0,0,3,0,11,0,0,0,5,32,5,38,0,0,0,6,15,0,24,26,24,111,114,418,39,725
POA3859,3,4,3,4,0,23,5,5,13,7,17,0,41,0,0,0,0,0,0,5,0,0,3,0,6,0,6,0,0,0,0,5,0,4,19,11,59,29,161,9,289
POA3860,42,122,30,49,4,261,35,34,103,101,145,9,421,0,0,8,7,12,0,30,0,0,7,9,82,4,107,0,0,3,4,47,6,59,98,102,426,307,1105,98,2141
POA3862,14,45,18,32,0,121,9,26,39,49,72,3,198,0,0,7,3,5,0,13,0,0,4,5,37,0,52,0,0,5,4,30,11,50,36,45,200,194,593,46,1115
POA3864,0,0,0,4,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,7,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,0,10,11,43,0,72
POA3865,0,3,5,6,0,11,0,0,4,0,10,0,22,0,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,0,3,4,7,0,0,21,20,73,4,125
POA3869,7,31,11,23,0,85,6,4,35,19,34,4,97,0,0,6,6,0,0,9,0,0,0,4,25,0,31,0,0,0,4,15,4,22,27,34,109,104,301,19,598
POA3870,9,21,8,3,0,48,4,9,19,18,18,0,63,0,0,4,0,0,0,6,0,0,0,3,3,0,6,0,0,3,6,9,5,13,18,20,85,67,173,25,387
POA3871,19,52,13,20,3,113,13,12,56,35,53,10,184,0,4,4,3,5,0,14,0,0,3,5,23,0,32,0,0,8,3,19,4,40,54,42,223,150,410,41,922
POA3873,4,6,7,5,0,14,0,0,8,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,5,0,0,3,0,16,18,58,3,103
POA3874,0,7,0,0,0,12,0,0,3,6,15,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,23,29,80,8,151
POA3875,67,233,98,138,13,619,105,85,338,281,361,28,1203,0,4,15,10,24,0,60,9,7,28,32,195,8,279,6,3,16,41,103,28,195,284,249,1098,970,2587,206,5393
POA3878,11,21,6,11,0,50,3,7,25,7,17,6,67,0,0,0,0,0,0,4,3,0,4,4,9,0,22,0,0,0,0,3,0,7,25,19,74,50,167,15,352
POA3880,18,40,18,20,6,114,18,12,63,58,68,3,226,0,0,3,3,6,0,9,0,0,10,3,13,3,31,0,0,4,9,6,8,23,58,52,175,182,396,42,904
POA3882,5,16,3,14,0,46,4,8,26,20,24,0,74,0,0,0,0,3,0,5,0,0,0,0,20,0,19,0,0,6,8,13,5,25,14,17,72,73,216,9,401
POA3885,9,25,4,12,0,57,10,6,39,31,37,0,118,0,0,0,3,6,0,15,0,0,3,5,22,0,30,0,0,0,4,13,4,17,24,28,117,103,287,35,587
POA3886,0,7,0,0,0,12,0,0,10,6,6,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,19,11,61,8,102
POA3887,0,3,0,0,0,5,0,3,8,4,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,12,12,29,5,65
POA3888,14,60,15,20,3,125,19,3,41,45,61,12,179,4,0,7,4,0,0,22,0,0,0,4,18,0,22,0,0,3,0,8,5,16,50,32,187,151,357,47,820
POA3889,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,9,31
POA3890,3,3,0,3,0,10,0,0,4,7,4,0,8,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,30,0,61
POA3891,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,5,30
POA3892,12,23,7,10,0,52,6,3,12,8,8,0,41,0,0,7,0,0,0,12,0,0,0,5,4,0,5,0,0,4,0,7,0,8,21,29,78,48,136,17,326
POA3893,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,14
POA3895,0,0,0,0,0,5,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,4,4,9,13,25,3,60
POA3896,9,10,0,0,0,24,0,0,7,4,4,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,3,10,6,12,28,13,43,7,108
POA3898,5,11,3,0,0,14,4,0,13,9,11,0,34,0,0,0,0,0,0,4,0,0,0,0,6,0,6,0,0,0,0,5,0,6,11,16,48,38,105,12,218
POA3900,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,15,3,30
POA3902,0,0,0,3,0,7,0,0,3,7,4,0,17,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,12,25,57,3,99
POA3903,3,8,0,3,0,20,0,6,12,12,16,0,47,0,0,0,0,0,0,3,0,0,0,0,10,0,10,0,0,0,0,3,9,12,7,13,47,37,108,15,218
POA3904,9,20,13,4,0,51,7,5,39,30,21,0,111,0,0,0,4,4,0,6,0,0,3,8,12,0,24,0,0,4,6,8,0,19,41,17,129,115,209,19,532
POA3909,41,83,32,44,6,228,29,21,98,100,137,19,401,0,0,5,3,8,0,24,0,3,5,16,43,0,69,0,0,5,0,33,17,64,85,86,330,327,955,99,1883
POA3910,133,489,137,145,16,1051,97,112,432,335,464,36,1481,5,0,34,24,37,0,105,8,8,47,75,249,8,396,5,11,46,46,169,20,307,366,382,1874,1676,3982,227,8512
POA3911,10,47,11,18,0,118,16,7,65,42,49,3,185,0,0,5,0,3,0,11,3,0,5,10,53,0,72,0,0,10,6,23,3,50,57,32,268,219,614,35,1232
POA3912,81,275,86,113,15,643,70,70,249,230,282,25,932,3,0,31,18,36,0,92,4,8,22,44,206,8,285,0,0,23,32,115,27,203,243,213,1060,1023,2635,174,5348
POA3913,15,50,27,27,3,144,10,13,54,38,69,6,200,0,0,4,3,7,0,18,4,0,8,14,46,0,76,0,0,5,5,27,0,41,49,44,239,250,589,38,1211
POA3915,25,100,33,52,0,243,25,24,104,113,187,12,466,0,0,9,9,26,3,48,0,0,14,28,106,0,155,0,6,12,14,65,15,116,96,83,452,546,1531,90,2805
POA3916,3,22,0,4,0,44,18,0,10,3,0,0,39,0,0,3,0,0,0,8,3,0,0,0,3,0,6,0,0,9,0,7,0,18,70,17,146,36,69,7,350
POA3918,19,62,22,23,4,161,13,18,73,41,74,6,229,0,0,8,6,11,0,30,0,0,6,10,39,4,65,0,0,6,6,29,3,52,63,58,265,241,667,47,1344
POA3919,9,28,21,38,0,119,11,7,44,53,74,6,195,0,0,0,0,13,3,27,4,0,3,0,40,0,55,0,0,4,8,30,10,48,39,28,149,205,618,32,1068
POA3920,6,0,4,0,0,7,0,0,8,3,0,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,15,19,81,72,311,4,506
POA3921,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,10,5,8,0,37
POA3922,54,130,30,29,4,291,36,24,139,104,114,14,430,9,6,46,42,60,7,172,4,3,16,7,69,3,107,3,4,13,22,35,7,92,171,148,675,534,1090,104,2723
POA3923,6,4,8,0,0,27,4,3,12,5,4,0,29,0,0,0,0,7,0,11,0,0,0,4,7,0,13,0,0,4,0,0,0,5,26,18,51,42,83,6,214
POA3925,33,98,27,17,3,200,29,15,69,52,40,5,223,3,4,14,8,18,0,55,0,0,9,5,26,0,48,0,0,7,5,10,11,30,100,79,402,268,531,51,1427
POA3926,23,84,14,15,4,172,25,15,61,41,18,5,167,6,4,12,4,10,0,30,0,3,3,0,17,0,26,0,0,13,7,12,8,41,119,81,426,198,331,41,1194
POA3927,12,43,13,11,0,93,17,8,36,22,13,0,100,0,0,6,3,6,0,23,0,0,7,8,9,0,21,4,0,5,6,3,6,17,82,42,204,128,175,22,645
POA3928,0,4,0,0,0,9,10,3,12,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,5,0,13,29,9,73,20,35,3,173
POA3929,0,9,3,0,0,14,17,0,15,3,0,3,44,0,0,5,0,0,0,7,0,0,0,0,0,4,5,0,0,4,3,0,0,17,53,11,152,60,55,15,346
POA3930,111,388,96,65,17,866,203,110,480,174,110,23,1099,12,14,39,17,23,3,115,15,8,42,41,94,9,208,17,4,93,35,43,30,223,851,434,2493,1164,1516,180,6645
POA3931,130,434,119,112,15,977,173,121,529,292,359,35,1516,4,10,40,30,54,12,149,14,4,45,63,178,8,306,10,9,74,48,97,31,264,590,440,2204,1515,2776,238,7766
POA3933,4,11,0,5,0,29,9,6,18,9,6,0,44,0,4,11,5,5,0,20,0,0,0,0,8,0,13,0,0,0,0,3,3,9,37,17,115,56,141,10,372
POA3934,117,436,110,79,13,901,140,114,448,196,228,26,1156,8,9,50,36,31,0,131,12,3,35,51,144,8,254,19,9,83,60,84,18,271,544,400,2131,1324,2124,216,6732
POA3936,55,207,52,55,5,435,59,37,226,147,144,15,630,9,0,21,19,19,0,70,3,0,20,27,118,0,176,3,3,31,29,68,29,156,242,161,1015,754,1595,144,3913
POA3937,9,30,7,4,0,69,20,5,40,16,10,8,95,3,3,8,6,5,0,25,0,0,3,0,6,0,14,0,0,11,3,0,0,19,87,34,250,89,135,18,623
POA3938,12,70,12,10,3,136,21,6,56,28,30,7,148,0,0,5,0,10,0,22,0,0,9,11,18,0,40,6,0,6,12,20,7,51,72,33,276,187,415,36,1023
POA3939,54,227,54,66,12,486,57,48,228,202,278,21,840,0,0,22,21,42,0,97,9,5,19,36,117,11,186,5,0,28,26,68,20,149,229,161,988,827,1955,164,4332
POA3940,20,43,14,12,0,95,13,11,68,50,86,9,230,0,0,9,6,7,0,23,0,0,4,9,33,0,52,0,0,5,8,23,8,45,37,46,215,228,480,48,1053
POA3941,66,222,56,53,7,461,63,36,171,110,177,22,577,12,0,26,28,41,8,113,3,4,13,28,92,4,147,9,3,45,34,74,21,189,271,169,1034,717,1649,162,4008
POA3942,11,37,11,5,3,85,15,6,36,14,15,5,83,4,0,6,3,8,0,20,7,0,7,8,8,0,20,0,0,6,7,5,5,31,93,37,254,157,222,33,795
POA3943,10,22,6,3,0,46,15,3,22,7,10,0,59,3,0,4,0,6,0,12,0,0,0,8,0,0,11,6,0,17,5,5,0,29,60,37,221,92,131,27,563
POA3944,0,13,0,0,0,19,6,0,3,0,0,4,11,0,0,4,0,0,0,5,0,0,6,0,0,0,4,4,5,8,0,8,0,22,33,17,101,29,37,6,226
POA3945,4,16,6,5,0,36,10,3,12,12,11,0,48,0,0,3,0,0,0,10,0,0,4,0,7,0,18,0,0,4,3,7,0,15,21,11,78,71,164,10,357
POA3946,0,3,0,3,0,6,4,0,5,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,8,3,19,19,51,4,102
POA3950,25,47,27,22,0,146,18,16,81,64,98,6,285,0,0,5,4,4,0,16,0,4,7,7,55,0,76,0,0,12,7,34,8,64,61,58,272,257,725,53,1429
POA3951,4,19,9,6,0,43,5,5,18,13,16,0,57,0,0,0,0,4,0,3,0,0,0,0,9,0,12,0,0,3,0,0,0,10,19,19,89,59,146,3,338
POA3953,36,124,34,46,6,277,37,39,131,80,119,16,428,3,6,8,0,3,0,30,5,0,12,24,79,3,121,7,0,4,9,39,12,71,121,116,526,353,1098,79,2287
POA3954,0,13,3,0,0,19,0,4,9,4,3,0,20,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,3,3,0,3,7,10,44,24,52,0,145
POA3956,14,28,17,16,0,90,20,10,46,20,25,4,127,0,0,8,0,3,0,12,4,0,4,0,20,0,30,6,0,5,9,8,7,34,69,46,222,126,370,41,877
POA3957,5,0,0,4,0,11,0,6,3,3,7,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,3,0,0,5,8,9,22,19,38,4,101
POA3958,0,3,0,0,0,6,0,4,3,5,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,27,16,38,5,83
POA3959,5,20,5,5,0,44,12,10,16,7,9,4,56,3,0,6,5,8,0,20,0,0,0,0,3,0,7,0,0,4,0,3,5,13,38,38,92,49,146,12,374
POA3960,3,26,9,14,0,73,15,12,34,26,40,8,125,3,4,17,10,4,0,38,0,0,0,0,22,0,32,5,0,0,7,9,0,22,71,39,144,110,309,31,706
POA3962,0,10,9,3,7,32,0,4,6,13,18,5,41,0,0,0,0,0,0,0,0,0,0,3,7,0,13,0,0,0,0,7,0,10,16,9,40,48,127,12,252
POA3964,0,0,0,0,0,4,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,6,6,5,43,0,56
POA3965,0,3,0,0,0,10,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,3,22,4,48
POA3966,0,3,0,5,0,13,0,3,10,7,4,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,5,27,25,75,5,152
POA3967,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,3,11,0,24
POA3971,25,38,13,13,4,103,16,13,37,48,73,11,193,0,0,3,0,3,0,11,4,0,5,4,35,0,44,0,3,3,5,24,12,48,42,51,162,168,533,62,1016
POA3975,45,162,68,47,7,435,161,70,510,249,249,29,1269,0,0,21,10,9,0,40,21,0,42,47,94,16,223,51,3,93,64,107,55,361,974,209,2210,1230,1504,229,6359
POA3976,48,128,90,75,10,435,94,58,377,319,377,35,1256,3,3,13,13,21,4,55,17,5,52,58,171,5,316,28,4,87,82,155,73,426,581,186,1733,1425,2498,293,6719
POA3977,320,1121,531,452,42,2995,719,409,2466,1723,1974,209,7506,24,15,123,94,190,17,466,55,10,196,323,919,38,1544,136,21,374,326,741,245,1850,3471,1233,9566,7895,13981,1260,37408
POA3978,155,475,211,162,17,1278,480,196,1521,762,672,82,3709,15,8,42,44,49,5,159,46,16,100,144,290,21,607,89,12,182,160,212,90,741,2289,598,5309,3736,4288,486,16696
POA3979,5,4,0,0,0,12,0,0,4,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,7,37,13,47,4,122
POA3980,14,39,11,22,8,105,9,8,38,30,68,5,157,0,0,0,4,9,0,18,0,0,3,9,38,0,52,3,0,4,6,33,8,53,30,33,165,174,673,41,1117
POA3981,19,50,24,41,6,144,8,8,65,62,89,7,242,0,0,5,12,20,0,41,0,0,0,12,78,0,98,0,0,15,7,48,9,76,31,43,224,271,978,65,1611
POA3984,26,62,26,32,0,173,20,30,66,101,100,17,326,0,0,8,3,23,0,34,4,0,6,11,97,3,125,4,8,7,14,52,17,96,61,89,277,378,1186,96,2091
POA3987,6,20,3,9,0,41,3,6,10,24,34,5,80,0,0,3,0,4,0,10,0,0,3,0,19,0,32,0,0,0,8,8,7,21,9,13,73,86,298,26,509
POA3988,5,17,5,9,0,37,0,3,16,11,10,0,37,0,0,0,4,0,0,3,0,0,3,0,20,0,27,0,0,0,4,6,5,12,15,19,68,58,174,15,342
POA3990,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,10,0,41
POA3991,0,4,0,0,0,3,0,0,5,6,9,0,16,0,0,0,0,0,0,5,0,0,0,0,10,0,8,0,0,0,0,0,0,3,3,3,10,14,58,6,98
POA3992,12,15,8,9,0,43,3,13,25,15,24,4,89,0,0,0,0,4,0,10,0,0,0,3,11,0,10,0,0,0,0,8,5,13,17,27,69,72,215,18,415
POA3995,45,102,40,60,0,283,51,33,195,130,224,27,662,0,0,23,9,21,0,63,0,3,21,20,103,3,158,7,7,8,20,45,9,96,149,140,612,453,1411,121,2894
POA3996,45,145,28,28,9,309,57,47,153,61,71,10,393,3,0,16,9,9,3,36,0,0,7,14,33,0,58,3,3,15,7,19,11,63,182,149,592,309,633,71,1943
