POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3433,0,0,0,0,0,9,5,0,3,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,7,0,7,8,5,15,9,30,3,79
POA3434,46,94,29,39,0,245,17,35,77,60,74,10,268,0,0,11,3,12,0,29,5,0,15,15,84,0,118,3,0,14,9,50,14,91,115,114,482,383,1011,47,2153
POA3435,21,56,16,18,0,134,14,14,50,36,28,5,146,0,6,4,6,7,0,25,0,6,6,9,43,5,69,0,0,4,0,11,3,29,71,59,273,193,452,39,1093
POA3437,96,238,68,71,6,588,78,75,224,96,94,14,587,3,8,23,8,10,0,56,6,8,23,32,102,0,165,10,4,27,24,52,23,137,361,298,1238,761,1471,100,4234
POA3438,15,56,17,12,0,116,20,15,55,25,17,4,139,0,0,7,0,0,0,15,0,0,3,10,15,0,30,0,0,5,0,13,0,20,78,64,280,166,276,22,888
POA3440,17,47,16,11,0,120,18,13,45,10,11,4,98,3,5,12,0,0,0,23,0,0,12,4,6,0,23,3,0,9,0,13,0,24,122,63,271,98,186,22,769
POA3441,9,31,5,0,0,60,9,3,30,14,5,7,75,0,4,3,0,0,0,12,0,0,5,5,9,0,20,4,3,9,4,4,4,22,96,36,214,77,106,26,552
POA3442,56,146,26,46,4,399,97,63,168,70,70,15,477,11,4,19,8,17,0,68,3,0,22,14,31,0,72,13,5,30,12,37,8,100,489,251,1064,467,741,80,3094
POA3444,75,137,36,51,7,389,61,51,174,59,100,10,468,8,5,30,10,21,0,74,3,3,26,18,76,0,132,3,3,26,10,35,10,93,370,248,1022,552,1047,116,3353
POA3446,10,21,0,10,3,61,11,6,24,5,13,0,62,3,0,4,0,0,0,18,0,0,0,0,8,0,11,0,0,4,0,3,0,9,61,29,123,47,141,15,410
POA3447,3,10,0,0,0,19,3,4,11,9,18,5,41,0,0,0,0,0,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,5,18,13,50,34,68,8,188
POA3448,7,12,5,9,0,44,9,10,15,17,8,0,56,3,0,0,3,3,0,12,0,0,4,0,5,0,17,0,0,4,0,0,0,9,31,28,82,64,110,12,339
POA3450,61,108,19,23,0,325,96,53,149,72,60,7,442,17,15,39,14,9,0,92,8,4,20,9,27,0,65,13,5,24,10,17,10,77,393,214,716,329,446,57,2153
POA3451,42,99,17,24,0,277,66,57,128,69,86,13,414,9,5,22,7,8,0,56,4,4,16,12,51,0,95,9,4,20,7,13,9,54,275,161,546,319,647,46,1991
