POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3211,0,0,0,0,0,0,0,0,0,8,10,5,20,0,0,0,23,17,0,43
POA3212,0,3,0,0,0,3,0,3,7,287,204,36,522,10,10,21,545,216,8,769
POA3213,0,0,0,0,0,0,0,0,0,56,37,4,92,0,6,8,103,57,0,157
POA3214,3,12,0,0,0,10,23,20,44,311,393,64,769,53,64,117,880,989,41,1912
POA3215,0,5,0,0,0,5,6,5,18,282,272,52,612,19,25,39,655,409,16,1077
POA3216,3,7,0,0,0,7,4,3,18,723,572,90,1391,24,32,53,1446,722,7,2171
POA3217,0,0,0,0,0,0,0,4,3,302,265,41,611,13,8,25,634,150,3,784
POA3218,0,0,0,0,0,6,4,4,8,214,165,30,416,3,5,16,423,156,6,589
POA3219,0,5,0,0,0,5,16,12,33,270,305,44,624,22,27,46,664,503,21,1185
POA3220,0,0,0,0,0,0,0,0,0,212,149,9,372,8,6,18,391,157,6,547
POA3221,0,0,0,0,0,0,0,0,0,8,7,0,21,0,0,0,18,10,0,26
POA3222,3,4,0,0,0,4,3,4,14,221,242,40,505,8,14,23,526,260,8,793
POA3223,0,0,0,0,0,0,6,3,8,54,77,15,139,3,3,12,150,162,5,318
POA3224,0,0,0,0,0,0,4,0,13,216,187,31,431,6,12,15,449,199,0,650
POA3225,0,0,0,0,0,0,0,0,0,44,40,5,84,0,4,4,90,42,0,138
POA3226,0,0,0,0,0,0,9,6,8,198,201,29,429,11,9,19,447,145,8,605
POA3227,0,4,0,0,0,4,0,0,4,53,53,3,112,0,3,5,117,44,0,156
POA3228,0,0,0,0,0,0,0,5,8,270,202,21,490,10,10,21,507,150,10,669
POA3230,0,0,0,0,0,0,0,0,0,22,21,5,51,0,0,0,48,23,0,77
POA3231,0,0,0,0,0,0,0,0,0,20,15,4,33,0,0,0,33,11,0,45
POA3232,0,0,0,0,0,0,0,0,0,14,8,6,23,0,0,0,23,15,0,42
POA3233,0,0,0,0,0,0,0,0,0,18,27,3,51,0,0,5,57,24,0,79
POA3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
POA3235,0,0,0,0,0,0,0,0,0,4,12,3,19,0,0,0,20,4,0,24
POA3236,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,8,9,0,17
POA3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
POA3238,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,7
POA3239,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,10,9,0,16
POA3240,0,0,0,0,0,0,0,0,0,14,19,4,38,0,0,0,38,13,0,51
POA3241,0,0,0,0,0,0,0,0,0,22,25,6,58,0,0,0,58,57,0,116
POA3242,0,0,0,0,0,0,0,0,0,12,9,0,14,0,0,0,19,4,0,26
POA3243,0,0,0,0,0,0,0,0,0,4,5,0,6,0,0,0,6,0,0,6
POA3249,0,0,0,0,0,0,0,4,4,21,18,3,43,0,3,3,46,46,0,92
POA3250,0,0,0,0,0,0,5,4,8,135,167,32,336,4,5,5,342,190,9,543
POA3251,0,0,0,0,0,0,0,0,0,5,5,0,9,0,0,0,9,7,0,12
POA3254,0,0,0,0,0,0,0,0,0,11,6,0,12,0,0,0,12,0,0,14
POA3260,0,0,0,0,0,0,4,0,4,48,51,4,100,0,0,3,102,67,5,175
POA3264,0,0,0,0,0,0,0,0,0,26,25,7,57,0,3,6,58,48,3,105
POA3265,0,0,0,0,0,0,0,0,0,23,24,3,49,0,0,0,50,40,0,88
