POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3228,2709,167,16,0,5,2900,3312,124,7,0,0,3449,1065,201,21,0,0,1289,0,3,0,0,0,3,4,0,0,0,0,4,292,32,7,0,0,337,24,0,0,8,0,30,0,0,0,0,0,3,1383,239,25,11,4,1663,157,40,0,0,0,196,69,8,0,0,0,80,7627,588,48,17,12,8292
POA3230,611,22,0,0,0,637,310,10,0,0,0,323,103,17,3,0,0,126,10,5,0,0,0,12,0,8,0,0,0,9,56,7,0,0,0,63,7,0,0,0,0,12,6,0,0,0,0,6,174,40,3,0,0,219,34,3,0,3,0,40,25,0,0,0,0,27,1156,81,6,8,6,1245
POA3231,370,0,0,0,0,371,169,5,0,0,0,172,21,0,0,4,0,27,4,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,62,0,3,4,0,67,15,0,0,0,0,15,8,0,0,0,0,8,620,8,8,4,0,637
POA3232,238,13,10,0,0,264,84,5,0,0,0,88,42,8,0,0,0,45,0,0,0,0,0,0,0,0,10,0,0,10,39,5,0,3,5,55,4,0,0,0,0,4,0,0,0,0,0,0,85,15,9,4,5,114,18,0,3,0,0,22,5,0,0,0,0,5,429,35,27,7,0,502
POA3233,441,17,7,3,0,469,193,10,3,5,3,215,78,40,9,0,0,121,3,0,0,0,0,0,0,4,5,0,0,10,53,8,5,0,3,72,15,5,4,0,4,26,0,0,0,0,0,0,150,59,24,0,3,235,14,0,0,0,3,19,16,0,0,0,0,22,826,88,32,17,7,963
POA3234,47,0,0,0,0,54,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,8,0,0,0,0,0,0,85,0,0,4,0,90
POA3235,84,0,0,0,0,84,69,0,0,0,0,69,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,3,0,0,0,0,3,5,0,0,0,0,5,172,0,0,0,0,171
POA3236,46,0,0,0,0,47,29,0,0,0,0,29,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,93,0,0,0,0,96
POA3237,51,0,0,0,0,51,36,0,0,0,0,36,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,6,0,0,0,0,6,102,0,0,0,0,102
POA3238,48,0,0,0,0,49,38,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,6,3,0,0,0,0,3,103,0,0,3,0,108
POA3239,93,0,0,0,0,96,57,0,0,0,0,58,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,19,4,0,0,0,0,9,0,0,0,0,0,0,179,0,0,4,0,184
POA3240,303,0,0,0,0,306,332,0,0,0,0,332,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,27,5,0,0,0,0,4,0,0,0,0,0,0,49,0,0,0,0,53,7,0,0,0,0,7,18,0,0,0,0,15,708,0,4,0,0,711
POA3241,407,10,0,4,0,420,486,7,0,0,0,495,79,9,0,0,0,88,17,9,0,0,0,23,0,0,0,0,0,0,63,5,0,0,0,70,18,0,0,3,0,19,3,0,0,0,0,5,176,27,0,3,0,208,24,0,0,0,0,25,17,6,0,0,0,23,1115,44,0,6,0,1169
POA3242,154,0,0,0,0,154,143,0,0,0,0,143,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,4,0,0,0,0,4,0,0,0,0,0,0,55,0,0,0,0,55,7,0,0,0,0,7,9,0,0,0,0,9,363,0,0,0,0,363
POA3243,69,0,0,0,0,69,57,0,0,0,0,57,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,6,0,0,0,0,6,4,0,0,0,0,4,146,0,0,0,0,146
POA3249,604,0,0,0,0,613,418,0,0,0,0,421,45,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,67,22,0,0,0,0,22,0,0,0,0,0,0,135,0,0,0,0,136,42,0,0,0,0,41,25,0,0,0,0,25,1225,0,0,3,5,1231
POA3250,1893,129,0,10,0,2039,1558,29,0,7,3,1591,513,183,0,6,0,697,148,69,3,0,0,224,26,21,0,0,0,43,233,34,0,0,0,269,21,14,0,29,0,72,9,9,0,0,0,17,950,328,3,34,3,1323,38,24,0,3,0,66,78,32,0,3,0,110,4516,549,0,56,8,5127
POA3251,109,0,0,0,0,108,78,0,0,0,0,80,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,11,0,0,0,0,11,3,0,0,0,0,3,227,4,0,0,0,228
POA3254,35,0,0,0,0,35,64,0,0,0,0,63,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,121
