POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3181,5,5,0,609,17,0,5,9,0,5,0,3,0,6,32,75,0,0,0,3,0,0,0,0,0,0,7,6,326,33,14,325,96,180,9,44,17,70,32,1150
POA3182,9,3,0,506,25,0,0,5,0,5,0,3,0,4,30,77,0,0,3,0,0,0,0,0,0,0,4,4,311,51,8,303,65,207,27,65,16,63,34,1151
POA3183,4,3,0,611,15,8,0,28,6,10,0,3,0,6,31,107,0,0,0,0,0,0,4,0,4,3,8,22,352,111,13,511,89,188,29,88,17,77,38,1508
POA3184,3,9,0,735,5,0,3,9,0,11,0,6,0,6,34,81,0,0,0,4,0,0,0,0,0,0,0,13,358,77,18,405,80,191,22,61,11,42,33,1294
POA3185,3,11,3,809,18,4,0,16,0,5,0,0,0,5,26,73,0,3,0,6,0,0,0,0,0,0,8,18,417,80,17,472,73,219,20,60,10,69,33,1485
POA3186,16,55,3,1817,52,19,6,43,0,28,0,15,3,14,73,260,0,0,4,4,0,0,0,0,0,6,11,22,758,143,23,856,101,543,28,173,27,188,89,2912
POA3187,0,20,3,1384,32,3,0,28,9,14,0,6,4,4,60,162,3,0,0,0,0,0,0,0,0,0,4,17,723,105,16,732,102,393,28,97,14,116,75,2392
POA3188,5,26,0,1478,35,5,0,35,10,15,6,5,0,10,62,174,3,0,0,0,0,5,0,0,0,0,11,19,753,109,13,828,129,412,24,84,18,132,76,2574
POA3189,0,5,0,254,11,0,0,6,0,0,0,0,0,3,14,40,0,0,0,0,0,4,0,0,0,0,6,8,231,40,3,286,50,112,12,39,8,43,24,844
POA3190,3,9,0,656,11,3,0,12,3,7,0,3,0,8,33,78,0,0,0,0,0,0,0,0,0,0,6,3,385,72,12,537,107,224,18,53,16,90,40,1560
POA3191,0,14,0,818,17,5,0,18,0,7,0,3,3,3,33,92,0,0,0,0,0,0,0,0,0,0,0,0,392,71,5,437,53,202,16,53,13,70,31,1363
POA3192,4,12,0,1074,22,8,4,24,0,14,0,4,0,7,55,144,0,0,0,4,0,0,0,0,0,0,12,22,812,152,34,1077,173,452,39,118,27,181,75,3140
POA3193,11,21,3,1633,29,7,4,37,3,23,4,11,5,13,63,197,0,0,3,4,0,4,0,0,0,0,5,23,809,134,33,976,105,447,31,113,25,141,70,2880
POA3194,3,8,0,587,13,4,0,11,3,9,0,0,0,6,37,82,0,0,0,0,0,0,0,0,0,0,6,8,426,67,11,533,81,202,17,63,14,97,42,1555
POA3195,9,21,0,2075,68,8,8,61,4,18,9,11,0,17,91,292,7,3,4,9,5,0,0,0,0,0,8,34,1570,230,39,1917,254,761,79,190,32,270,102,5444
POA3196,3,0,0,817,31,4,3,31,3,13,0,6,0,9,62,169,3,0,4,0,0,0,0,0,6,0,8,19,772,150,42,1203,206,424,52,116,35,169,75,3239
POA3197,0,3,0,382,13,5,0,18,0,4,0,3,0,0,36,85,0,0,5,7,0,0,0,0,0,0,3,17,351,79,12,529,76,215,23,54,14,78,41,1478
POA3198,0,0,0,292,21,4,4,12,3,19,0,0,0,9,41,116,4,0,3,0,4,0,0,0,0,0,6,22,344,90,11,639,146,291,42,68,26,124,46,1825
POA3199,8,14,0,1180,67,11,0,72,4,27,6,12,11,29,153,389,4,0,4,8,3,0,4,0,3,4,18,49,1268,318,66,2069,352,840,115,247,72,420,183,5945
POA3200,0,0,0,14,5,0,0,0,3,5,0,0,0,4,13,33,0,0,0,0,0,0,0,0,0,0,0,3,47,22,3,96,17,98,10,28,11,72,13,416
POA3201,3,0,0,212,34,0,3,26,0,8,3,4,4,10,81,184,5,0,4,5,0,4,0,0,0,4,4,25,582,110,37,802,153,472,44,129,39,162,87,2617
POA3202,0,0,0,127,6,0,0,3,5,3,3,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,3,122,9,3,136,20,77,7,17,0,19,12,426
POA3204,3,20,6,2111,51,6,0,46,8,20,7,10,0,11,91,249,3,0,0,5,0,0,0,0,0,6,5,28,1399,235,32,1512,178,658,58,190,37,276,97,4673
POA3205,0,8,3,421,5,0,0,3,0,4,0,0,0,5,27,43,0,0,0,0,0,0,0,0,0,0,0,9,230,33,13,224,44,157,12,36,11,56,34,841
POA3206,0,7,0,767,16,0,0,8,6,11,0,0,0,3,30,64,4,3,0,0,0,0,0,0,0,0,3,8,359,52,6,370,51,223,15,44,10,65,31,1215
POA3207,3,11,0,856,20,3,0,10,0,12,0,0,0,8,37,100,5,0,0,0,0,0,0,0,0,0,0,11,518,71,11,415,111,277,13,52,19,108,43,1640
POA3211,0,0,0,39,0,0,0,4,0,4,0,0,0,6,5,15,0,0,0,0,0,0,0,0,0,0,0,0,49,8,8,39,8,29,4,12,0,24,5,177
POA3212,4,4,0,425,30,0,0,24,0,7,0,5,3,12,57,145,0,0,3,3,0,3,0,0,0,4,4,16,584,77,21,857,122,393,51,87,33,132,71,2419
POA3213,0,0,0,164,4,0,0,10,0,6,3,0,5,4,22,53,0,0,0,0,0,0,0,0,0,0,3,3,162,34,4,226,29,108,16,29,11,39,22,684
POA3214,0,11,0,77,11,3,0,10,0,14,0,9,3,24,74,152,0,0,0,0,0,4,0,0,3,5,10,24,216,88,25,379,59,395,28,209,45,441,98,1977
POA3215,0,7,0,396,18,7,7,22,10,12,5,8,0,12,63,150,6,0,0,3,0,0,0,0,0,3,6,18,453,107,33,749,131,335,40,129,27,215,71,2292
POA3216,7,19,0,1571,71,14,9,75,18,36,5,16,5,28,151,419,9,0,4,3,0,0,0,0,4,0,19,39,1487,360,60,2665,364,963,105,313,71,391,176,6955
POA3217,4,0,0,364,14,5,0,19,4,13,0,4,3,0,70,132,0,0,3,0,0,0,0,0,0,0,5,13,533,173,43,1058,222,432,65,95,23,64,82,2776
POA3218,0,0,0,514,16,0,3,9,3,0,5,0,0,9,38,97,0,0,4,0,0,0,0,0,0,0,4,10,351,80,18,714,118,220,27,66,15,74,49,1735
POA3219,0,4,0,230,10,5,0,21,0,15,0,6,0,14,42,120,0,0,0,0,0,0,0,0,0,6,0,17,329,96,13,561,86,259,30,104,16,184,48,1727
POA3220,4,5,5,750,28,0,0,37,3,16,0,4,3,9,37,142,0,0,0,4,0,0,0,0,0,0,4,9,416,94,5,722,76,263,30,79,15,92,50,1847
POA3221,0,6,0,53,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,24,4,6,47,0,17,0,5,4,7,5,115
POA3222,0,4,0,337,20,7,0,28,6,15,9,0,5,11,62,163,0,0,0,4,0,0,0,0,0,0,10,13,399,119,17,719,105,281,52,102,41,155,78,2063
POA3223,0,3,0,91,9,4,0,9,6,5,4,0,0,15,28,76,0,0,4,5,0,0,0,0,0,0,5,11,124,48,11,183,30,98,15,41,12,90,33,680
POA3224,0,5,0,245,23,0,0,22,0,12,0,0,0,8,45,121,0,0,0,3,0,0,0,0,0,0,0,7,354,98,13,685,96,232,28,72,18,107,46,1747
POA3225,0,0,0,111,6,3,0,12,0,3,0,0,0,5,17,51,0,0,0,0,0,0,0,0,0,0,0,3,85,41,7,159,30,40,12,13,7,37,15,445
POA3226,9,3,0,479,30,8,0,28,3,10,4,5,0,6,37,129,4,0,0,5,0,0,0,0,0,0,5,13,458,140,28,913,111,215,50,79,22,75,42,2141
POA3227,0,0,0,259,13,3,0,12,0,6,0,0,0,3,16,58,0,0,0,3,0,0,0,0,0,0,0,0,153,48,10,263,33,82,5,13,3,17,19,642
POA3228,4,9,0,962,42,13,4,47,7,12,3,8,8,6,94,242,9,0,4,6,0,4,0,0,0,0,5,26,723,174,40,1290,181,424,59,118,27,92,104,3233
POA3230,0,0,0,74,0,3,0,3,0,0,0,6,0,4,3,27,0,0,0,0,0,0,0,0,0,0,0,3,51,40,7,91,20,26,7,21,3,17,6,293
POA3231,0,0,0,34,7,0,0,8,0,5,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,20,22,0,53,8,15,0,3,0,7,3,135
POA3232,0,3,0,19,3,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,18,10,4,21,6,12,8,3,3,9,0,93
POA3233,0,0,0,14,0,5,5,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,37,25,9,47,0,13,7,12,4,17,3,167
POA3234,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,4,0,0,0,0,0,16
POA3235,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,13,0,5,3,6,0,6,3,47
POA3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,17
POA3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,3,0,0,0,16
POA3238,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,17
POA3239,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,6,0,7,0,3,0,4,0,41
POA3240,0,0,0,86,7,3,0,5,0,0,0,3,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,3,76,23,0,131,19,35,5,16,3,11,7,339
POA3241,0,0,0,39,3,0,0,7,0,9,6,3,0,3,22,43,0,0,0,0,0,0,0,0,0,0,0,5,54,24,3,102,32,48,10,12,7,19,20,340
POA3242,0,0,0,15,7,0,0,6,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,52,5,9,0,9,0,0,4,109
POA3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,10,0,0,0,0,0,4,0,38
POA3249,0,0,0,39,4,0,0,5,0,3,0,5,0,0,14,30,0,0,0,0,0,0,0,0,0,0,3,3,87,22,4,150,12,29,8,21,0,25,19,385
POA3250,0,0,0,119,16,0,4,13,4,8,0,0,0,5,48,98,0,0,0,3,0,0,0,0,0,0,3,8,245,52,10,483,62,155,23,49,14,83,53,1216
POA3251,0,0,0,3,8,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,23,3,4,0,0,0,3,0,62
POA3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,0,15,5,5,0,0,0,0,0,37
