POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3265,..,217,217,350,8,356,144,0,146,138,0,138,76,0,76,49,0,49,754,223,977
POA3266,..,329,329,422,20,446,135,0,140,137,0,137,85,0,85,29,0,29,810,351,1161
POA3267,..,12,12,38,0,39,12,0,12,6,0,6,7,0,7,3,0,3,61,18,73
POA3268,..,244,244,356,19,379,128,3,131,100,0,98,71,0,71,34,0,34,689,263,956
POA3269,..,63,63,86,5,93,35,3,37,31,0,31,16,0,16,8,0,8,174,69,243
POA3270,..,55,55,49,0,51,16,0,16,9,0,9,6,0,6,9,0,9,85,52,137
POA3271,..,25,25,29,0,32,6,0,6,5,0,5,0,0,0,0,0,0,49,24,72
POA3272,..,226,226,243,14,251,75,0,83,38,0,38,42,0,42,23,0,23,427,236,664
POA3273,..,10,10,15,4,19,7,0,7,3,0,3,0,0,0,0,0,0,37,16,45
POA3274,..,27,27,38,0,38,16,0,16,6,0,6,9,0,9,3,0,3,68,27,96
POA3275,..,20,20,48,0,50,13,0,13,34,0,34,17,0,17,9,0,9,125,22,147
POA3276,..,44,44,62,0,64,28,0,28,19,0,19,17,0,17,3,0,3,119,43,166
POA3277,..,140,140,242,6,251,94,0,91,97,0,97,52,0,52,23,0,23,499,148,654
POA3278,..,20,20,50,0,53,14,0,16,16,0,16,9,0,9,3,0,3,98,23,120
POA3279,..,10,10,26,4,26,5,0,10,17,0,17,12,0,12,6,0,6,71,18,86
POA3280,..,4110,4110,4389,307,4689,1797,84,1876,1596,29,1627,700,11,704,250,4,254,8719,4549,13266
POA3281,..,89,89,203,10,220,90,0,85,131,0,131,59,0,59,28,0,28,514,98,608
POA3282,..,209,209,354,7,363,138,5,140,148,0,148,60,0,60,20,0,20,718,224,941
POA3283,..,95,95,204,8,203,72,0,77,67,0,67,41,0,41,24,0,24,402,105,508
POA3284,..,443,443,585,26,610,144,0,148,180,0,180,94,0,94,16,0,16,1022,472,1492
POA3285,..,115,115,173,3,174,66,0,65,67,0,67,39,0,39,6,0,6,347,121,468
POA3286,..,62,62,84,9,93,29,0,29,23,0,23,12,0,12,4,0,4,149,72,227
POA3287,..,27,27,64,7,66,20,0,19,26,0,26,8,0,8,8,0,8,121,32,150
POA3289,..,103,103,102,10,113,33,0,33,42,0,42,19,0,19,5,0,5,203,111,313
POA3292,..,28,28,37,0,34,5,0,5,3,0,3,0,0,0,0,0,0,44,34,76
POA3293,..,51,51,50,0,46,14,0,14,20,0,20,5,0,5,5,0,5,85,54,139
POA3294,..,127,127,133,7,144,46,0,52,38,0,38,23,0,23,10,0,10,256,137,390
POA3300,..,1555,1555,1458,81,1538,547,17,559,438,0,442,205,0,209,84,0,84,2728,1656,4387
POA3301,..,103,103,181,7,192,66,0,66,63,0,63,34,0,34,10,0,10,361,109,469
POA3302,..,33,33,64,0,62,26,0,26,18,0,18,9,0,9,0,0,0,106,33,139
POA3303,..,29,29,45,0,45,16,0,16,11,0,11,10,0,10,0,0,0,86,33,116
POA3304,..,376,376,413,20,432,128,0,129,106,0,106,49,0,49,25,0,25,724,399,1117
POA3305,..,1644,1644,1947,122,2072,729,10,738,601,3,607,221,0,224,96,0,99,3598,1777,5377
POA3309,..,15,15,15,3,20,5,0,5,7,0,7,0,0,0,0,0,0,28,14,48
POA3310,..,56,56,45,5,49,11,0,11,8,0,8,4,0,4,0,0,0,69,61,128
POA3311,..,313,313,273,13,294,79,4,83,45,0,49,16,0,16,10,0,10,431,336,772
POA3312,..,100,100,165,17,179,34,0,35,40,0,40,31,0,31,12,0,12,281,117,392
POA3314,..,57,57,95,0,96,14,0,14,28,0,28,12,0,12,8,0,8,159,58,222
POA3315,..,260,260,263,18,272,62,0,62,61,0,61,36,0,36,16,0,16,436,277,714
POA3317,..,32,32,27,0,27,7,0,7,6,0,8,5,0,5,0,0,0,49,29,77
POA3318,..,213,213,184,13,195,39,0,39,42,0,40,32,0,32,8,0,8,299,228,534
POA3319,..,57,57,59,7,68,23,0,23,7,0,7,6,0,6,3,0,3,100,59,158
POA3321,..,68,68,194,0,200,93,0,94,126,0,126,62,0,62,25,0,25,497,71,573
POA3322,..,37,37,31,0,29,4,0,4,3,0,3,3,0,3,3,0,3,44,40,91
POA3323,..,10,10,15,0,21,3,0,3,0,0,0,5,0,5,0,0,0,26,13,41
POA3324,..,102,102,86,3,89,20,0,23,23,0,23,13,0,13,6,0,6,150,109,258
POA3325,..,66,66,80,7,90,14,0,14,18,0,18,9,0,9,3,0,3,124,77,200
