POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3044,365,338,190,94,117,75,52,1239,167,188,86,60,64,45,23,627,180,158,94,39,50,40,12,576,799,808,446,316,423,238,100,3136,6,0,4,4,0,0,0,9,1522,1505,814,519,652,399,187,5599,22,37,32,28,36,20,9,194,23,35,30,18,23,15,9,148,3,8,23,13,15,12,8,84,51,99,75,46,84,52,31,435,4,3,0,0,0,0,0,15,100,185,158,98,158,101,61,869,1624,1684,972,618,818,506,252,6465
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,1007,811,336,192,212,176,109,2848,262,186,106,70,73,50,20,767,220,141,72,42,47,26,12,562,779,517,267,197,217,102,65,2142,10,18,9,3,4,0,0,47,2276,1668,786,504,559,352,216,6365,53,82,55,47,78,45,22,381,43,48,37,22,43,13,11,217,14,34,22,21,16,10,9,123,99,128,69,41,90,47,33,505,9,3,6,3,4,0,4,27,216,297,182,137,224,121,81,1252,2499,1960,972,635,786,473,294,7613
POA3047,760,769,436,274,329,193,102,2867,199,177,91,50,65,20,6,613,91,101,52,19,27,9,3,296,146,116,47,36,31,22,12,413,14,10,5,6,8,3,0,41,1220,1167,632,382,451,245,130,4234,86,100,81,56,98,53,33,514,27,48,21,19,23,8,7,146,13,27,20,18,19,8,0,109,81,90,60,41,56,10,7,354,8,17,11,9,0,0,0,38,216,288,189,136,199,83,42,1164,1435,1460,823,520,654,334,173,5395
POA3048,521,578,352,233,307,227,140,2356,194,175,85,52,63,21,13,606,73,70,33,24,24,12,7,243,146,114,47,29,35,11,8,396,16,20,13,5,0,0,0,54,948,948,530,347,430,272,178,3653,68,116,76,73,110,72,49,564,37,42,24,22,22,9,3,170,3,16,14,11,9,6,6,72,55,80,39,27,27,9,6,243,7,10,5,4,4,0,0,33,177,270,158,149,173,97,68,1089,1124,1217,689,496,599,366,240,4742
POA3049,87,95,54,40,62,39,30,414,45,39,19,14,26,12,8,173,36,35,16,15,23,19,6,146,279,260,154,96,128,66,37,1022,0,6,0,4,0,0,0,10,452,432,247,167,241,140,80,1773,5,12,9,14,19,11,11,80,12,10,12,8,8,5,0,53,6,5,6,0,4,7,0,35,42,45,40,27,45,16,10,227,0,3,0,0,0,0,0,3,61,83,69,44,81,39,26,396,518,513,312,217,328,181,107,2168
POA3051,193,193,133,78,95,55,22,775,38,34,25,20,16,11,9,143,56,43,27,16,20,8,4,175,117,97,60,41,47,24,3,385,0,0,0,0,0,0,0,6,404,367,246,144,181,99,36,1485,50,83,57,45,78,36,23,367,3,11,0,5,4,0,0,25,3,19,7,5,8,3,0,47,10,17,12,16,17,7,5,82,11,8,0,4,4,0,0,20,79,130,88,69,103,50,29,544,490,496,327,215,285,151,66,2028
POA3052,82,47,29,19,20,22,11,230,5,15,8,0,0,0,0,35,18,13,11,10,11,3,3,76,23,22,15,11,23,14,5,116,0,0,0,0,0,0,0,0,134,109,61,40,58,42,19,466,9,11,0,7,5,10,10,55,0,6,0,0,3,0,0,9,0,0,3,4,5,0,0,14,0,6,6,4,9,5,0,30,0,0,0,0,0,0,0,3,15,26,12,16,25,17,10,114,149,136,70,59,83,57,32,574
POA3053,130,121,64,35,45,23,9,428,26,12,7,3,11,5,0,62,26,20,9,6,3,5,3,73,57,35,23,17,14,16,0,155,0,3,0,0,0,0,0,5,232,188,102,59,71,47,15,717,33,38,36,26,28,53,21,233,3,9,6,3,0,0,0,19,9,3,0,0,3,7,3,22,5,4,6,5,3,8,3,33,9,22,6,0,5,0,0,37,57,71,58,32,46,60,23,346,290,264,159,94,118,108,41,1068
POA3054,30,26,21,11,11,6,3,104,36,25,15,15,17,7,0,116,39,37,21,9,3,11,5,127,165,142,55,57,79,46,9,568,0,0,0,0,0,0,0,0,272,230,112,91,113,71,22,921,0,10,9,4,4,6,0,33,9,11,13,3,6,0,0,33,0,10,3,0,0,0,0,10,17,16,12,3,21,11,4,85,0,0,4,0,0,0,0,8,23,47,36,12,28,22,3,172,297,277,150,108,138,88,30,1090
