POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3707,297,141,156,173,217,309,280,206,87,1871
POA3708,11,6,9,4,5,18,8,3,0,66
POA3709,25,20,10,31,33,69,90,27,4,307
POA3711,77,40,51,58,80,115,114,43,14,591
POA3712,37,28,21,37,41,67,71,32,9,354
POA3713,106,62,85,85,130,209,179,110,57,1023
POA3714,540,321,306,370,469,585,667,372,122,3749
POA3715,54,22,30,43,49,71,71,29,4,371
POA3717,495,309,249,350,454,642,608,344,94,3544
POA3718,7,5,6,9,14,20,22,13,7,91
POA3719,42,31,27,34,67,91,83,42,5,420
POA3720,61,56,75,45,110,136,143,45,5,666
POA3722,1055,444,553,700,669,893,838,485,182,5815
POA3723,617,439,342,375,441,636,609,217,51,3727
POA3725,119,49,54,72,71,111,123,29,8,645
POA3726,60,37,24,35,71,73,75,33,7,411
POA3727,44,29,30,28,34,65,43,28,10,303
POA3728,131,65,65,64,83,129,101,46,5,687
POA3730,1541,839,849,913,1112,1343,1672,1056,402,9719
POA3732,97,55,50,60,91,87,97,55,13,608
POA3733,32,21,14,20,21,43,39,21,5,220
POA3735,100,49,80,58,87,124,83,35,25,638
POA3737,665,427,385,440,555,723,650,395,195,4426
POA3738,26,20,25,20,29,44,29,8,0,197
POA3739,34,22,15,36,32,58,33,11,4,239
POA3740,207,102,120,137,179,178,153,88,21,1183
POA3741,505,312,344,412,477,518,483,291,88,3426
POA3744,112,35,37,68,81,84,66,34,7,522
POA3746,57,30,29,45,60,69,58,37,9,382
POA3747,804,411,378,603,719,809,816,388,128,5054
POA3749,395,167,113,241,282,377,288,169,85,2123
POA3750,7106,2427,5190,5239,2036,1253,854,253,48,24407
POA3751,20,15,10,9,20,22,33,10,3,150
POA3752,5217,3497,3299,3971,3783,2520,1530,795,380,24989
POA3753,1264,483,899,807,542,355,224,65,10,4642
POA3754,13596,5650,7613,9807,6150,3641,2739,1125,169,50494
POA3755,34,25,29,16,39,37,31,26,7,246
POA3756,3862,1890,2588,2408,1949,1702,1038,406,88,15931
POA3757,1844,1240,1011,1147,1464,1223,1036,509,246,9735
POA3758,484,255,237,292,348,336,245,67,14,2281
POA3759,164,143,78,103,177,193,134,50,14,1063
POA3760,60,47,19,38,67,81,48,5,0,356
POA3761,185,165,84,134,190,193,155,66,8,1186
POA3762,22,5,15,7,18,25,16,3,6,117
POA3763,293,187,185,224,291,260,162,54,9,1662
POA3764,1976,1277,1237,1216,1443,1299,1136,721,264,10578
POA3765,1349,767,774,912,946,797,702,430,213,6900
POA3766,245,115,121,189,234,170,140,62,8,1277
POA3767,220,134,113,161,172,185,166,86,25,1271
POA3770,621,426,405,389,425,470,348,178,43,3306
POA3775,724,436,430,460,569,590,528,268,71,4080
POA3777,1812,1111,1158,1246,1477,1667,1343,794,311,10922
POA3778,29,13,24,9,37,48,39,9,0,201
POA3779,47,37,49,39,50,89,114,64,12,501
POA3781,1032,534,624,666,670,606,361,115,31,4638
POA3782,1452,966,712,995,1245,1159,920,404,121,7974
POA3783,518,307,265,294,385,384,251,125,29,2559
POA3785,16,5,12,13,4,8,7,3,0,69
POA3786,267,178,112,188,260,241,174,76,15,1524
POA3787,143,115,86,105,160,163,135,41,9,961
POA3788,315,172,154,224,300,265,244,80,14,1773
POA3789,52,31,27,18,47,45,37,20,3,294
POA3791,206,138,105,191,223,232,222,87,11,1418
POA3792,203,95,81,122,162,159,154,50,17,1046
POA3793,711,440,364,465,579,442,416,182,63,3651
POA3795,254,146,152,165,185,188,131,82,21,1323
POA3796,1962,1201,1304,1326,1305,1231,935,452,76,9799
POA3797,675,419,392,405,520,495,489,269,102,3764
POA3799,949,627,610,654,937,982,742,328,118,5951
POA3802,4306,2909,3327,3389,2928,3446,2720,1079,361,24455
POA3803,2228,1440,1722,1455,1290,1377,995,546,294,11355
POA3804,1480,1338,779,875,1307,1281,828,389,189,8466
POA3805,12171,8954,8166,8093,8373,6721,3764,1793,572,58600
POA3806,10657,6870,5510,7771,7609,5620,3829,2447,1003,51308
POA3807,1468,1203,729,980,1298,968,587,327,92,7655
POA3808,635,416,210,414,483,467,336,142,42,3147
POA3809,4886,2276,4161,3511,2024,1326,1067,364,45,19662
POA3810,13280,6587,9651,8644,6174,4584,3591,2294,799,55588
POA3812,451,322,258,295,398,382,270,80,37,2488
POA3813,153,146,111,94,142,176,84,46,15,963
POA3814,531,307,302,302,327,353,284,173,36,2604
POA3815,786,458,389,446,479,481,339,233,87,3693
POA3816,698,315,466,428,359,445,312,156,32,3227
POA3818,3479,1789,2281,1928,1979,2143,2087,1219,415,17313
POA3820,3671,2221,2708,2315,2399,2413,2283,1461,576,20054
POA3821,603,335,301,332,427,530,412,166,31,3142
POA3822,199,117,99,131,159,147,95,53,11,1001
POA3823,366,210,258,211,223,340,325,142,38,2117
POA3824,1036,569,567,667,674,672,733,379,150,5438
POA3825,3455,2254,2537,2227,2607,3016,2820,1540,619,21078
POA3831,347,208,182,211,229,324,312,149,52,2012
POA3832,38,20,19,26,25,46,48,26,0,245
POA3833,36,30,22,34,44,78,60,31,6,340
POA3835,83,50,50,48,60,82,69,23,10,475
POA3840,3009,1898,2025,1845,2156,2480,2126,1194,497,17225
POA3842,938,646,637,561,547,650,610,303,47,4924
POA3844,5746,3533,4209,3908,3686,3994,3432,1907,765,31179
POA3847,388,220,289,263,283,343,312,151,24,2278
POA3850,2832,1705,1885,1790,1930,1927,1822,1107,466,15472
POA3851,833,518,718,814,858,1094,996,339,59,6231
POA3852,3,117,64,13,4,3,0,0,0,210
POA3854,288,175,169,168,209,231,163,67,9,1478
POA3856,228,122,128,155,115,173,134,24,3,1085
POA3857,53,45,43,41,51,68,68,16,3,389
POA3858,527,337,322,322,369,455,476,233,82,3125
POA3859,186,103,109,101,116,141,111,67,17,945
POA3860,1391,778,810,858,813,1079,1054,508,166,7455
POA3862,672,375,437,391,398,495,522,203,54,3547
POA3864,34,18,25,28,31,46,39,14,0,241
POA3865,79,46,77,70,55,76,79,35,10,527
POA3869,310,180,213,188,218,299,220,89,22,1738
POA3870,203,119,127,133,167,279,193,81,21,1319
POA3871,542,260,246,314,421,479,456,231,85,3039
POA3873,71,19,26,54,31,55,42,14,0,324
POA3874,59,46,33,51,83,137,148,41,10,610
POA3875,3435,2033,2172,2024,2359,2759,2816,1788,630,20015
POA3878,135,94,89,85,150,255,319,131,46,1306
POA3880,391,226,239,240,398,722,1100,698,218,4235
POA3882,236,130,135,120,156,212,209,103,24,1322
POA3885,314,153,202,196,257,340,261,113,36,1876
POA3886,74,49,28,38,60,59,77,29,7,415
POA3887,25,21,20,34,39,57,55,21,0,268
POA3888,505,251,311,298,397,664,605,349,119,3502
POA3889,16,10,3,7,20,38,46,23,5,171
POA3890,50,25,15,37,51,81,51,26,3,335
POA3891,19,0,4,14,12,30,23,12,0,121
POA3892,142,59,71,105,125,240,264,130,47,1183
POA3893,4,0,0,5,0,6,6,0,0,25
POA3895,23,13,19,13,36,39,31,18,4,198
POA3896,58,22,30,27,60,63,58,33,0,351
POA3898,70,63,65,76,117,133,115,51,19,705
POA3900,17,5,14,16,21,37,42,18,7,173
POA3902,48,41,30,34,53,62,89,54,3,423
POA3903,151,46,80,98,92,123,181,72,19,861
POA3904,230,98,98,155,201,392,489,205,31,1899
POA3909,1252,737,674,787,973,1341,1709,948,291,8713
POA3910,4697,2749,3076,3318,3205,2973,2136,1079,357,23588
POA3911,573,454,447,420,501,509,370,186,53,3514
POA3912,2892,1816,2025,1901,2004,2151,1637,859,359,15633
POA3913,579,452,423,356,496,517,374,187,64,3449
POA3915,1951,1096,1372,1241,1231,1281,1328,913,309,10723
POA3916,119,65,65,63,124,202,218,120,52,1036
POA3918,733,444,425,456,596,632,604,334,59,4276
POA3919,652,369,465,418,454,446,347,162,30,3343
POA3920,109,639,217,98,41,16,0,0,0,1124
POA3921,16,13,5,24,22,21,30,13,4,139
POA3922,1518,696,837,1025,1162,1728,1857,947,339,10118
POA3923,85,58,38,66,88,191,232,79,16,836
POA3925,754,386,418,555,595,774,681,288,95,4550
POA3926,604,298,209,388,462,527,525,319,100,3421
POA3927,287,172,102,183,217,327,355,175,36,1857
POA3928,46,44,22,33,72,90,97,39,10,453
POA3929,105,80,34,72,107,240,283,182,32,1130
POA3930,3848,2201,913,2140,2989,2471,2194,1446,531,18734
POA3931,3861,2480,2101,2702,3409,3148,3704,3001,1341,25759
POA3933,140,143,77,93,158,161,135,63,25,1004
POA3934,3814,2269,1144,2246,3132,2514,2445,1657,618,19846
POA3936,1798,1237,1134,1324,1809,1958,2215,1442,451,13366
POA3937,266,167,100,138,254,332,305,118,33,1717
POA3938,400,286,244,296,400,541,676,378,90,3311
POA3939,2346,1454,1555,1631,1952,2269,2424,1626,636,15900
POA3940,657,362,469,436,504,545,797,817,665,5246
POA3941,2144,1093,1256,1448,1897,2091,2120,1142,395,13591
POA3942,325,201,159,221,321,480,642,352,83,2786
POA3943,172,105,89,119,194,335,590,329,68,2013
POA3944,28,19,24,24,63,157,235,191,38,787
POA3945,197,55,109,110,158,208,172,72,8,1092
POA3946,40,19,37,26,37,71,45,13,9,303
