POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3132,105,40,0,0,0,147,29,8,0,0,0,42,25,10,0,0,0,37,42,8,0,0,0,46,45,15,4,0,0,68,116,64,22,0,0,214,154,84,23,0,0,262,279,142,16,0,0,439,191,107,6,0,0,297,312,90,4,0,0,403,213,35,0,0,0,250,80,35,9,0,0,124,1581,639,93,0,0,2320
POA3133,192,16,0,0,0,206,34,7,0,0,0,38,35,5,0,0,0,44,52,7,0,0,0,59,57,13,0,0,0,68,171,29,4,0,0,200,192,32,14,0,0,234,411,87,9,0,0,505,350,62,5,0,0,418,504,24,0,0,0,533,358,15,0,0,0,376,163,21,0,0,0,184,2516,312,36,0,0,2861
POA3134,226,3,8,0,0,247,80,0,3,0,0,85,77,0,4,0,0,80,106,3,8,0,0,118,120,13,14,0,0,149,389,17,54,0,0,464,476,32,76,0,0,583,874,48,72,0,0,989,642,19,15,0,0,684,642,23,16,0,0,682,379,3,9,0,0,396,291,7,14,0,0,309,4307,171,298,0,5,4785
POA3135,126,5,0,0,0,135,56,0,0,0,0,56,51,0,0,0,0,51,70,3,0,0,0,75,86,5,0,0,0,88,246,18,4,0,0,259,379,32,4,0,0,418,645,41,3,0,0,693,447,24,0,0,0,474,401,13,0,0,0,412,212,7,0,0,0,216,142,10,0,0,0,153,2856,159,14,0,0,3032
POA3136,313,22,6,0,0,347,109,6,4,0,0,126,100,8,0,0,0,107,160,10,8,0,0,177,232,20,10,0,0,271,670,68,56,0,0,790,833,113,70,0,0,1017,1513,137,23,0,4,1675,1055,77,8,0,0,1141,801,27,4,0,0,836,368,9,8,0,0,379,328,21,3,0,0,355,6488,525,202,0,5,7223
POA3137,103,13,0,0,0,117,45,0,0,0,0,48,44,8,3,0,0,52,54,3,0,0,0,56,91,0,0,0,0,98,250,19,0,0,0,268,313,29,0,0,0,347,609,64,0,0,0,676,339,26,0,0,0,370,171,7,0,0,0,179,100,8,0,0,0,109,144,8,0,0,0,155,2273,190,13,0,0,2476
POA3138,141,0,0,0,0,148,56,0,0,0,0,55,36,0,0,0,0,36,93,4,0,0,0,93,118,0,0,0,0,125,350,20,0,0,0,374,517,19,0,0,0,533,963,44,3,0,0,1005,601,15,0,0,0,621,348,7,0,0,0,353,165,0,0,0,0,169,197,8,0,0,0,202,3589,122,4,0,0,3718
POA3139,125,0,0,0,0,125,47,0,0,0,0,47,47,0,0,0,0,47,82,0,0,0,0,82,108,0,0,0,0,108,329,0,0,0,0,329,455,0,0,0,0,458,683,0,0,0,0,683,298,0,0,0,0,298,194,0,0,0,0,195,114,0,0,0,0,114,189,0,0,0,0,187,2669,0,0,0,0,2675
POA3140,118,12,0,0,0,125,34,9,0,0,0,52,39,9,0,0,0,49,56,5,0,0,0,70,84,16,0,0,0,106,262,43,0,0,5,300,400,83,0,0,0,480,636,75,0,0,0,710,386,20,0,0,0,406,284,8,0,0,0,288,136,4,0,0,0,134,175,10,0,0,0,191,2618,294,4,4,3,2916
POA3141,26,21,87,0,0,138,0,6,8,0,0,16,0,8,15,0,0,17,4,3,24,0,0,27,4,7,38,0,0,54,14,22,239,0,0,278,7,10,290,0,0,307,16,35,402,0,0,451,14,31,151,0,0,198,24,64,166,0,0,254,123,162,146,0,0,434,23,35,85,0,0,147,254,404,1657,0,6,2313
