POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3831,189,19,9,0,0,0,3,212
POA3832,20,4,3,0,0,0,0,23
POA3833,13,3,0,0,0,0,0,22
POA3835,46,4,0,0,0,0,0,55
POA3840,1175,142,86,14,4,0,17,1444
POA3842,340,45,33,5,0,0,8,434
POA3844,2794,326,175,23,0,5,17,3332
POA3847,194,16,10,4,0,0,3,231
POA3850,1273,137,83,4,3,0,8,1505
POA3851,456,30,18,0,0,0,9,518
POA3852,0,0,0,0,0,0,0,0
POA3854,170,15,10,0,0,0,0,200
POA3856,107,13,15,0,0,0,4,140
POA3857,35,0,0,0,0,0,0,40
POA3858,267,21,15,0,0,0,0,305
POA3859,90,8,6,0,0,0,0,103
POA3860,635,56,35,10,0,0,3,740
POA3862,330,39,22,5,3,0,5,399
POA3864,18,3,3,0,0,0,0,21
POA3865,40,0,0,0,0,0,0,47
POA3869,176,22,5,0,0,0,3,211
POA3870,101,18,6,3,0,0,0,129
POA3871,259,30,16,6,0,0,0,301
POA3873,33,0,0,0,0,0,0,37
POA3874,37,7,3,0,0,0,0,42
POA3875,1624,172,86,14,3,3,21,1924
POA3878,79,12,0,0,0,0,0,91
POA3880,202,27,14,7,0,0,0,249
POA3882,121,9,7,5,0,0,3,146
POA3885,168,15,3,0,0,0,0,196
POA3886,33,0,3,0,0,0,0,35
POA3887,16,0,0,0,0,0,0,25
POA3888,221,19,18,3,0,0,4,273
POA3889,7,0,0,0,0,0,0,7
POA3890,18,0,0,0,0,0,0,20
POA3891,3,4,0,0,0,0,0,4
POA3892,76,8,3,0,0,0,0,83
POA3893,0,0,0,0,0,0,0,0
POA3895,13,0,0,0,0,0,0,17
POA3896,25,4,5,0,0,0,0,32
POA3898,38,3,0,0,0,0,0,43
POA3900,5,0,0,0,0,0,0,5
POA3902,30,3,0,0,0,0,0,31
POA3903,77,12,4,0,0,0,0,87
POA3904,120,10,3,0,0,0,0,135
POA3909,530,63,39,10,0,0,4,646
POA3910,2752,259,152,28,3,4,12,3205
POA3911,379,38,24,7,0,0,0,458
POA3912,1717,190,106,18,0,0,11,2041
POA3913,366,45,25,0,0,0,0,435
POA3915,817,84,61,6,0,0,8,981
POA3916,84,0,0,0,0,0,0,91
POA3918,447,51,9,4,0,4,0,510
POA3919,308,40,22,5,0,0,4,380
POA3920,40,7,0,0,0,0,0,52
POA3921,10,0,0,0,0,0,0,9
POA3922,699,53,36,5,0,0,11,802
POA3923,54,7,0,0,0,0,0,57
POA3925,395,37,11,0,0,0,0,452
POA3926,351,22,9,6,0,0,0,381
POA3927,186,11,4,0,0,0,0,195
POA3928,34,8,0,0,0,0,0,42
POA3929,70,5,0,0,0,0,0,77
POA3930,2568,130,48,8,0,0,9,2765
POA3931,2270,240,88,15,0,0,14,2628
POA3933,116,9,5,0,0,0,0,132
