POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3268,214,151,55,24,1160
POA3269,53,52,17,0,350
POA3270,38,38,16,0,171
POA3271,25,15,3,3,88
POA3272,135,113,56,20,739
POA3273,18,10,4,0,68
POA3274,23,21,8,0,117
POA3275,29,15,4,3,220
POA3276,43,26,0,0,193
POA3277,144,106,34,7,847
POA3278,29,16,4,0,169
POA3279,18,13,5,0,130
POA3280,2585,1934,1010,432,16305
POA3281,160,111,32,0,911
POA3282,226,186,75,18,1251
POA3283,150,92,23,4,691
POA3284,375,447,206,91,2141
POA3285,128,98,33,0,639
POA3286,50,43,12,0,238
POA3287,29,12,6,0,183
POA3289,83,58,24,8,353
POA3292,25,35,3,5,107
POA3293,36,35,13,0,176
POA3294,82,108,33,16,519
POA3300,807,713,388,183,4900
POA3301,140,116,29,3,636
POA3302,36,22,12,3,181
POA3303,21,6,5,3,136
POA3304,231,199,60,30,1177
POA3305,1168,942,388,124,6096
POA3309,10,14,10,0,59
POA3310,47,24,12,0,131
POA3311,168,148,84,33,750
POA3312,98,93,24,4,495
POA3314,52,50,15,5,295
POA3315,175,123,48,22,780
POA3317,24,16,4,0,97
POA3318,120,108,40,23,575
POA3319,49,25,12,0,198
POA3321,172,93,33,3,935
POA3322,25,17,4,0,86
POA3323,12,12,0,0,48
POA3324,61,37,14,7,251
POA3325,49,30,21,4,216
POA3328,173,119,33,9,1149
POA3329,38,18,4,0,157
POA3330,12,12,3,3,88
POA3331,419,325,159,65,3463
POA3332,109,44,17,0,574
POA3333,95,62,21,5,451
POA3334,60,38,16,0,280
POA3335,191,100,27,4,3101
POA3336,426,185,45,4,8566
POA3337,2095,1399,530,88,16896
POA3338,1305,941,334,100,15860
POA3340,1610,1237,553,136,12094
POA3341,173,92,34,7,849
POA3342,346,236,117,39,1943
POA3345,158,83,29,0,708
POA3350,5063,4018,1902,748,34483
POA3351,812,593,199,22,4419
POA3352,1611,1123,374,47,9114
POA3355,819,749,529,236,5887
POA3356,893,793,429,170,6858
POA3357,390,360,129,29,2050
POA3358,125,77,38,4,1650
POA3360,60,71,32,3,386
POA3361,78,44,27,9,325
POA3363,334,312,162,70,1852
POA3364,234,231,62,15,1223
POA3370,205,172,76,16,941
POA3371,163,122,39,11,559
POA3373,215,204,77,36,1144
POA3374,54,59,17,3,253
POA3375,26,11,6,0,102
POA3377,761,602,302,93,4171
POA3378,7,11,0,0,69
POA3379,87,73,32,9,374
POA3380,467,444,245,116,2824
POA3381,189,146,43,15,835
POA3384,71,47,24,4,305
POA3385,58,73,15,3,289
POA3387,18,18,5,0,130
POA3388,71,40,20,14,290
POA3390,80,63,31,13,403
POA3391,20,10,0,0,67
POA3392,63,46,24,20,275
POA3393,221,187,121,56,1198
POA3395,39,23,11,3,161
POA3396,52,47,23,8,259
POA3400,988,799,419,188,6845
POA3401,468,260,100,17,2201
POA3407,35,26,22,7,191
POA3409,113,55,28,34,505
POA3412,17,20,15,0,106
POA3413,13,4,8,3,79
