POA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3142,479,2379,1760,503,298,5420,63,5481
POA3143,581,2209,1226,205,101,4316,45,4361
POA3144,345,1878,1500,367,178,4267,47,4312
POA3145,809,3485,3247,845,403,8790,98,8883
POA3146,547,3975,3803,992,469,9787,110,9894
POA3147,421,2015,2125,530,245,5331,69,5405
POA3148,247,1433,1388,357,150,3567,59,3623
POA3149,530,4402,5236,1508,689,12363,120,12481
POA3150,1282,7063,9040,2805,1288,21483,231,21719
POA3151,277,1557,1552,390,196,3970,50,4021
POA3152,508,3577,5430,1672,855,12044,126,12166
POA3153,429,3128,3209,946,428,8140,116,8257
POA3154,42,361,714,249,164,1529,18,1545
POA3155,457,3604,3676,1046,462,9239,108,9347
POA3156,519,4028,5734,2068,1367,13716,136,13853
POA3158,55,582,1117,397,237,2395,22,2413
POA3159,9,179,370,152,132,842,11,852
POA3160,75,864,1372,535,344,3189,25,3218
POA3161,659,3017,2283,480,249,6687,86,6773
POA3162,409,2562,2814,591,297,6679,65,6741
POA3163,1742,6967,4064,793,382,13951,160,14112
POA3165,502,3757,4761,1165,535,10723,82,10802
POA3166,851,3804,3330,864,406,9254,120,9378
POA3167,224,1307,1426,395,195,3541,36,3579
POA3168,1124,3242,1966,449,243,7024,121,7150
POA3169,609,2892,2512,858,362,7230,125,7364
POA3170,258,2032,3090,916,460,6759,92,6856
POA3171,719,2724,2257,829,467,7002,166,7165
POA3172,337,2225,3140,1200,619,7519,108,7627
POA3173,338,2235,4035,1538,860,9009,94,9102
POA3174,1182,5458,4541,1487,744,13416,267,13683
POA3175,1724,7069,5670,1882,1080,17428,425,17855
POA3177,378,1571,1359,396,229,3927,114,4045
POA3178,247,2740,5101,1965,1259,11314,78,11398
POA3179,52,570,943,318,168,2049,16,2074
POA3180,69,929,1259,372,189,2820,20,2838
POA3181,2207,5239,1845,299,110,9705,126,9829
POA3182,2835,6503,1872,278,121,11611,172,11779
POA3183,1355,4125,1907,289,120,7793,140,7932
POA3184,812,4009,1917,319,130,7186,74,7264
POA3185,620,2769,1748,332,131,5598,58,5662
POA3186,449,3493,3512,951,491,8894,88,8981
POA3187,311,2052,2572,685,322,5948,61,6009
POA3188,474,2687,2732,738,316,6949,71,7016
POA3189,175,940,944,242,79,2380,36,2415
POA3190,305,2153,1842,329,144,4771,54,4828
POA3191,282,1710,1643,392,185,4218,45,4266
POA3192,646,3962,3645,795,365,9415,99,9517
POA3193,220,2253,3410,977,516,7376,63,7444
POA3194,421,2493,2029,430,225,5603,39,5638
POA3195,696,4670,5781,1655,833,13631,95,13726
POA3196,663,4463,4338,942,398,10801,117,10917
POA3197,286,1662,1992,570,285,4801,72,4877
POA3198,518,2939,2662,662,284,7071,116,7191
POA3199,1619,8390,8235,2347,1108,21700,329,22026
POA3200,239,926,678,185,81,2108,40,2148
POA3201,375,3007,3286,1030,500,8203,98,8307
POA3202,31,297,466,110,47,953,12,965
POA3204,833,5191,4628,1092,459,12205,124,12329
POA3205,1281,3051,973,120,49,5482,67,5547
POA3206,435,2019,1332,240,93,4114,34,4147
POA3207,930,4152,2177,353,111,7724,108,7830
POA3211,6,45,161,75,103,398,8,406
POA3212,160,1817,2752,1006,639,6368,60,6427
POA3213,17,281,587,311,321,1517,16,1537
POA3214,1108,3882,2781,888,429,9087,223,9312
POA3215,557,3427,3356,925,466,8736,133,8867
POA3216,1066,7827,9236,2661,1451,22239,245,22490
POA3217,76,1840,3614,904,448,6878,59,6939
POA3218,525,2596,2344,553,256,6277,65,6345
POA3219,729,3647,2853,812,454,8500,146,8645
POA3220,547,2808,2562,646,309,6875,62,6934
POA3221,3,27,119,61,52,258,5,261
POA3222,162,2375,2958,1016,600,7104,78,7182
POA3223,117,1581,1670,474,226,4069,66,4135
POA3224,158,1860,2321,789,513,5632,65,5699
POA3225,64,887,971,212,109,2255,26,2273
POA3226,147,2072,3048,852,376,6488,82,6567
POA3227,31,526,980,285,112,1930,26,1959
POA3228,128,2279,4060,1135,622,8222,65,8292
POA3230,37,413,576,149,58,1228,22,1245
POA3231,13,247,261,71,39,632,9,637
POA3232,21,205,168,71,33,494,5,502
POA3233,39,446,327,109,25,946,18,963
POA3234,0,40,34,15,4,91,0,90
POA3235,0,43,73,29,21,167,5,171
POA3236,3,27,43,8,4,90,0,96
POA3237,0,25,45,18,13,101,6,102
POA3238,3,42,39,11,10,104,3,108
POA3239,3,54,73,32,26,177,0,184
POA3240,0,74,285,173,157,692,19,711
POA3241,30,307,467,179,156,1143,28,1169
POA3242,5,106,165,39,40,361,3,363
POA3243,0,28,60,26,31,142,7,146
POA3249,4,237,468,267,221,1207,28,1231
POA3250,389,1881,1796,611,334,5013,115,5127
POA3251,5,55,90,38,35,224,4,228
POA3254,0,27,45,31,19,121,0,121
POA3260,107,609,693,288,214,1910,31,1939
POA3264,48,320,308,140,88,899,25,926
POA3265,10,173,381,217,190,965,12,977
POA3266,39,319,408,212,168,1144,16,1161
POA3267,5,11,24,13,22,72,7,73
POA3268,24,247,353,178,138,934,18,956
POA3269,6,56,89,50,34,236,5,243
POA3270,4,48,58,18,10,137,0,137
POA3271,0,20,20,23,8,72,0,72
POA3272,25,214,248,104,64,649,14,664
POA3273,0,11,11,13,14,45,0,45
POA3274,3,22,31,24,13,96,0,96
POA3275,0,17,58,32,40,145,4,147
POA3276,6,30,75,32,27,166,0,166
POA3277,12,142,261,123,107,641,8,654
POA3278,0,22,51,24,22,111,5,120
POA3279,0,7,41,17,21,84,0,86
POA3280,764,5005,5067,1497,739,13076,192,13266
POA3281,5,71,255,159,122,605,3,608
POA3282,21,243,416,161,81,925,19,941
POA3283,0,77,205,126,82,494,15,508
POA3284,69,503,649,170,85,1470,20,1492
POA3285,4,93,189,104,70,457,7,468
POA3286,5,52,79,39,46,216,12,227
POA3287,3,32,70,29,28,155,0,150
POA3289,8,94,99,58,45,304,7,313
POA3292,0,23,32,15,7,77,0,76
POA3293,0,41,44,28,24,131,5,139
POA3294,9,104,136,78,57,388,8,390
POA3300,278,1588,1554,565,326,4316,71,4387
POA3301,6,80,167,107,106,464,4,469
POA3302,3,30,50,34,24,139,0,139
POA3303,0,20,38,32,23,115,5,116
POA3304,33,333,387,191,151,1091,27,1117
POA3305,273,1770,2011,799,432,5285,94,5377
POA3309,0,9,14,11,7,42,0,48
POA3310,0,41,49,18,16,131,0,128
POA3311,47,279,244,103,77,749,20,772
POA3312,8,72,119,99,94,385,7,392
POA3314,0,43,77,51,35,212,3,222
POA3315,31,213,219,136,110,706,13,714
POA3317,0,13,39,9,15,74,8,77
POA3318,20,162,195,79,64,520,13,534
POA3319,3,46,54,31,33,158,3,158
