POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3805,0,9,0,205,8,0,5,0,0,3,0,3,0,8,93,122,5,0,3,4,3,0,0,4,0,22,28,73,987,163,36,628,81,554,42,291,45,1301,144,4268
POA3806,8,31,0,393,9,0,0,0,0,6,0,0,3,10,86,125,3,0,0,3,0,0,0,3,0,26,28,77,917,164,28,594,70,429,33,288,59,1572,138,4289
POA3807,0,8,0,65,0,0,0,0,0,0,0,0,0,4,19,18,0,0,0,4,0,0,0,0,0,4,0,14,139,23,4,110,5,72,8,29,10,227,22,653
POA3808,0,0,0,46,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,4,0,0,0,0,0,0,4,7,62,18,0,52,0,28,3,27,5,85,5,289
POA3809,0,4,0,100,0,0,0,4,0,0,0,0,0,5,34,45,5,0,4,3,0,0,0,0,0,7,8,23,622,58,14,312,34,164,11,75,13,351,41,1691
POA3810,0,10,0,178,7,0,3,8,0,8,3,3,5,9,136,182,0,0,3,0,0,0,0,0,0,38,39,90,1169,207,40,733,99,451,52,268,61,1359,200,4638
POA3812,0,0,0,24,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,5,49,17,0,43,7,23,4,26,4,76,13,257
POA3813,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,13,4,12,5,4,0,25,4,96
POA3814,0,0,0,13,3,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,4,9,15,53,11,9,42,6,31,5,22,0,113,17,301
POA3815,0,6,0,30,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,9,5,16,72,10,4,61,10,36,8,32,0,139,18,400
POA3816,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,4,6,3,10,73,9,6,38,3,25,0,21,9,111,13,306
POA3818,3,8,0,98,3,0,0,0,0,0,3,0,0,8,71,93,0,0,0,6,0,0,0,0,0,24,18,51,347,95,18,310,41,157,17,157,22,809,103,2084
POA3820,5,17,0,168,4,0,0,0,0,3,0,5,0,6,54,67,0,0,0,4,0,0,0,3,0,16,6,32,440,95,23,323,22,191,29,168,44,927,74,2338
POA3821,0,0,0,26,3,0,0,0,0,5,0,0,0,0,15,19,5,0,0,0,0,0,0,0,0,8,0,14,81,33,4,64,8,30,9,31,9,98,17,371
POA3822,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,4,0,15,0,13,4,7,0,30,3,111
POA3823,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,12,3,0,0,0,0,0,0,0,0,5,0,8,54,20,0,40,5,36,7,26,8,134,12,333
POA3824,0,0,0,33,0,0,0,0,0,0,0,0,0,9,8,19,0,0,0,0,0,0,0,6,0,5,8,18,107,27,0,83,8,57,7,64,12,251,19,640
POA3825,0,6,0,100,4,0,0,6,3,0,0,3,0,12,61,81,0,0,0,0,0,3,0,4,0,24,29,62,289,97,21,330,34,167,28,170,37,978,104,2258
POA3831,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,36,18,0,38,4,15,0,28,4,116,5,268
POA3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,0,4,0,3,0,10,0,39
POA3833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,22,0,44
POA3835,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,8,0,4,3,7,0,28,3,65
POA3840,0,8,0,78,5,0,6,0,6,5,0,0,0,7,66,89,0,0,0,6,3,0,0,0,0,28,24,65,203,65,21,223,34,169,26,161,37,828,107,1857
POA3842,0,5,0,17,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,0,0,0,5,4,11,57,15,6,83,9,41,9,50,18,248,21,545
POA3844,6,19,0,257,5,0,0,0,0,3,0,3,0,18,114,148,5,6,0,4,0,0,0,0,0,21,17,44,651,123,22,491,55,308,39,238,59,1268,145,3407
POA3847,0,0,0,15,0,0,0,0,0,0,0,0,0,3,9,14,0,0,0,0,0,0,0,0,0,6,0,10,49,6,4,54,3,23,3,14,11,101,11,290
POA3850,9,0,0,130,3,0,0,0,0,5,0,3,0,5,61,72,0,0,0,0,0,0,0,0,0,18,17,36,252,69,18,233,25,183,17,137,30,693,85,1735
POA3851,0,0,0,47,0,0,0,0,0,0,0,0,0,5,29,40,4,0,0,0,0,0,0,0,0,7,7,19,96,33,8,86,16,84,7,81,15,343,43,802
POA3852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3854,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,22,7,0,29,8,18,7,16,6,64,8,182
POA3856,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,14,5,19,0,12,7,41,4,127
POA3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,9,0,4,0,5,0,19,0,58
POA3858,0,0,0,19,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,7,4,12,55,13,5,56,3,24,6,25,5,152,16,367
POA3859,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,5,5,30,6,0,20,0,4,0,6,0,42,8,114
POA3860,0,5,0,46,0,0,0,0,0,0,0,3,0,6,43,50,0,0,0,0,0,0,0,0,0,6,11,18,129,26,10,137,18,75,7,89,15,382,62,949
POA3862,0,0,0,13,0,0,0,0,0,0,0,0,0,8,4,14,0,0,0,0,0,0,0,0,0,5,0,12,91,24,3,67,8,47,0,46,4,182,9,478
POA3864,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,10,0,0,0,9,4,40
POA3865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,12,0,9,0,3,0,26,8,80
POA3869,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,3,0,4,0,6,32,8,7,34,7,22,3,24,5,83,19,240
POA3870,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,3,3,21,15,0,18,3,16,3,24,6,62,7,176
POA3871,0,0,0,31,0,0,0,0,0,0,0,0,0,3,15,20,0,0,0,0,0,0,0,0,0,3,0,4,53,26,5,41,10,21,7,36,4,164,15,387
POA3873,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,3,0,0,4,0,10,3,38
POA3874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,16,0,7,0,13,0,33,10,99
POA3875,0,12,0,87,4,0,3,0,0,0,0,4,0,15,82,106,0,0,0,0,0,4,0,0,0,34,24,63,308,135,34,330,33,169,27,210,32,1121,122,2535
POA3878,0,3,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,30,9,0,25,0,17,5,19,0,149,6,264
POA3880,0,5,0,31,0,0,0,0,0,5,0,0,0,3,20,33,0,0,0,0,0,0,0,0,0,15,8,28,53,39,6,52,4,48,8,70,12,536,32,860
POA3882,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,3,6,26,9,5,18,3,12,0,26,7,81,10,186
POA3885,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,15,4,0,0,0,0,0,0,0,0,6,3,7,45,13,7,32,8,26,6,25,3,69,12,244
POA3886,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,3,0,7,0,24,0,63
POA3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,18,9,38
POA3888,0,0,0,12,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,0,0,0,6,12,19,54,25,7,63,7,28,0,50,4,197,37,469
