POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3442,26,6,7,0,39,11,0,0,0,12,12,0,0,0,11,0,0,3,0,3,17,3,12,0,35,16,0,18,0,33,67,0,27,0,99,58,6,31,3,104,84,17,39,0,144,85,32,23,0,146,45,38,28,0,108,44,45,13,0,110,112,120,47,0,276,89,107,18,4,214,55,137,12,0,210,43,102,4,0,150,154,392,21,0,567,42,82,31,0,159,7,5,5,0,23,980,1109,335,10,2441
POA3444,26,0,0,0,29,6,5,0,0,13,5,4,0,0,11,0,0,3,0,10,32,0,8,0,41,22,3,30,0,55,133,6,23,0,163,99,20,31,6,160,98,34,43,0,175,107,56,26,6,197,66,59,37,0,154,77,87,30,8,196,132,145,30,6,325,111,135,13,3,254,76,126,6,0,217,55,86,0,0,148,153,208,13,0,371,49,101,27,0,178,17,13,8,0,44,1279,1081,347,35,2745
POA3446,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,3,0,0,7,17,0,5,0,26,5,5,3,0,5,13,0,5,0,18,11,13,6,0,33,11,11,3,0,26,17,14,0,0,28,15,21,0,0,38,15,26,0,0,36,7,9,0,0,17,0,5,0,0,6,17,17,0,0,35,3,9,0,0,15,0,0,0,0,4,144,134,30,5,305
POA3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,12,3,0,5,0,9,6,0,3,0,11,9,5,0,0,10,6,4,0,0,15,7,0,0,0,12,5,6,0,0,10,6,4,5,0,15,4,0,0,0,12,5,3,0,0,4,10,6,0,0,21,4,6,5,0,18,0,0,0,0,0,78,51,25,3,148
POA3448,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,0,5,0,9,20,0,6,0,30,6,0,4,0,13,15,0,6,0,23,18,13,6,0,28,8,8,6,0,21,8,11,4,0,23,18,13,6,0,40,3,14,0,0,20,10,14,4,0,17,7,6,0,0,14,11,13,0,0,26,7,5,3,0,16,0,0,0,0,5,158,102,32,0,291
POA3450,9,0,0,0,11,8,0,0,0,11,3,0,3,0,8,7,0,10,0,14,23,0,24,0,46,19,4,26,0,50,110,10,37,0,155,86,13,51,3,156,103,16,43,5,160,97,43,36,0,179,55,35,27,3,124,55,43,14,8,120,103,84,29,0,211,59,85,4,0,155,41,59,8,0,105,29,34,5,0,67,49,80,3,0,142,36,49,37,0,122,12,3,3,0,20,903,557,373,25,1855
POA3451,13,0,3,0,21,4,0,3,0,9,5,0,4,0,10,3,0,6,0,8,24,0,7,0,31,21,4,18,0,45,89,11,30,3,129,53,6,40,0,98,68,29,20,3,125,89,48,35,0,173,45,51,17,0,109,45,36,14,0,93,92,106,22,0,222,67,83,15,0,164,47,59,3,0,106,27,32,0,0,59,56,69,4,0,120,22,55,19,0,103,17,10,0,0,32,783,607,251,14,1656
POA3453,3,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,3,0,5,9,0,0,0,6,0,0,0,0,4,36,4,11,0,49,22,0,12,0,34,26,3,5,0,41,22,11,3,0,39,12,12,4,0,28,16,15,3,0,31,39,28,4,0,73,21,26,0,0,49,16,23,0,0,41,11,14,0,0,25,24,38,0,0,62,8,17,4,0,28,5,0,0,0,7,273,196,65,6,538
POA3458,6,0,0,0,10,4,0,0,0,0,5,0,4,0,6,8,0,0,0,8,11,0,4,0,19,8,0,3,0,11,26,4,11,0,41,17,4,0,0,27,42,12,12,0,60,28,16,4,0,50,21,18,0,0,41,24,13,0,0,43,47,21,3,0,76,17,21,4,0,41,28,23,4,0,47,14,11,0,0,27,51,35,3,0,88,18,14,12,0,47,3,3,0,0,3,376,190,69,8,645
POA3460,3,0,0,0,6,6,0,0,0,6,8,0,4,0,6,0,0,5,0,3,5,0,8,0,11,7,0,12,0,18,34,7,10,0,57,24,10,18,0,51,31,8,19,0,59,46,12,8,0,74,34,18,9,0,58,26,15,10,0,55,46,28,7,0,77,34,22,0,0,56,23,19,3,0,43,15,15,0,0,28,49,20,5,0,65,16,10,17,0,40,4,0,0,0,12,409,174,134,4,719
POA3461,16,0,3,0,21,6,0,0,0,6,6,0,3,0,8,6,0,3,0,11,28,0,13,0,35,14,5,6,0,22,67,10,24,0,103,53,21,16,0,89,58,13,15,4,96,61,37,18,0,110,42,29,4,0,80,44,38,8,0,91,77,51,11,0,142,43,53,0,5,92,35,36,0,0,77,25,20,0,0,41,84,55,0,0,139,21,47,15,0,86,14,0,0,0,17,707,418,135,8,1269
POA3462,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,10,32,0,4,0,42,16,5,4,0,23,17,4,8,0,26,28,10,9,0,38,12,9,0,0,23,15,9,3,0,18,16,20,9,0,46,8,17,0,0,23,10,12,0,0,32,0,0,0,0,0,3,17,0,0,20,3,5,6,0,14,3,0,0,0,6,173,116,46,5,344
POA3463,8,3,0,0,12,8,0,0,0,8,3,0,0,0,3,0,0,0,0,8,15,0,3,0,22,8,0,9,0,14,52,0,6,0,62,33,7,14,5,51,53,13,11,0,76,45,12,8,0,70,21,11,3,0,41,36,15,4,0,51,47,35,0,0,82,23,29,0,0,57,7,19,3,0,27,9,19,0,0,22,18,23,0,0,36,21,27,10,0,53,6,4,3,0,14,408,215,79,11,714
POA3464,3,0,0,0,7,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,7,3,0,0,8,6,0,5,0,7,26,3,5,0,33,16,5,3,0,27,21,9,0,0,29,8,9,9,0,30,9,11,0,0,18,7,11,0,0,20,11,31,4,0,44,10,16,0,0,27,5,10,0,0,22,0,10,0,0,9,0,8,0,0,9,4,13,0,0,18,5,0,0,0,5,140,139,39,3,321
POA3465,17,4,4,0,32,15,5,0,0,17,8,0,12,0,20,8,0,25,0,33,53,0,40,5,102,46,0,58,3,105,307,19,70,6,403,159,26,70,13,267,105,65,67,6,238,136,86,53,3,279,70,66,28,0,162,93,79,15,0,197,91,128,31,0,252,57,73,14,0,138,28,49,0,0,86,9,32,0,0,45,30,53,7,0,89,40,66,32,0,137,46,9,13,6,71,1313,766,543,49,2669
POA3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,12,0,9,0,14,0,0,0,0,8,38,4,0,3,51,20,8,8,4,35,22,4,10,0,35,14,15,4,0,34,4,14,6,0,27,8,10,0,0,14,15,17,3,0,38,9,9,0,0,21,0,6,0,0,11,0,4,0,0,9,9,7,0,0,14,3,8,11,0,25,5,3,0,0,17,177,112,60,4,362
POA3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,4,9,0,0,0,9,0,3,0,0,3,6,6,4,0,11,5,0,0,0,8,0,0,0,0,0,4,3,0,0,5,4,0,0,0,6,4,4,0,0,11,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,3,52,26,6,0,80
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,4,3,0,0,3,7,0,0,0,7,3,0,0,0,5,0,0,3,0,6,3,4,0,0,5,0,0,0,0,0,6,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,6,8,0,0,10,0,0,0,0,0,37,17,3,0,60
POA3472,0,3,0,0,3,4,0,0,0,8,5,0,0,0,6,0,0,3,0,3,10,0,5,0,15,4,0,7,0,17,48,4,10,0,63,22,4,14,3,44,18,10,3,0,33,18,8,3,0,29,3,13,3,0,16,8,5,9,0,24,8,18,3,0,30,3,9,0,0,18,4,9,0,0,6,0,3,0,0,3,4,4,0,0,5,7,17,7,6,34,9,0,3,0,14,187,99,75,6,374
POA3475,4,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,12,0,0,0,16,11,0,3,0,13,4,4,0,0,12,4,8,4,0,19,0,0,0,0,3,5,0,0,0,7,0,4,0,0,9,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,8,65,25,9,0,103
POA3477,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,15,0,0,0,22,14,5,4,0,21,6,5,7,0,17,5,8,0,0,15,6,7,3,0,16,15,8,0,0,21,15,14,0,0,28,5,4,0,0,13,3,6,0,0,12,3,0,0,0,5,0,0,0,0,3,5,15,4,0,25,8,4,0,0,10,119,80,26,0,222
POA3478,7,0,0,0,3,4,0,0,0,4,0,0,4,0,7,0,0,6,0,6,21,0,4,0,23,16,0,10,0,21,61,7,17,0,80,43,7,16,0,66,46,18,18,4,79,41,27,12,0,73,14,12,5,0,33,14,15,4,0,36,35,25,3,0,65,16,23,0,0,46,8,6,0,0,20,6,8,0,0,10,6,24,0,0,33,9,16,9,0,37,10,0,0,4,17,353,196,114,11,670
POA3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,7,4,10,0,16,43,0,8,0,55,19,6,4,0,25,19,6,11,3,42,28,26,4,0,55,16,15,0,0,35,20,10,0,0,27,30,23,0,0,54,11,15,3,0,33,4,12,3,0,16,7,10,0,0,15,8,17,0,0,31,7,21,4,0,29,0,4,0,0,6,229,163,54,11,463
