POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3937,233,459,4,22,18,102,0,4,88,376,115,498,8,49,18,76,47,142,76,264,198,760,0,0,5,10,0,0,15,38,24,53,0,5,4,3,18,39,20,53,46,105,4,6,474,1335
POA3938,543,1087,5,22,28,126,6,27,140,549,183,728,18,79,21,72,71,235,114,389,299,1117,3,16,5,18,3,16,40,89,58,142,5,12,17,30,51,123,76,170,125,309,8,9,973,2525
POA3939,2030,4089,25,125,133,621,32,129,729,2849,914,3728,70,289,92,327,329,1044,497,1658,1412,5386,11,43,50,178,26,80,278,713,365,1004,23,81,76,167,337,741,440,993,806,2000,64,136,4309,11611
POA3940,667,1324,3,29,20,93,12,42,169,683,208,854,21,77,18,70,64,210,108,352,317,1211,0,7,19,64,14,39,114,309,143,410,5,13,24,54,119,240,150,308,292,718,20,46,1297,3298
POA3941,1755,3503,16,94,113,525,36,157,703,2709,869,3485,45,191,88,292,274,864,407,1337,1275,4819,8,32,30,103,21,54,221,569,279,762,24,72,56,125,223,469,297,669,584,1429,41,76,3651,9834
POA3942,503,990,0,3,18,91,6,29,111,430,141,550,9,35,31,97,41,130,81,260,218,808,0,0,5,17,0,0,22,58,28,76,3,14,6,10,34,62,43,88,64,162,4,7,795,1972
POA3943,396,783,0,3,9,64,0,6,58,223,71,288,7,28,11,42,33,105,56,172,123,467,0,0,0,8,0,6,11,24,14,36,0,9,4,4,25,41,25,50,38,88,5,14,566,1355
POA3944,175,347,0,0,0,0,0,3,10,47,12,50,3,11,4,16,12,27,16,51,27,109,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,8,12,8,16,0,0,218,469
POA3945,174,350,0,5,13,59,0,0,68,274,82,338,5,28,3,13,24,65,30,105,110,436,0,0,3,9,0,0,16,36,14,47,0,0,0,4,7,14,6,13,25,63,0,0,309,855
POA3946,51,110,0,0,7,10,0,0,12,61,13,68,0,5,0,7,12,32,13,45,32,119,0,0,0,3,0,0,3,8,5,6,0,0,0,4,4,5,6,9,9,18,0,0,95,241
POA3950,624,1237,8,45,55,261,25,115,256,1038,345,1455,19,95,42,151,112,345,174,588,516,2041,7,31,7,26,10,16,93,254,116,331,11,30,14,33,86,186,112,256,227,581,22,40,1387,3898
POA3951,134,268,8,25,23,108,3,21,48,211,81,360,6,30,9,27,28,88,47,148,129,508,0,0,0,0,0,6,3,11,10,22,0,5,0,0,6,12,8,16,17,37,0,3,280,819
POA3953,1038,2063,24,146,97,462,11,57,443,1800,580,2473,47,186,63,206,154,478,261,873,840,3347,3,13,31,111,8,28,142,363,187,514,18,55,28,74,113,231,161,359,346,875,25,53,2245,6335
POA3954,57,103,0,0,4,18,0,3,17,62,20,81,3,17,6,27,12,41,27,86,44,168,0,0,4,9,0,3,0,6,5,17,0,0,3,9,4,6,9,9,10,26,0,5,109,302
POA3956,456,899,3,19,29,118,12,29,151,611,190,785,11,53,25,71,48,148,80,279,267,1061,0,0,3,15,5,22,34,97,48,136,3,10,8,21,35,71,42,99,97,237,8,15,830,2211
POA3957,37,75,0,11,0,7,0,9,20,92,30,123,4,14,4,9,9,22,14,48,38,166,0,0,0,0,0,0,8,20,8,20,0,0,0,0,0,0,0,0,8,20,0,6,86,259
POA3958,34,68,0,0,0,4,0,9,12,56,17,69,3,13,0,6,10,31,17,44,29,112,0,0,0,0,0,0,3,10,5,14,0,0,0,0,4,10,5,14,7,25,0,0,75,207
POA3959,183,361,0,14,18,81,5,15,50,208,69,322,8,20,12,35,31,83,45,140,118,460,0,0,0,0,0,0,12,28,12,28,0,0,3,8,18,35,21,45,31,72,0,7,338,902
POA3960,433,855,3,35,18,91,3,18,87,355,113,496,12,47,17,58,42,131,75,236,187,730,0,0,3,6,4,5,30,84,33,95,4,13,6,9,36,68,43,94,79,188,3,4,699,1788
POA3962,142,288,0,3,5,28,3,5,33,141,47,179,0,0,9,16,20,51,26,68,64,249,0,5,4,7,0,0,17,55,20,66,0,3,6,5,13,29,17,33,42,99,4,8,256,646
POA3964,26,59,0,0,0,7,0,0,12,48,18,61,0,0,0,0,0,8,0,8,17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,5,0,4,46,126
POA3965,41,82,0,0,0,0,0,0,8,19,3,23,0,0,0,0,5,12,5,8,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,12,8,12,0,0,57,125
POA3966,69,134,3,9,6,32,0,3,28,114,41,162,5,7,0,7,10,38,11,51,54,213,0,4,0,0,0,3,8,10,12,17,0,4,0,5,4,15,11,21,16,45,0,5,140,400
POA3967,18,29,0,0,0,0,0,0,9,31,9,31,0,4,0,3,5,3,5,12,9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,14,6,14,0,0,35,84
POA3971,650,1283,4,29,27,139,12,61,168,674,214,906,9,49,24,78,79,249,113,377,335,1282,0,0,9,32,8,24,61,160,81,222,11,26,9,16,54,115,70,164,150,386,16,31,1153,2987
POA3975,1040,2148,61,391,343,1575,70,318,1819,7184,2290,9469,166,740,282,990,421,1400,861,3124,3150,12589,12,60,33,130,12,59,194,537,251,784,40,132,47,121,169,400,256,650,505,1436,53,113,4749,16281
POA3976,1697,3504,126,790,398,2002,97,486,1731,6963,2347,10235,217,1002,260,915,759,2521,1240,4437,3584,14671,34,163,69,265,59,224,415,1173,581,1829,65,245,104,257,516,1209,695,1712,1272,3538,126,274,6680,21987
POA3977,8513,17309,409,2550,1773,8530,421,2049,10468,41133,13073,54258,774,3400,1055,3704,2339,7812,4169,14911,17249,69172,117,625,351,1261,208,776,1950,5386,2630,8043,256,882,404,940,1653,3785,2316,5605,4948,13652,435,943,31137,101068
POA3978,2971,6080,97,572,641,2953,119,573,5480,20883,6334,24976,237,1035,358,1279,500,1691,1094,4004,7427,28976,24,136,94,332,30,135,599,1619,744,2225,67,220,112,260,335,783,508,1268,1256,3493,142,299,11799,38849
POA3979,53,101,0,9,6,31,0,0,21,87,27,125,3,14,0,14,7,17,15,46,42,173,0,0,0,5,0,0,3,7,6,12,0,0,0,0,0,0,4,0,6,16,0,0,99,292
POA3980,360,712,15,66,42,186,15,60,248,989,319,1304,19,83,31,109,114,376,167,574,487,1872,0,5,7,22,4,23,42,105,57,160,0,8,11,19,54,127,73,155,127,313,17,27,986,2927
POA3981,532,1070,17,100,57,295,35,167,378,1487,490,2054,37,158,28,91,138,472,203,723,694,2775,3,21,20,59,12,43,90,238,126,367,10,21,20,51,79,165,100,240,225,607,21,43,1470,4491
POA3984,971,1941,17,87,64,300,19,82,414,1626,516,2089,18,95,36,120,163,521,221,737,734,2833,5,15,18,76,13,40,106,294,145,423,11,42,14,36,134,300,166,380,306,806,24,46,2042,5628
POA3987,189,372,9,32,16,91,11,48,107,414,140,596,6,28,16,54,48,158,70,245,211,837,0,0,3,9,7,5,24,72,34,79,0,9,8,11,11,29,21,43,48,122,4,6,447,1338
POA3988,144,285,3,20,7,54,6,28,72,286,90,387,9,37,11,29,32,100,52,171,144,549,0,0,0,5,0,0,11,23,9,29,0,0,0,0,14,26,14,26,23,56,4,7,315,901
POA3990,30,54,0,0,0,6,0,0,3,12,3,18,0,0,0,7,7,14,7,24,11,42,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,5,7,0,0,37,102
POA3991,55,100,0,5,0,9,0,4,19,81,26,103,0,5,4,11,11,38,20,51,39,159,0,0,0,0,0,0,0,8,5,10,0,10,0,0,10,17,12,27,14,41,0,4,111,299
POA3992,175,353,3,12,11,55,4,18,78,298,92,379,3,18,10,28,30,90,42,131,137,516,0,0,0,4,8,25,22,56,31,80,4,3,5,10,15,31,19,49,54,131,5,6,367,1001
POA3995,1503,3005,19,80,101,473,36,165,509,1968,667,2687,42,161,71,219,246,794,356,1176,1021,3855,9,46,27,100,24,102,210,555,278,796,21,72,41,86,238,514,302,675,576,1475,32,59,3128,8397
POA3996,1089,2164,8,28,75,337,9,36,353,1426,438,1829,24,83,57,189,85,245,159,521,601,2346,0,14,18,70,3,12,68,175,93,267,3,4,5,20,72,155,79,184,171,449,22,39,1878,5000
