POA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3966,0,0,0,0,0,0,12,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,3,8,3,0,35,11,21,42,57,81,74,104,37,9,438
POA3967,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,4,5,3,11,4,15,20,25,6,5,97
POA3971,0,0,5,4,16,23,59,70,55,234,0,0,0,0,6,5,3,5,0,23,17,19,31,45,44,55,77,46,25,350,75,159,353,367,518,725,764,393,143,3499
POA3975,5,9,36,77,82,101,82,73,53,506,0,10,49,67,75,58,66,23,15,361,43,54,124,147,85,56,45,19,22,595,386,1179,2540,3450,2413,1453,827,303,163,12712
POA3976,12,13,130,192,189,203,244,180,50,1218,7,27,166,222,198,169,98,41,13,941,97,131,326,267,210,175,124,72,18,1427,649,2030,4222,3638,3122,3041,1739,738,189,19370
POA3977,52,73,310,399,391,478,715,668,314,3407,10,49,319,366,364,288,184,114,45,1735,289,370,1038,886,634,523,407,329,176,4653,2753,7418,18229,19863,13892,10395,6847,3371,1144,83909
POA3978,16,11,74,94,79,115,107,106,33,626,0,10,51,78,89,51,48,10,6,350,66,126,412,286,128,96,77,34,8,1239,726,2509,9384,8712,3892,2214,1427,600,100,29562
POA3979,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3,12,4,0,33,11,7,30,50,52,55,58,16,0,279
POA3980,0,3,5,4,8,15,29,19,13,98,0,0,0,0,0,0,0,0,0,0,8,13,24,32,29,35,41,19,4,206,94,191,421,454,492,493,400,141,43,2739
POA3981,0,5,17,9,13,30,49,68,46,235,0,0,6,3,6,0,0,5,0,32,14,6,38,40,39,26,37,38,28,267,166,293,792,653,680,615,465,279,126,4081
POA3984,3,5,19,17,26,50,97,76,27,319,0,0,4,5,3,6,8,9,0,28,30,17,53,73,66,88,103,74,23,522,149,313,935,800,924,1126,1067,491,122,5929
POA3987,0,0,3,12,10,4,11,7,5,55,0,0,0,0,0,0,0,0,0,6,10,7,12,30,20,26,12,11,0,131,43,84,170,218,268,248,146,71,10,1253
POA3988,4,0,0,0,0,0,4,9,4,27,0,0,0,0,0,0,0,0,0,4,4,5,8,10,5,16,9,6,0,58,24,39,136,131,126,176,136,65,10,850
POA3990,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,10,0,3,9,8,19,32,19,12,0,106
POA3991,0,0,0,4,0,5,6,3,0,19,0,0,0,0,0,0,0,0,0,4,0,3,4,7,8,7,10,3,0,50,12,23,34,45,58,67,75,23,0,334
POA3992,3,0,0,0,0,7,9,10,0,35,0,0,0,3,0,0,0,0,0,10,10,0,7,19,16,7,20,0,0,75,24,51,144,169,167,198,188,48,16,1012
POA3995,0,4,19,20,25,60,141,187,132,593,0,3,3,5,16,12,5,15,6,66,33,21,81,83,62,112,168,132,67,753,270,492,1131,1152,1354,1750,1923,1096,423,9587
POA3996,8,3,5,6,8,25,40,70,45,200,0,0,0,0,0,0,3,10,18,40,12,11,11,23,38,39,77,63,52,320,94,198,457,663,696,1019,1300,737,245,5407
