POA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3146,10362,11182,21547,250,275,524,27,38,68,1293,1397,2688,16,24,37,7,8,9,8,14,22,14,5,14,3,0,7,7,9,16,0,0,0,1371,1493,2862,117,114,231,10,13,29,1753,1896,3648,324,380,702,12432,13462,25897
POA3147,6157,6430,12590,119,115,228,12,14,28,749,708,1452,9,13,25,0,3,5,3,4,7,5,0,0,5,0,5,0,0,0,0,0,0,786,737,1527,60,56,112,8,11,23,974,916,1891,249,251,497,7381,7601,14983
POA3148,3581,3614,7192,102,117,222,20,19,30,734,671,1409,10,9,23,6,3,9,5,3,13,4,0,4,0,0,0,0,0,0,0,0,0,776,713,1490,42,56,102,15,16,30,932,906,1837,214,169,382,4728,4683,9414
POA3149,14151,14865,29015,374,399,782,31,27,61,1874,1736,3609,35,28,56,12,3,16,0,6,9,9,11,22,0,5,11,5,8,10,0,0,0,1969,1828,3799,178,188,370,44,23,62,2568,2442,5008,545,518,1060,17261,17824,35088
POA3150,25601,26643,52235,676,644,1322,76,78,152,2923,2922,5846,41,42,83,34,43,78,14,8,27,18,17,34,8,13,20,14,13,21,0,0,0,3127,3135,6262,401,409,811,40,27,64,4247,4216,8456,1081,1161,2243,30924,32016,62939
POA3151,4184,4436,8620,61,63,125,18,14,30,720,704,1419,3,4,9,0,0,3,0,0,6,4,6,6,0,0,0,0,0,0,0,0,0,756,729,1477,53,48,102,12,10,26,881,847,1727,133,125,254,5199,5405,10602
POA3152,14519,15507,30030,219,243,459,27,28,51,1329,1400,2725,13,16,25,9,8,16,11,8,16,4,4,15,0,5,6,7,6,10,0,0,0,1387,1466,2855,104,108,218,31,28,59,1743,1846,3591,486,549,1034,16752,17905,34654
POA3153,8612,9030,17640,98,109,209,14,17,29,959,1004,1964,21,22,41,4,6,5,3,4,5,4,5,6,3,0,4,0,5,3,0,0,0,1007,1055,2065,58,71,131,27,15,40,1188,1254,2446,434,482,919,10241,10762,21002
POA3154,1920,2021,3942,11,6,20,6,6,9,153,142,291,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,145,304,4,5,3,3,7,9,180,163,340,87,88,175,2178,2270,4449
POA3155,9479,10012,19489,178,194,372,15,10,23,1080,1178,2252,13,15,28,5,7,12,0,0,3,12,3,16,0,0,0,3,0,3,0,0,0,1126,1214,2337,52,60,113,20,9,23,1369,1475,2845,513,530,1039,11358,12013,23376
POA3156,16516,16943,33461,117,160,276,20,16,37,1387,1438,2822,13,8,25,0,9,9,5,10,15,8,9,12,0,0,0,0,0,0,0,0,0,1435,1481,2916,56,60,120,23,21,44,1636,1725,3353,618,628,1246,18773,19288,38060
POA3158,3012,3035,6053,45,33,81,3,6,8,205,193,392,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,208,203,410,20,14,31,4,3,4,273,256,524,83,66,154,3365,3364,6729
POA3159,1123,1156,2277,12,11,24,0,0,0,73,67,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,67,139,0,0,0,0,6,4,88,84,169,65,53,118,1275,1288,2567
POA3160,3969,3961,7925,40,42,82,4,5,12,289,307,596,0,0,4,0,0,0,4,0,4,0,0,0,0,4,5,0,0,0,0,0,0,297,315,617,20,15,35,3,6,5,365,376,739,137,124,256,4463,4459,8924
POA3161,6127,6609,12734,288,297,589,42,52,96,1070,1157,2221,21,28,45,4,5,14,5,8,13,3,5,7,0,0,3,6,5,10,0,0,0,1154,1258,2412,108,112,215,21,21,38,1572,1686,3256,328,411,734,8030,8698,16727
POA3162,7111,7563,14675,169,191,368,16,28,46,905,978,1883,11,11,25,0,6,4,6,9,12,3,0,9,0,3,9,0,6,11,0,0,0,955,1031,1988,102,117,216,21,9,32,1243,1351,2596,308,310,619,8664,9223,17887
POA3163,12143,12822,24968,535,493,1032,43,53,98,2329,2395,4722,21,31,60,3,8,15,11,19,30,8,12,24,10,7,17,3,7,12,0,0,0,2437,2539,4974,175,194,369,35,30,67,3180,3258,6436,501,541,1049,15825,16628,32458
POA3165,12298,12802,25099,247,276,520,23,24,49,1498,1534,3030,17,19,31,6,6,11,8,3,10,0,5,9,0,3,3,4,5,9,0,0,0,1553,1594,3149,114,91,207,17,16,34,1930,1975,3906,379,446,826,14611,15217,29829
POA3166,9463,9926,19389,265,282,545,46,37,87,1674,1599,3270,20,20,48,11,5,14,3,15,16,9,12,21,0,4,3,11,9,15,0,0,0,1772,1707,3474,99,101,199,25,17,41,2159,2102,4259,440,413,854,12066,12441,24503
POA3167,4086,4175,8257,78,56,137,3,8,12,456,423,882,0,0,6,4,4,7,4,4,7,0,0,6,0,4,5,0,6,6,0,0,0,486,444,928,27,44,72,12,10,26,601,557,1160,170,160,331,4853,4896,9745
POA3168,6529,5980,12506,718,557,1280,84,86,170,2830,2275,5105,51,73,120,38,26,62,25,35,64,43,46,86,22,23,44,11,20,27,0,0,0,3101,2582,5679,233,234,472,64,50,105,4117,3427,7543,933,702,1632,11581,10106,21689
POA3169,8318,8366,16692,288,209,491,24,16,41,1195,1014,2218,15,19,33,15,0,16,10,7,17,10,5,12,3,5,9,4,6,11,0,0,0,1273,1082,2352,92,105,197,25,14,41,1676,1409,3079,422,408,833,10419,10179,20599
POA3170,8360,8465,16822,194,162,355,14,11,27,853,789,1644,11,15,23,5,0,3,0,0,0,0,5,3,5,6,3,6,5,10,0,0,0,890,834,1721,72,66,135,22,13,32,1182,1072,2247,346,278,618,9881,9809,19691
POA3171,9037,8654,17695,508,492,1003,23,23,39,972,849,1817,25,22,42,13,8,24,0,5,6,0,4,4,6,0,4,7,3,9,0,0,0,1040,910,1951,115,111,223,43,22,60,1705,1533,3232,542,472,1011,11286,10658,21945
POA3172,10105,10354,20462,146,166,313,6,10,13,669,619,1296,11,9,17,4,3,7,9,9,12,0,0,0,0,0,0,0,0,0,0,0,0,694,645,1344,70,78,147,28,18,45,938,914,1851,388,355,745,11430,11624,23053
POA3173,12900,13084,25980,253,261,514,15,21,38,1006,997,2006,13,15,24,15,9,13,5,5,7,0,0,3,6,0,3,0,0,6,0,0,0,1051,1045,2099,95,99,192,28,15,45,1428,1418,2847,422,438,858,14748,14940,29690
POA3174,16026,16081,32104,407,433,837,37,34,67,1887,1676,3560,10,14,27,13,7,17,8,10,12,3,7,13,4,7,12,0,0,0,0,0,0,1964,1752,3717,163,187,345,47,36,84,2575,2414,4993,1078,984,2062,19680,19478,39158
POA3175,21488,20599,42090,845,746,1588,57,38,94,2302,1977,4281,18,12,35,24,19,42,9,9,18,9,4,12,3,6,8,3,0,9,0,0,0,2418,2067,4485,300,366,664,75,42,116,3632,3225,6857,2177,1762,3935,27301,25581,52881
POA3177,4723,4385,9111,165,113,278,11,5,23,617,524,1139,8,3,16,6,6,13,6,0,6,4,3,3,0,0,0,3,4,5,0,0,0,660,550,1206,58,66,127,21,9,29,905,738,1638,514,450,969,6148,5565,11713
POA3178,14655,15125,29783,140,139,275,20,21,45,1065,1102,2169,21,17,37,12,5,18,4,3,7,5,5,11,0,0,3,5,0,0,0,0,0,1132,1161,2288,62,71,132,22,24,46,1352,1393,2744,390,371,758,16389,16894,33285
POA3179,2638,2616,5255,43,39,82,0,0,0,241,222,457,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,222,465,13,12,28,4,0,5,300,275,572,98,93,186,3034,2984,6020
POA3180,3224,3352,6570,61,64,117,3,0,8,296,308,605,4,3,7,0,0,3,4,4,6,0,0,7,0,0,0,0,0,0,0,0,0,310,314,628,10,22,35,0,5,4,385,397,785,94,118,213,3697,3866,7570
POA3181,6410,6629,13038,420,421,840,53,101,156,1751,1843,3594,52,60,115,16,16,28,25,29,56,15,13,25,9,10,11,5,11,20,0,0,0,1917,2089,4012,134,150,286,22,23,52,2495,2689,5180,595,632,1224,9497,9947,19448
POA3182,7361,7247,14611,452,475,927,88,86,174,1962,2110,4069,68,68,133,13,8,25,18,32,54,10,12,19,4,5,12,12,13,21,0,0,0,2170,2337,4508,180,185,365,54,46,93,2862,3041,5899,977,789,1762,11196,11077,22270
POA3183,6404,6593,12999,330,380,709,50,53,104,1274,1347,2620,40,38,77,8,9,19,12,16,27,10,8,12,4,0,7,12,4,11,0,0,0,1405,1481,2882,94,95,190,25,19,47,1858,1971,3827,491,446,932,8746,9010,17756
POA3184,5098,5590,10687,331,411,737,33,42,75,1027,1250,2280,20,26,47,3,7,9,3,8,15,4,8,7,0,3,5,0,3,9,0,0,0,1098,1349,2446,78,106,182,19,21,35,1519,1884,3399,438,457,889,7054,7931,14976
POA3185,5006,5507,10511,136,169,305,14,28,47,779,964,1740,7,19,28,4,5,9,3,4,5,0,4,0,0,3,3,3,5,8,0,0,0,819,1029,1850,62,82,146,17,13,29,1032,1289,2329,206,238,443,6242,7039,13283
POA3186,8844,9931,18775,338,379,715,35,38,81,1037,1094,2130,22,29,52,5,7,18,5,10,14,0,0,0,5,4,9,8,5,15,0,0,0,1119,1190,2311,142,150,291,12,13,29,1613,1733,3349,417,517,940,10876,12189,23062
POA3187,6569,7176,13746,133,133,271,12,27,44,807,838,1650,13,8,27,10,3,7,7,3,12,6,3,10,0,0,5,0,7,7,0,0,0,863,900,1753,77,79,159,12,21,29,1079,1128,2212,300,366,660,7950,8668,16619
POA3188,7336,7921,15259,236,227,455,21,21,44,848,876,1724,15,17,31,0,3,0,4,3,4,0,0,0,5,0,8,3,3,3,0,0,0,897,925,1819,75,80,152,7,11,17,1213,1233,2448,331,381,710,8878,9536,18411
POA3189,2532,2594,5124,45,50,92,5,6,16,314,343,658,0,6,8,0,0,5,0,3,3,6,0,9,0,0,0,0,0,0,0,0,0,331,359,690,19,27,47,4,0,4,404,437,836,123,129,250,3051,3159,6210
POA3190,4626,5117,9749,111,104,218,11,10,14,652,712,1367,0,8,8,3,3,9,6,4,10,3,0,4,0,0,0,5,4,5,0,0,0,675,737,1407,32,35,70,9,6,10,823,884,1712,194,204,396,5641,6210,11848
POA3191,4178,4685,8867,131,155,283,14,16,30,517,564,1086,11,17,28,4,0,5,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,555,604,1160,42,44,86,12,14,19,739,815,1551,189,237,428,5105,5739,10843
POA3192,9514,10360,19872,257,264,519,11,17,30,1112,1226,2336,16,10,25,0,9,11,6,5,7,0,0,0,0,0,0,4,4,5,0,0,0,1149,1267,2416,82,110,186,18,16,35,1503,1647,3153,378,445,819,11397,12453,23847
POA3193,8299,8990,17285,226,266,485,24,21,53,701,778,1482,16,11,26,0,0,0,6,7,7,0,0,0,3,0,5,0,0,0,0,0,0,754,819,1575,65,70,135,8,5,8,1048,1156,2210,277,315,591,9633,10458,20090
POA3194,5190,5790,10974,126,141,269,7,17,17,630,688,1320,13,11,17,0,7,7,6,5,10,5,0,6,0,0,0,0,3,7,0,0,0,656,726,1385,39,43,81,18,16,32,843,918,1761,182,184,366,6215,6891,13103
POA3195,15528,16619,32143,415,449,862,25,35,62,1253,1339,2587,32,20,59,3,8,10,7,3,14,0,4,3,0,0,0,0,5,3,0,0,0,1327,1411,2741,93,110,202,31,38,68,1866,2008,3875,468,503,975,17854,19130,36991
POA3196,10493,11580,22073,255,297,553,22,30,47,1180,1387,2560,13,13,19,6,6,7,3,0,3,4,5,11,5,0,0,3,4,5,0,0,0,1218,1442,2663,55,54,112,23,17,44,1560,1807,3368,550,547,1095,12602,13935,26535
POA3197,4880,5329,10208,110,108,215,8,5,13,492,494,982,9,17,28,3,3,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,513,523,1037,18,27,45,5,11,15,647,659,1307,189,185,373,5719,6172,11890
POA3198,6828,7047,13879,159,188,351,15,16,35,725,783,1508,6,9,12,0,0,0,7,8,10,6,4,9,7,3,3,0,0,0,0,0,0,757,818,1575,39,40,75,23,16,39,973,1064,2037,512,538,1052,8316,8658,16971
POA3199,21865,23279,45145,576,596,1166,39,39,77,2515,2778,5295,29,40,74,8,9,8,16,13,26,9,5,14,4,5,8,3,6,13,0,0,0,2621,2903,5525,123,104,229,59,70,129,3380,3665,7048,1700,1630,3329,26948,28580,55523
POA3200,2187,2123,4312,55,59,112,0,0,6,240,289,535,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,302,548,10,9,14,6,6,16,321,371,688,309,320,634,2818,2814,5638
POA3201,8838,9278,18122,229,273,498,10,12,26,911,950,1863,17,22,42,6,4,6,4,4,5,0,6,6,0,0,0,0,0,0,0,0,0,950,1002,1954,41,43,92,35,36,66,1254,1349,2602,480,481,959,10572,11110,21680
POA3202,1168,1176,2350,17,22,41,3,0,3,125,157,286,6,4,12,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,134,169,310,7,8,15,15,7,17,171,209,378,30,43,76,1378,1430,2804
POA3204,12961,13756,26720,450,441,889,33,42,74,1857,1826,3674,24,18,39,10,9,16,11,7,18,4,0,14,3,0,4,0,3,10,0,0,0,1941,1904,3845,170,179,352,29,21,44,2581,2555,5134,457,536,994,16010,16843,32848
POA3205,3922,4109,8031,233,259,488,32,45,74,904,921,1830,30,24,59,5,4,13,9,14,23,6,3,12,3,3,4,9,10,21,0,0,0,1009,1029,2036,112,88,199,25,5,29,1378,1384,2759,311,348,661,5610,5842,11450
POA3206,3859,4170,8035,168,190,357,23,28,50,487,524,1011,11,14,23,8,0,10,3,9,13,0,5,0,0,0,0,0,4,10,0,0,0,536,585,1119,46,56,97,9,9,18,752,835,1583,146,167,317,4765,5177,9936
POA3207,6134,6742,12874,408,484,890,42,56,96,1041,1079,2116,34,21,57,6,11,17,9,10,19,4,4,6,0,9,9,3,7,9,0,0,0,1132,1186,2321,100,107,209,10,9,27,1659,1789,3445,551,583,1140,8339,9118,17458
