POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3464,483,486,965,182,75,261,58,149,212,18,26,43,13,10,21,274,255,532,170,203,372,4.3,3.5,3.9,57.6,53,55.3,55.1,51.1,53.1,12,10,14,6,15,14,22,53,74,25,59,80,145,80,226,0,13,14,3,6,13,150,97,249,505,503,1007,42,49,96,390,362,752,148,156,306
POA3465,4147,4468,8607,1163,674,1843,441,973,1414,134,144,277,142,78,221,1883,1879,3758,1953,2287,4244,7.5,4.4,5.9,45.4,42,43.6,42,40.2,41,39,56,95,28,89,123,211,372,582,191,362,548,1154,630,1787,51,87,139,49,63,115,1251,782,2037,3992,4242,8232,489,529,1020,2856,2957,5817,1439,1646,3081
POA3467,592,558,1143,180,74,251,60,119,176,21,19,45,8,9,19,275,222,494,265,293,556,3.3,5.8,4.5,46.1,40.1,43.2,44.6,37.8,41.3,11,14,26,12,11,17,30,57,86,29,55,81,150,71,217,5,5,16,6,12,20,162,94,254,570,537,1111,51,58,105,407,362,770,198,188,385
POA3468,117,121,243,45,11,59,10,41,48,4,4,11,4,0,4,64,56,120,47,55,104,4.6,0,2.5,53.7,45.8,49.8,51.2,45.8,48.5,3,5,3,0,5,4,14,16,26,9,12,21,37,13,48,0,0,5,0,0,0,38,17,53,118,115,234,12,7,20,100,93,189,20,25,45
POA3469,125,117,237,33,26,53,12,19,30,7,0,9,0,5,6,46,44,98,49,44,95,2,4.2,3.1,39.5,42.1,40.8,38.7,40.4,39.5,0,0,5,5,5,8,6,15,19,10,14,25,19,15,34,0,0,0,0,0,0,19,13,35,95,96,192,9,5,12,76,81,158,23,23,52
POA3472,666,630,1295,144,68,214,73,100,175,20,30,56,20,15,34,252,215,472,358,374,729,7.5,6.9,7.2,38,34.6,36.3,35.1,32.2,33.7,5,5,10,0,7,7,22,61,79,34,71,98,184,71,253,6,15,21,8,22,26,194,106,305,614,593,1208,67,88,159,464,445,912,201,210,410
POA3475,180,149,327,49,20,69,5,30,36,9,4,9,3,5,8,64,62,125,88,73,163,7.5,10.2,8.7,37.4,40.4,38.8,34.6,36.3,35.4,0,0,4,0,0,4,6,6,16,6,15,26,51,17,64,3,4,3,0,3,5,53,25,75,162,138,300,14,11,27,124,107,229,44,44,93
POA3477,371,322,689,152,75,231,41,82,124,18,7,24,6,3,11,218,177,391,116,117,237,2.8,2.3,2.6,58.1,54.5,56.4,56.5,53.3,55,3,5,12,3,15,14,25,37,61,21,47,65,110,45,159,0,5,6,3,6,11,115,55,174,350,318,667,41,36,71,296,256,553,79,71,150
POA3478,1075,1166,2242,378,182,555,127,270,395,29,39,75,26,20,43,559,510,1073,446,552,1000,4.3,3.7,4,51.7,44,47.7,49.4,42.4,45.8,11,18,28,11,26,36,48,111,157,56,96,151,255,148,399,15,21,32,17,26,36,276,190,468,1022,1078,2100,117,121,236,770,792,1559,319,355,672
POA3480,772,755,1524,314,149,458,88,179,272,28,24,52,15,13,26,447,365,813,259,326,585,3.3,3.9,3.6,58.1,48,53.1,56.2,46.1,51.2,3,13,18,4,15,20,37,81,126,31,72,106,202,93,301,6,16,19,7,7,17,218,117,336,763,725,1485,69,75,146,554,517,1075,241,247,486
POA3482,96,75,178,26,9,35,5,16,23,0,0,0,0,0,0,33,30,64,39,31,68,0,3.6,1.6,35.1,35.9,35.4,35.1,34.6,34.9,0,0,0,0,0,0,4,3,11,0,9,15,13,8,18,0,0,0,0,0,0,13,6,16,81,62,136,4,12,16,65,49,108,25,15,37
POA3483,374,356,735,171,78,249,50,98,152,14,13,30,4,6,7,245,196,443,100,137,239,1.6,1.5,1.6,65.4,54.7,60.2,64.4,53.9,59.3,7,11,21,3,10,14,35,62,95,20,48,65,101,40,136,0,0,8,5,0,10,106,42,154,364,359,714,40,31,70,267,270,533,121,109,224
POA3485,135,127,260,48,17,61,14,20,29,9,4,11,0,0,0,69,39,111,53,73,120,4.3,0,2.8,50.7,32.5,42.1,48.5,32.5,40.9,3,0,3,0,0,4,7,5,12,7,6,11,31,16,49,0,3,3,0,0,7,35,19,53,121,108,232,13,13,22,105,86,195,28,29,54
POA3487,31,39,68,18,9,26,5,11,13,3,4,3,0,0,0,25,21,43,5,11,19,0,4.5,2.3,61.8,59.5,60.6,61.8,56.8,59.2,0,0,0,0,0,0,0,0,0,0,4,8,6,8,12,0,0,0,0,0,0,12,5,18,28,35,68,0,5,4,26,33,55,3,10,14
POA3488,38,36,80,20,5,28,4,11,14,0,0,3,0,0,0,26,20,40,15,13,23,0,0,0,55,52.8,53.9,55,52.8,53.9,0,0,0,0,0,0,6,3,5,0,5,4,12,0,12,0,0,0,0,0,4,17,0,20,34,34,73,3,0,9,26,32,59,9,7,18
POA3489,20,23,42,11,3,14,0,8,8,0,0,0,0,0,0,14,8,23,5,10,16,0,0,0,61.9,39.1,50,61.9,39.1,50,0,0,0,0,0,0,0,5,5,0,0,0,9,0,11,0,0,0,0,0,0,9,0,11,27,25,56,0,0,0,28,23,45,6,3,11
POA3490,594,535,1126,235,95,334,46,121,170,25,22,40,13,9,21,327,249,573,212,231,438,4,3.6,3.8,54.6,46.8,50.9,52.4,45.1,49,10,7,17,0,12,11,22,64,87,26,39,68,153,67,217,0,7,10,4,3,9,161,76,235,528,500,1028,63,68,127,413,364,773,154,166,320
POA3491,61,58,120,25,4,32,6,12,23,0,3,4,5,0,0,32,28,61,22,24,44,5.9,3.7,4.9,54.8,49.1,52.1,51.6,47.3,49.6,0,0,0,0,0,0,3,9,12,0,9,8,18,11,29,0,0,0,0,0,4,16,10,29,68,60,125,3,0,4,50,39,91,21,14,31
POA3494,300,233,536,153,64,219,16,55,73,9,13,21,5,5,16,191,137,331,65,59,125,3.6,5.1,4.3,63.6,58.4,61.3,61.3,55.4,58.7,0,4,3,0,0,0,8,17,28,14,20,34,53,41,91,4,7,7,0,6,10,54,46,106,284,209,491,41,28,68,182,126,312,120,104,222
