POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3108,5280,14582,768,1513,1182,3158,1950,4673,389,626,270,465,793,1441,1248,2333,0,4,2701,4874,0,0,0,0,0,0,3,0,3,0,14,23,9944,24149,1476,..,11420,24149
POA3109,6904,20267,1047,2307,1477,4223,2522,6529,654,1418,231,467,545,1033,70,107,3,16,1507,3036,0,0,0,0,0,0,0,0,0,0,12,29,10939,29871,1037,..,11976,29871
POA3111,3749,10697,325,514,121,348,444,862,83,169,42,70,0,0,0,0,7,9,128,242,0,0,0,0,0,0,0,0,0,0,0,9,4321,11814,304,..,4621,11814
POA3113,2744,8211,13,22,5,0,17,22,4,3,0,0,0,0,0,0,3,9,5,7,5,3,0,0,0,0,0,0,5,3,0,3,2771,8258,111,..,2883,8258
POA3114,1157,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1164,3687,60,..,1225,3687
POA3115,1225,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3,9,1229,3677,46,..,1279,3677
POA3116,3987,11156,17,30,45,87,65,118,0,0,10,9,0,0,0,0,9,20,17,24,0,0,0,0,0,0,0,0,0,0,6,8,4071,11319,189,..,4264,11319
POA3121,2262,5681,2379,5387,2317,5402,4690,10784,1002,1575,1570,2428,3329,5336,1703,3135,3,4,7604,12479,0,0,0,0,0,0,68,149,68,149,9,11,14639,29109,2594,..,17230,29109
POA3122,2361,6939,1143,2741,412,986,1558,3725,1708,2918,2468,4003,1321,2170,242,388,0,3,5741,9474,0,0,0,0,0,0,38,76,38,76,6,12,9706,20235,1777,..,11488,20235
POA3123,2067,6119,606,1439,522,1289,1124,2733,883,1538,803,1355,1006,1644,353,562,0,0,3044,5098,0,0,0,0,0,0,5,8,5,8,10,15,6251,13974,1228,..,7477,13974
POA3124,4754,14011,1093,2194,620,1627,1713,3823,755,1426,137,251,475,740,0,0,3,6,1370,2423,0,0,0,0,0,0,48,112,48,112,19,35,7908,20401,930,..,8839,20401
POA3125,3163,8778,721,1284,729,1947,1451,3231,330,615,271,420,239,412,0,0,4,13,842,1466,0,0,0,0,0,0,0,0,0,0,5,13,5462,13484,949,..,6411,13484
POA3126,1795,5338,473,983,181,455,651,1445,103,179,149,264,62,106,0,0,0,7,309,559,0,0,0,0,0,0,25,43,25,43,4,9,2780,7381,308,..,3090,7381
POA3127,4377,12623,1215,2437,478,1165,1693,3601,517,935,173,287,129,221,0,0,0,9,820,1450,0,0,0,0,0,0,10,20,10,20,9,23,6914,17715,657,..,7569,17715
POA3128,3382,9608,1216,2506,971,2533,2184,5040,716,1446,746,1391,529,866,1513,2779,3,12,3510,6503,0,0,0,0,0,0,4,9,8,9,22,32,9096,21195,1664,..,10765,21195
POA3129,4104,11653,1256,2658,844,2210,2101,4865,314,685,0,0,72,141,0,0,0,0,382,823,0,0,0,0,0,0,3,11,3,11,6,11,6598,17363,616,..,7217,17363
POA3130,8968,25125,1544,3091,719,1850,2265,4945,315,490,184,293,526,851,0,0,12,21,1039,1653,0,0,0,0,0,0,9,15,9,15,4,12,12285,31750,1027,..,13316,31750
POA3131,6093,16670,1730,3252,557,1470,2287,4728,47,91,61,106,165,290,0,0,6,7,276,495,0,0,0,0,0,0,3,11,3,11,6,10,8660,21908,602,..,9267,21908
POA3132,4063,11322,1453,2856,637,1647,2090,4503,23,40,45,76,231,344,0,0,7,28,310,496,0,0,0,0,0,0,0,0,0,0,3,3,6468,16316,425,..,6890,16316
POA3133,6638,19307,827,1634,310,877,1135,2512,9,34,15,18,83,147,0,0,6,15,113,215,0,0,0,0,0,0,7,18,7,18,0,0,7891,22050,502,..,8385,22050
POA3134,10846,29553,514,838,354,773,872,1608,145,277,326,529,470,795,74,117,3,0,1015,1715,0,0,0,0,0,0,5,12,5,12,16,31,12759,32918,1009,..,13770,32918
POA3135,7131,18662,287,535,176,426,471,967,23,61,21,35,0,0,0,0,3,7,44,108,0,0,0,0,0,0,3,13,3,13,3,6,7657,19754,456,..,8108,19754
POA3136,15399,39795,1070,2068,493,1152,1565,3222,198,356,268,429,109,163,0,0,15,41,589,985,0,0,0,0,0,0,9,25,10,22,16,34,17576,44056,1014,..,18591,44056
POA3137,4788,12681,497,840,172,384,672,1229,48,71,0,0,0,0,0,0,3,5,58,81,0,0,0,0,0,0,0,4,0,4,3,4,5513,13995,270,..,5788,13995
POA3138,7673,21471,181,329,167,318,348,638,0,4,10,9,0,0,0,0,5,22,16,30,0,0,0,5,0,0,0,3,5,6,7,14,8040,22162,365,..,8407,22162
POA3139,4900,13588,7,10,0,0,7,10,0,0,0,0,0,0,0,0,8,18,8,18,0,0,0,0,0,0,0,0,0,0,9,14,4921,13633,268,..,5197,13633
POA3140,5221,14404,850,1297,391,721,1240,2024,5,10,0,0,0,0,0,0,5,3,9,20,58,72,0,0,0,0,5,8,61,80,12,30,6550,16560,353,..,6906,16560
POA3141,964,2372,717,1505,963,2132,1678,3636,767,1355,3317,5129,2142,3366,4178,6486,4,3,10404,16338,0,0,0,0,0,0,21,30,21,30,17,29,13082,22411,3544,..,16627,22411
POA3142,1664,4637,238,475,847,1898,1084,2375,1079,1889,1104,1871,398,630,143,247,8,14,2731,4643,0,0,0,0,0,0,0,7,0,7,4,12,5481,11669,1359,..,6849,11669
POA3143,1108,2986,407,889,320,686,732,1574,628,1065,1220,1920,655,1137,13,21,0,0,2511,4144,0,0,0,0,0,0,8,15,8,15,3,10,4361,8723,900,..,5263,8723
POA3144,1972,5732,404,807,415,965,822,1775,501,859,653,1034,209,361,0,0,3,4,1359,2263,0,0,0,0,0,0,146,220,151,220,6,25,4312,10020,685,..,4993,10020
POA3145,4644,13925,1363,2836,785,1892,2148,4720,782,1386,458,762,478,689,224,375,0,0,1941,3210,0,0,0,0,0,0,137,225,142,225,10,22,8883,22106,1559,..,10444,22106
POA3146,5405,16287,1089,2373,697,1747,1783,4120,1390,2391,656,1144,634,1057,11,14,4,6,2694,4617,0,0,0,0,0,0,0,7,0,7,6,11,9894,25043,1102,..,11001,25043
POA3147,3629,10388,463,881,413,1153,874,2039,586,1298,40,74,215,312,0,0,7,8,849,1698,0,0,0,0,0,0,42,76,42,76,4,9,5405,14202,501,..,5899,14202
POA3148,1995,5499,341,748,599,1586,942,2332,379,744,71,109,58,135,180,286,0,0,679,1271,0,0,0,0,0,0,0,8,0,8,4,11,3623,9122,372,..,3997,9122
POA3149,8561,24449,566,1298,661,2009,1227,3307,2620,6322,41,76,18,23,0,0,5,6,2681,6430,0,0,0,0,0,0,7,13,7,13,0,5,12481,34198,1046,..,13526,34198
POA3150,17602,51070,1239,2758,712,2139,1948,4900,1031,2341,311,568,401,630,392,748,18,30,2157,4324,0,0,0,0,0,0,0,4,0,4,11,12,21719,60312,2073,..,23790,60312
POA3151,2966,8051,470,1069,261,659,726,1724,48,89,64,96,207,341,0,0,0,5,320,540,0,0,0,0,0,0,0,4,0,4,6,0,4021,10325,351,..,4373,10325
POA3152,10080,29385,1001,1664,741,1882,1737,3544,37,44,0,0,129,212,170,261,10,29,342,542,0,0,0,0,0,0,0,0,0,0,3,5,12166,33478,724,..,12889,33478
POA3153,5711,14933,1448,3062,497,1077,1948,4143,445,779,93,158,45,72,0,0,8,22,582,1023,0,0,0,0,0,0,0,8,0,8,8,21,8257,20126,515,..,8773,20126
POA3154,1462,4023,58,93,20,47,74,143,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,10,4,10,0,0,1545,4183,84,..,1629,4183
