POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA3174,10,83,1276,5819,1742,358,98,154,9537,5,227,560,133,4,0,0,14,953,0,3,375,358,80,0,0,16,845,4,228,940,503,86,0,0,30,1792,5,391,1088,553,65,3,0,52,2161,10,28,76,7,0,0,0,0,118,0,6,41,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,7,14,423,1204,559,65,5,0,54,2332,0,0,0,3,0,0,0,0,3,3,8,3,4,3,0,0,4,21,29,749,3425,6875,1899,369,100,243,13683
POA3175,19,135,1084,6112,2642,606,122,221,10943,4,255,2137,612,51,5,3,82,3151,0,29,603,705,132,8,3,36,1523,6,280,2738,1314,186,18,9,122,4675,11,165,1219,89,11,0,4,56,1549,0,34,210,18,0,0,0,8,271,0,112,164,13,0,0,0,6,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,312,1594,120,11,4,8,71,2126,13,33,23,10,0,0,0,0,79,0,9,10,10,0,0,0,4,31,54,772,5448,7562,2845,623,133,419,17855
POA3177,6,43,491,2106,353,82,16,75,3169,0,126,308,192,24,0,0,22,680,0,3,36,96,26,0,0,7,168,0,125,344,287,53,0,3,32,849,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,4,0,0,0,0,0,9,0,0,0,6,0,0,0,0,11,4,171,848,2406,399,82,16,109,4045
POA3178,4,21,249,4154,4895,959,108,81,10469,0,21,366,126,7,0,0,13,535,0,5,114,140,23,0,0,0,283,0,26,482,265,35,0,0,18,822,0,0,8,5,0,0,0,0,12,0,15,41,0,0,0,0,0,51,0,7,26,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,18,65,9,0,0,0,0,97,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,64,803,4435,4930,957,108,95,11398
POA3179,0,12,70,1015,693,167,17,28,1998,0,0,0,5,3,0,0,0,17,0,0,13,24,11,0,0,0,44,0,0,11,29,15,0,0,0,65,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,5,6,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,93,1048,715,171,15,28,2074
POA3180,0,9,122,1238,724,121,28,19,2252,0,7,147,163,38,0,0,0,360,0,0,18,140,44,10,4,0,221,0,6,165,306,78,13,4,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,291,1542,807,128,27,18,2838
POA3181,0,47,484,687,292,54,14,17,1592,4,55,763,574,81,15,0,14,1501,0,48,275,395,85,11,5,11,832,4,108,1039,967,165,28,5,25,2337,12,215,540,153,15,0,6,5,951,28,880,1054,133,6,0,3,17,2119,66,1100,967,104,0,0,0,39,2279,15,270,197,15,0,0,0,11,508,0,0,0,0,0,0,0,0,0,120,2471,2758,409,22,5,6,73,5856,0,4,11,9,0,0,5,0,33,0,10,3,0,4,0,0,0,17,120,2636,4291,2068,488,84,25,114,9829
POA3182,0,14,146,256,194,62,13,4,686,5,53,290,295,66,10,3,10,727,0,46,217,306,101,13,3,9,693,7,102,504,600,165,19,8,18,1417,126,750,1001,111,12,0,7,22,2028,108,1685,1843,188,10,3,3,49,3886,82,723,1005,81,7,0,7,21,1919,17,626,641,53,4,0,0,17,1351,0,0,9,6,0,0,0,0,16,329,3785,4496,423,27,3,13,111,9194,10,186,210,37,11,0,0,11,459,0,6,9,0,0,0,0,0,21,352,4094,5360,1324,394,85,33,140,11779
POA3183,0,18,267,555,378,153,82,24,1463,0,27,322,356,54,7,6,9,779,6,34,151,222,92,22,0,0,535,7,62,476,576,144,29,6,8,1314,13,447,1205,228,22,9,3,47,1980,30,792,1779,234,4,0,0,37,2881,11,108,130,20,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1354,3114,478,30,7,5,91,5123,0,17,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,59,1452,3863,1613,553,191,89,120,7932
POA3184,0,10,131,468,319,87,10,6,1035,10,25,178,293,66,9,0,11,587,0,7,108,225,42,8,0,0,402,10,31,291,520,110,14,3,8,987,9,432,1255,234,20,0,4,24,1979,27,931,1695,224,9,0,0,30,2914,0,93,213,27,0,0,0,4,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1458,3164,486,28,5,4,49,5239,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,49,1502,3588,1471,461,107,15,68,7264
POA3185,0,19,197,921,659,186,32,15,2037,0,20,319,270,24,3,0,6,641,0,14,131,201,58,4,0,4,424,0,34,451,473,82,12,0,10,1063,5,453,733,145,20,7,3,19,1380,3,148,424,19,0,0,0,4,605,0,131,254,21,0,0,0,5,411,0,45,61,4,0,0,0,3,113,0,0,0,5,0,0,0,0,11,10,781,1470,189,24,7,5,22,2512,4,9,23,9,0,0,0,0,45,0,0,0,0,0,0,0,0,4,19,845,2141,1594,770,203,40,47,5662
POA3186,0,29,502,1818,1943,685,116,46,5133,3,59,550,283,13,10,0,12,928,0,15,267,611,162,20,0,9,1088,3,69,816,889,180,27,3,21,2011,0,54,333,107,4,0,0,3,506,0,70,322,143,6,0,0,10,560,0,178,394,57,0,0,0,6,638,0,8,52,8,0,0,0,0,74,0,0,0,0,4,0,0,0,4,0,316,1105,314,13,0,0,19,1777,0,3,36,15,0,0,0,0,57,0,0,0,4,0,0,0,0,7,4,420,2457,3040,2136,714,120,89,8981
POA3187,3,25,364,1539,1596,456,60,36,4078,0,16,330,261,43,5,0,5,659,0,23,137,387,192,17,0,15,772,4,45,466,644,237,21,4,13,1432,26,106,193,19,0,0,0,11,349,0,3,40,4,0,0,0,0,45,0,46,16,3,0,0,0,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,155,250,21,5,0,0,15,477,0,4,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,36,220,1090,2218,1836,481,64,65,6009
POA3188,0,21,417,1742,1564,418,52,34,4247,5,94,558,257,25,0,0,11,952,0,7,117,351,149,3,4,6,634,5,104,676,601,181,6,4,12,1582,0,84,390,127,16,0,0,6,628,0,13,126,41,5,0,0,0,180,0,111,159,28,6,0,0,4,313,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,208,681,197,24,0,0,13,1127,0,16,29,5,0,0,0,0,51,0,3,0,4,0,0,0,0,7,7,345,1805,2552,1762,425,60,56,7016
POA3189,0,13,239,1013,452,88,23,23,1852,0,11,62,34,0,0,0,0,112,0,0,30,37,27,0,0,0,100,0,11,90,78,25,0,0,0,209,0,43,65,3,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,54,74,4,0,0,0,3,134,0,13,79,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,6,108,217,11,0,0,0,5,345,0,4,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,13,131,549,1097,479,90,22,28,2415
POA3190,0,13,362,1237,799,118,18,26,2573,0,46,515,272,24,0,0,10,862,0,4,140,285,72,0,0,5,518,0,50,661,551,93,5,0,14,1381,0,11,81,3,0,0,0,6,102,0,32,187,18,0,0,0,4,235,0,123,344,18,0,0,0,4,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,167,615,36,3,0,0,8,834,0,9,34,0,0,0,0,0,41,0,0,0,0,0,0,0,0,4,3,238,1669,1831,897,126,18,49,4828
POA3191,0,11,180,808,824,265,24,13,2133,0,13,330,206,22,0,0,0,580,0,0,24,224,116,9,4,3,378,0,13,358,428,136,6,6,5,956,0,27,120,53,0,0,0,0,201,8,83,169,48,3,0,0,7,311,18,185,220,26,0,0,0,3,456,0,39,109,15,0,0,0,0,167,0,0,0,0,0,0,0,0,0,22,332,614,151,6,0,0,20,1145,0,5,10,6,0,0,0,0,19,0,0,0,4,0,0,0,0,6,26,364,1164,1401,971,276,29,39,4266
POA3192,8,25,486,2987,1676,303,47,50,5572,4,79,777,415,40,9,0,18,1330,0,20,267,443,82,3,0,6,821,4,105,1040,855,119,8,5,25,2154,5,71,876,177,14,0,0,24,1150,0,35,106,4,0,0,0,0,149,0,67,158,26,0,0,0,8,258,0,23,155,3,0,0,0,0,190,0,0,0,0,0,0,0,0,0,5,198,1291,210,14,0,0,28,1747,0,7,18,5,0,0,0,0,37,0,0,0,5,3,0,0,0,6,10,332,2836,4059,1809,314,51,96,9517
POA3193,0,13,349,2094,2182,573,52,36,5304,0,25,488,281,20,3,0,5,828,0,5,69,506,193,10,0,4,791,0,31,555,785,211,20,0,13,1617,0,50,179,90,11,3,0,9,341,0,0,52,40,3,0,0,0,94,0,4,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,51,242,131,14,3,0,12,450,0,0,48,20,0,0,0,0,72,0,0,0,0,0,0,0,0,0,5,98,1192,3030,2410,596,53,64,7444
POA3194,0,21,231,1097,887,196,31,14,2482,0,204,798,322,28,5,0,7,1367,0,21,146,446,103,10,4,0,730,0,223,945,764,132,12,0,10,2099,4,304,300,45,4,0,0,9,671,0,22,95,10,4,0,0,0,127,0,28,131,0,0,0,0,0,163,0,34,35,3,0,0,0,0,72,0,0,0,0,0,0,0,0,0,7,390,550,60,3,0,0,8,1028,0,6,19,6,0,0,0,0,33,0,3,0,0,0,0,0,0,3,8,643,1746,1931,1027,214,39,37,5638
POA3195,8,37,467,3413,3473,701,90,56,8238,0,182,1116,752,128,5,5,19,2212,0,25,278,815,289,32,4,8,1461,0,210,1396,1569,419,41,12,27,3675,11,289,910,295,35,3,0,26,1575,0,28,126,20,5,0,0,5,191,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,321,1041,319,42,0,0,24,1765,0,7,18,11,0,0,0,0,39,0,3,4,0,0,0,0,0,9,22,574,2924,5317,3928,741,103,112,13726
POA3196,4,34,501,2790,1499,272,36,36,5170,0,55,997,540,44,0,0,19,1657,0,0,294,731,188,15,0,6,1233,0,55,1298,1271,231,13,0,30,2893,3,158,1373,825,66,12,6,31,2472,0,16,132,8,0,0,0,5,159,0,12,43,5,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,183,1554,832,66,12,6,33,2692,0,64,73,8,0,0,0,3,144,0,0,0,0,6,0,0,0,8,10,333,3427,4902,1812,291,44,102,10917
POA3197,0,18,150,1179,1036,205,30,32,2655,0,12,314,252,25,0,0,8,620,0,0,233,529,102,8,0,14,892,0,13,548,783,126,11,0,21,1516,4,64,251,121,3,0,0,13,462,0,0,98,13,0,0,0,0,111,0,11,81,30,0,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,72,425,167,8,0,0,21,698,0,0,7,7,0,0,0,0,4,0,0,4,0,0,0,0,0,6,11,108,1131,2131,1170,220,34,77,4877
POA3198,15,50,633,3251,1057,178,29,77,5295,3,155,715,263,8,0,0,29,1190,0,5,186,268,18,0,0,5,479,3,164,903,527,29,4,0,33,1666,0,60,17,0,0,0,0,0,80,0,9,72,16,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,68,90,12,0,0,0,0,182,12,25,3,0,0,0,0,0,43,0,0,6,7,0,0,0,0,8,30,316,1633,3801,1086,181,26,116,7191
POA3199,55,141,1364,9172,5044,872,153,215,17014,5,337,1952,589,23,4,0,50,2959,14,46,346,432,75,3,0,17,933,11,379,2299,1019,107,3,0,65,3892,45,212,506,27,9,0,6,21,825,0,5,52,13,0,0,0,0,68,4,9,92,4,0,0,0,4,116,10,14,0,0,0,0,0,0,24,0,4,4,0,0,0,0,0,8,58,250,650,44,9,0,6,33,1040,4,18,7,12,5,0,0,0,45,0,5,10,11,0,0,0,0,22,133,798,4335,10250,5163,879,159,313,22026
POA3200,0,30,127,1597,183,26,8,33,1998,0,51,29,5,0,0,0,4,96,0,0,3,41,3,0,0,5,47,0,57,29,46,6,0,0,8,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,87,155,1644,188,24,10,36,2148
POA3201,9,64,362,4077,1713,234,29,75,6563,7,91,450,536,50,9,0,23,1162,3,18,166,254,26,3,0,0,474,3,112,615,793,76,12,3,26,1630,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,6,0,0,0,16,0,5,23,0,6,0,0,0,34,3,28,24,0,0,0,0,7,69,0,0,0,0,0,0,0,0,3,23,205,1025,4870,1801,241,34,113,8307
POA3202,0,0,35,400,321,22,6,8,788,0,18,37,12,0,0,0,0,74,0,0,0,27,8,0,0,0,29,0,18,39,39,3,0,0,0,102,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,38,6,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,7,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,46,114,446,327,22,6,12,965
POA3204,7,34,834,2896,2456,561,76,62,6923,8,55,738,500,60,6,6,17,1381,0,9,254,591,415,28,6,3,1309,8,61,995,1091,478,34,4,24,2683,5,396,871,146,14,0,0,17,1450,0,81,426,63,3,0,0,4,575,4,91,455,65,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,8,567,1751,269,23,0,0,27,2654,0,12,30,9,0,0,0,0,51,0,4,11,8,0,0,0,0,21,16,673,3615,4273,2959,597,86,110,12329
POA3205,0,3,69,131,51,8,0,0,259,0,70,479,258,70,12,0,7,899,7,73,303,514,137,11,3,10,1069,7,150,774,773,213,21,7,16,1967,43,66,70,23,0,0,0,5,204,0,49,43,16,0,0,0,0,107,6,233,438,145,4,0,0,13,838,8,684,1134,247,4,0,0,24,2100,0,0,0,0,0,0,0,0,4,56,1032,1682,431,7,0,0,42,3250,0,16,15,9,0,0,0,0,50,0,10,6,0,0,0,0,0,19,69,1212,2555,1343,272,34,4,57,5547
POA3206,3,18,169,318,169,32,3,7,719,0,58,663,719,203,25,4,6,1678,0,9,161,422,195,42,7,0,835,0,59,819,1137,405,66,14,10,2510,4,52,101,18,6,0,0,3,190,6,144,134,32,7,0,0,3,324,0,80,77,36,0,0,0,0,195,4,69,75,11,0,0,0,8,170,3,4,4,4,3,0,0,0,17,20,353,387,105,11,0,0,18,902,0,8,0,6,3,0,0,0,13,0,4,0,0,0,0,0,0,3,22,442,1378,1574,584,101,19,32,4147
POA3207,0,9,71,211,153,12,4,3,467,0,93,600,576,130,25,3,16,1434,4,77,358,1244,265,27,5,17,1999,5,167,956,1823,396,49,4,39,3434,4,23,94,52,3,0,0,4,173,23,220,296,124,5,0,0,14,688,8,494,1089,258,16,5,0,21,1886,0,252,703,193,4,0,0,14,1163,0,0,0,0,0,0,0,0,6,31,988,2182,624,25,4,3,48,3912,0,0,8,3,0,0,0,0,17,0,0,0,6,0,0,0,0,9,39,1165,3225,2663,573,68,12,88,7830
POA3211,0,4,22,158,161,41,13,11,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,156,160,41,13,11,406
POA3212,0,54,361,2539,2440,254,50,62,5768,0,43,286,190,45,0,0,4,571,0,0,25,4,0,0,0,0,31,0,39,311,193,46,0,0,4,597,0,28,18,5,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,5,0,0,0,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,10,0,128,691,2737,2488,260,47,71,6427
POA3213,0,8,63,470,705,139,42,24,1446,0,0,28,10,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,28,10,4,0,0,0,38,0,0,41,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,39,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,127,476,707,139,42,24,1537
POA3214,14,101,1290,5559,984,89,24,182,8255,4,307,347,78,3,0,0,31,779,0,15,40,43,5,0,0,0,110,4,329,389,120,3,0,0,34,884,0,8,67,26,0,0,0,8,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,66,26,0,0,0,8,101,0,0,19,25,20,0,0,0,61,0,4,0,0,0,0,0,0,6,17,444,1769,5732,1013,92,24,221,9312
POA3215,9,54,902,4376,1701,263,43,100,7452,0,173,408,225,8,0,0,17,837,5,29,84,114,29,0,0,0,252,3,199,490,339,32,3,0,16,1089,0,38,166,74,3,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,166,76,3,0,0,0,286,0,0,19,3,4,0,0,0,29,0,0,4,6,0,0,0,0,12,14,291,1584,4803,1743,265,43,122,8867
POA3216,14,111,1721,9515,6253,1017,192,154,18984,13,431,1722,439,74,10,0,72,2759,5,63,157,165,16,3,0,6,409,11,497,1879,603,92,11,3,76,3171,0,29,42,22,0,0,0,0,95,0,7,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,39,53,26,0,0,0,0,119,12,67,80,12,4,0,0,8,179,0,3,16,12,0,0,3,0,37,41,716,3744,10165,6351,1030,202,243,22490
POA3217,0,14,195,1994,4155,225,39,58,6673,0,0,10,62,109,5,0,0,188,0,0,5,24,18,0,0,0,49,0,0,13,87,124,5,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,5,0,0,0,0,0,29,0,0,0,5,6,0,0,0,11,12,30,212,2079,4284,229,41,61,6939
POA3218,6,45,785,2554,1144,140,24,39,4725,0,128,196,78,12,0,0,15,426,0,17,73,75,16,0,0,0,169,0,142,274,149,24,0,0,15,602,6,336,424,114,4,0,0,24,905,5,24,23,3,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,360,445,114,4,0,0,22,961,8,28,14,10,0,0,0,0,52,0,0,0,5,0,0,0,0,4,21,567,1514,2828,1174,140,24,73,6345
POA3219,11,103,1184,4471,1170,163,25,112,7243,4,348,576,170,6,0,3,20,1133,0,22,52,29,6,0,0,0,108,4,365,630,201,15,0,3,26,1246,0,24,96,20,0,0,0,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,96,20,3,0,0,5,141,0,0,0,0,0,0,0,0,5,0,6,8,3,0,0,0,0,14,14,497,1912,4688,1191,166,29,140,8645
POA3220,0,74,699,2153,1339,320,51,30,4675,12,201,522,158,19,0,0,14,938,0,7,181,279,68,9,0,6,557,17,211,708,440,87,11,0,17,1488,6,71,94,15,4,0,0,3,192,0,26,67,5,0,0,0,0,96,5,80,184,26,0,0,0,4,300,0,20,68,44,6,0,4,0,134,0,0,0,0,0,0,0,0,0,13,195,411,93,13,0,6,7,728,0,5,11,9,0,0,0,0,32,0,7,0,5,3,0,0,0,22,32,483,1830,2703,1442,332,57,55,6934
POA3221,0,0,17,86,102,39,10,5,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,86,99,39,10,5,261
POA3222,7,37,466,3330,2589,328,52,67,6880,0,12,162,38,10,0,0,4,228,0,0,13,16,3,0,0,0,35,0,12,181,58,9,0,3,4,270,0,0,3,31,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,37,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,47,653,3419,2605,331,54,72,7182
POA3223,0,31,447,1974,1123,143,25,55,3809,0,31,88,49,6,0,0,5,183,0,0,11,61,15,0,0,4,102,0,31,100,113,26,0,0,11,278,0,0,3,6,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,15,0,5,6,4,0,0,0,0,17,0,0,0,10,0,0,0,0,11,5,67,562,2107,1155,149,28,70,4135
POA3224,0,25,430,2556,1877,245,38,64,5238,0,3,243,83,3,0,0,5,341,0,0,0,3,0,0,0,0,9,0,3,244,91,5,0,0,5,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,8,56,31,4,0,0,0,0,96,0,0,0,0,3,0,0,0,7,7,82,708,2645,1886,243,43,69,5699
POA3225,3,14,195,1010,633,101,24,20,2000,0,11,93,54,4,0,0,0,163,0,0,11,24,0,0,0,0,35,0,11,104,81,4,0,0,0,198,0,0,24,11,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,11,0,0,0,0,39,0,3,22,16,0,0,0,0,38,0,0,0,0,0,0,0,0,3,3,32,342,1121,636,101,24,22,2273
