POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3146,192,182,179,150,202,151,115,80,34,1290,4518,3621,3208,3406,3891,3207,2323,1407,548,26131
POA3147,153,83,124,96,111,102,81,50,27,816,2782,1863,1756,2053,2205,1825,1299,835,489,15102
POA3148,90,64,174,90,77,55,50,27,11,640,1505,1120,2094,1561,1106,880,660,439,181,9552
POA3149,261,275,258,204,269,211,122,119,85,1796,5992,4724,4286,4812,4847,4094,2997,2397,1186,35340
POA3150,448,431,389,417,388,350,339,317,278,3358,10097,8168,6723,8253,8285,7282,6710,5209,2567,63298
POA3151,47,65,70,52,67,44,49,45,12,450,1461,1341,1592,1360,1367,1183,1015,996,372,10675
POA3152,287,222,199,195,181,208,172,138,85,1690,5908,4030,3958,4851,4337,4440,4136,2140,1139,34940
POA3153,259,137,198,218,178,149,86,86,123,1436,3693,2176,3345,3414,2614,2374,1903,1139,612,21276
POA3154,54,46,40,27,45,41,26,16,11,313,869,499,525,599,658,574,435,225,115,4500
POA3155,319,178,246,218,211,155,157,62,28,1575,4033,2405,3750,3608,2978,2649,2356,1365,517,23660
POA3156,407,308,312,292,336,306,187,131,65,2347,6701,4726,4772,5309,5521,5126,3675,1980,670,38484
POA3158,73,51,54,58,56,63,41,11,3,411,1317,779,744,962,1044,971,721,222,56,6818
POA3159,43,37,20,26,40,19,8,9,0,204,503,329,225,380,415,357,262,106,20,2593
POA3160,92,84,72,68,68,74,59,10,3,529,1674,1075,974,1359,1371,1238,926,343,73,9024
POA3161,138,126,200,146,100,80,132,69,85,1080,2660,2158,3062,2235,1882,1650,1799,878,580,16903
POA3162,142,101,168,127,146,96,106,76,25,1000,3127,1999,2236,2429,2439,2030,2078,1079,649,18075
POA3163,220,199,368,254,221,156,150,131,110,1809,4731,3733,6918,5306,3949,3342,2593,1529,718,32810
POA3165,296,197,141,226,235,195,140,72,46,1544,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
POA3166,233,226,262,204,200,142,93,63,26,1448,3821,3235,4401,3572,3379,2643,1773,1230,699,24753
POA3167,101,56,92,96,64,54,51,40,15,567,1632,1011,1471,1435,1235,1197,981,616,271,9851
POA3168,157,500,656,219,125,99,79,101,135,2079,1931,5961,6618,2511,1454,1226,927,732,525,21880
POA3169,157,188,248,166,161,134,125,92,38,1311,2989,2520,3982,2888,2344,2165,2020,1339,575,20820
POA3170,179,138,148,139,153,115,100,90,38,1097,3516,2190,2704,2894,2599,2073,1965,1420,519,19889
POA3171,268,217,373,186,196,176,99,75,40,1626,3214,2953,4535,2990,2524,2332,1821,1197,614,22174
POA3172,248,154,168,192,162,180,139,91,47,1384,3937,2955,2795,3069,3098,3004,2424,1422,552,23261
POA3173,344,185,239,257,188,178,119,74,30,1614,5896,3865,4260,4723,3843,3188,2507,1276,456,30018
POA3174,537,357,578,422,341,333,224,157,54,3007,6521,4953,7405,5684,4524,4194,3401,2145,868,39693
POA3175,995,609,993,831,601,500,405,242,121,5289,9682,6464,9625,7909,6032,5326,4447,2828,1233,53545
POA3177,259,148,250,182,137,108,85,66,32,1284,2327,1437,2272,1790,1287,1156,889,522,200,11889
POA3178,261,232,200,179,244,258,141,83,32,1635,5623,4575,3783,4175,5010,5126,3073,1661,554,33571
POA3179,65,43,36,56,53,28,25,21,8,323,1051,833,693,913,885,746,603,272,64,6066
POA3180,51,49,44,48,46,55,31,44,13,382,1276,919,934,1125,992,900,806,563,129,7645
POA3181,97,156,391,235,158,143,122,165,226,1703,1526,2038,6275,3405,2090,1634,1217,909,555,19636
POA3182,132,168,575,411,331,296,154,83,20,2167,1672,1864,6460,4273,3063,2619,1624,679,184,22438
POA3183,212,160,340,254,164,104,78,44,21,1375,2756,1924,4506,3155,2145,1565,1159,535,225,17964
POA3184,159,85,263,266,193,136,75,43,23,1246,1979,1244,3301,2841,2401,1779,1042,425,147,15153
POA3185,131,94,127,119,86,73,60,37,27,755,2289,1485,2322,1984,1827,1464,1158,606,288,13433
POA3186,202,175,88,133,217,214,173,124,62,1391,3619,2719,1845,2442,3506,3338,2878,1957,958,23252
POA3187,196,116,67,109,154,90,83,77,75,981,3167,2063,1139,1916,2653,2123,1617,1221,854,16757
POA3188,211,139,121,143,180,172,124,76,27,1192,3268,2323,1663,2338,3035,2686,1811,1071,394,18587
POA3189,65,34,58,68,61,44,33,29,15,416,1169,611,832,1061,876,695,530,358,161,6287
POA3190,145,84,95,113,120,66,46,33,32,734,2212,1189,1602,1884,1855,1323,1043,603,291,12007
POA3191,103,58,60,81,119,96,79,45,64,715,1731,1213,832,1297,1748,1580,1262,764,488,10926
POA3192,271,152,201,188,202,136,127,116,57,1440,4348,2463,3028,3776,3402,2623,2063,1477,954,24129
POA3193,198,136,67,98,192,167,131,82,44,1109,3456,2547,1135,1937,3352,3044,2581,1513,631,20207
POA3194,102,67,99,103,112,83,73,55,49,728,2075,1330,1710,1902,2010,1599,1299,889,403,13221
POA3195,368,249,214,259,338,265,168,115,59,2036,6975,4619,3595,5080,6126,4844,3344,1920,863,37364
POA3196,312,166,247,267,246,231,168,114,51,1809,4839,2385,3520,4212,3779,3231,2590,1596,718,26876
POA3197,126,82,90,92,98,92,71,55,19,730,1993,1193,1299,1558,1846,1736,1430,721,252,12032
POA3198,278,137,197,236,245,164,100,79,38,1473,3032,1589,2352,2682,2445,2036,1682,1016,385,17215
POA3199,874,549,708,636,626,522,359,240,144,4658,9767,6261,7461,7548,7493,6781,5745,3516,1559,56127
POA3200,162,110,121,94,97,87,40,36,16,758,1016,629,963,711,671,700,473,349,194,5711
POA3201,374,189,247,211,213,162,114,69,66,1638,4218,2481,3684,3199,2883,2557,1703,835,423,21976
POA3202,27,14,15,16,21,14,36,21,11,182,576,344,271,382,528,317,246,120,43,2826
POA3204,299,251,243,238,271,203,137,77,43,1758,6064,4354,4204,4746,5219,3868,2601,1412,665,33130
POA3205,99,75,167,133,138,106,64,61,53,890,1339,1013,2507,1999,1653,1323,903,531,278,11548
POA3206,93,50,53,82,90,94,59,43,19,585,1690,899,899,1355,1656,1426,1093,782,231,10043
POA3207,168,135,265,267,247,208,139,77,18,1519,2428,1377,2713,3128,2905,2242,1671,924,240,17633
POA3211,35,35,12,18,34,35,8,0,0,170,265,191,97,167,218,220,137,52,16,1353
POA3212,282,246,585,503,316,174,135,47,27,2307,3720,2161,3035,2892,2572,2032,1747,819,291,19272
POA3213,62,47,40,29,66,63,24,14,7,355,916,689,543,558,743,689,370,187,45,4753
POA3214,600,416,437,351,344,266,192,99,44,2752,4301,3546,3861,2829,2974,2952,2343,1242,453,24500
POA3215,263,203,216,175,191,151,120,111,52,1478,3508,2426,3335,2646,2679,2493,2442,1622,839,21994
POA3216,634,662,528,413,429,392,370,231,135,3801,10325,8518,8409,7511,7154,6475,5857,3913,1953,60123
POA3217,318,179,238,185,135,100,55,21,10,1244,5003,2530,4741,3436,1809,1366,1025,410,168,20499
POA3218,165,139,153,145,113,92,76,41,24,947,2757,1615,2530,2335,1897,1695,1240,626,239,14942
POA3219,301,238,248,230,233,204,154,106,61,1788,2952,2429,3107,2350,2546,2701,2290,1384,561,20309
POA3220,205,167,169,143,148,168,136,63,32,1228,2774,2219,2430,2114,2258,2279,1875,956,362,17270
POA3221,14,7,4,8,11,16,4,0,0,61,164,106,57,96,131,113,97,27,12,801
POA3222,262,152,109,145,116,142,157,106,45,1236,3218,1876,1871,2120,2205,2575,2736,1456,522,18576
POA3223,91,55,40,75,97,164,167,142,83,924,1004,588,627,752,1108,1762,2250,1134,314,9536
POA3224,214,93,124,98,132,101,113,96,24,1005,2617,1607,1768,1766,1854,1851,1893,1298,439,15101
POA3225,55,21,20,41,38,79,106,72,22,456,621,346,277,407,534,873,1275,771,298,5408
POA3226,203,106,88,145,107,142,168,91,44,1100,3547,1609,1584,2416,2292,2333,2420,1097,424,17714
POA3227,82,50,22,48,75,73,76,33,12,469,1045,512,298,644,843,796,860,356,112,5459
POA3228,374,195,167,262,272,191,201,91,80,1832,5309,2376,2397,3860,3438,2690,2537,1151,420,24181
POA3230,48,11,17,27,32,43,46,14,10,250,460,229,254,333,361,543,613,306,102,3208
POA3231,15,12,16,14,28,23,34,7,6,152,174,121,99,114,221,358,317,138,33,1571
POA3232,10,13,18,11,21,25,33,19,12,152,129,105,172,108,130,226,271,125,56,1327
POA3233,41,12,22,25,39,44,50,23,15,272,297,154,220,228,320,410,449,218,69,2363
POA3234,3,0,0,0,4,4,5,0,0,17,38,15,17,18,35,45,54,16,0,237
POA3235,14,6,10,10,15,14,6,5,0,78,94,43,39,67,77,99,69,22,6,515
POA3236,11,0,3,10,6,13,7,0,0,49,29,17,29,26,33,57,39,16,4,257
POA3237,5,9,8,0,6,19,0,4,0,58,28,23,23,32,56,67,36,10,0,276
POA3238,0,0,3,4,3,3,0,0,0,18,36,16,15,35,43,69,24,5,4,251
POA3239,5,10,10,8,14,16,9,3,0,68,73,44,47,45,81,90,89,17,0,491
POA3240,25,11,16,18,13,14,12,10,0,113,465,256,175,322,320,322,213,82,20,2169
POA3241,61,29,32,47,28,33,30,11,7,278,521,317,402,373,378,438,375,191,77,3072
POA3242,13,4,3,4,4,13,9,4,0,60,183,73,104,125,110,140,147,52,5,942
POA3243,5,8,5,3,11,5,11,3,0,52,60,36,36,48,62,52,85,23,6,392
POA3249,47,22,31,32,47,53,29,19,4,287,624,361,289,363,468,570,459,182,44,3368
POA3250,196,117,133,108,133,115,126,88,36,1050,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
POA3251,14,0,9,3,0,9,11,0,0,53,80,40,49,70,72,90,94,27,11,524
POA3254,10,9,7,7,3,8,7,0,0,52,86,41,53,44,36,55,22,14,0,358
POA3260,79,52,44,42,61,55,62,35,20,452,773,471,442,472,597,698,743,455,148,4801
POA3264,30,24,8,14,25,17,37,17,7,188,347,222,232,220,262,359,298,204,105,2254
POA3265,53,42,31,29,37,42,29,17,9,298,576,342,312,294,412,463,277,114,40,2827
POA3266,41,45,32,27,41,34,27,22,12,283,530,345,309,272,419,443,354,264,111,3047
POA3267,0,0,0,0,0,12,4,3,0,17,28,21,23,17,28,48,23,12,4,214
POA3268,32,26,29,29,16,36,20,21,14,216,422,310,259,294,328,407,296,168,66,2552
POA3269,10,7,14,5,7,8,8,0,0,58,131,63,85,79,92,96,91,27,14,676
POA3270,6,0,0,0,8,4,6,6,0,24,53,18,31,29,39,61,51,33,6,322
POA3271,5,5,4,0,8,5,4,0,0,35,29,25,18,16,29,33,28,8,3,188
POA3272,22,14,18,21,25,20,29,10,6,164,296,145,165,157,189,245,243,144,64,1641
POA3273,0,3,0,0,0,3,0,0,0,12,15,23,8,4,22,32,15,10,0,130
POA3274,7,3,5,3,0,0,4,6,0,25,49,31,18,28,25,35,42,15,3,256
POA3275,16,8,5,5,9,0,3,0,3,55,103,79,62,60,80,55,44,7,3,490
POA3276,3,12,0,0,9,11,9,0,0,39,65,60,39,45,54,80,54,12,4,437
POA3277,24,15,18,10,17,28,32,17,0,168,358,189,215,212,243,259,227,89,26,1820
POA3278,7,4,7,6,5,3,7,0,0,38,68,28,43,37,59,46,30,16,7,343
POA3279,6,10,0,6,3,0,0,0,0,28,71,57,31,26,57,30,23,12,0,300
POA3280,584,378,319,396,354,305,250,204,128,2910,5752,3706,4326,3958,4113,4290,3832,2269,1049,33298
POA3281,25,10,0,15,20,11,14,3,0,105,425,206,153,259,288,248,199,74,14,1857
POA3282,33,28,19,20,21,27,20,15,3,182,492,245,274,283,313,369,318,155,43,2488
POA3283,17,18,13,8,15,9,21,4,5,119,269,149,133,155,205,238,205,58,6,1423
POA3284,63,18,33,24,35,42,60,36,23,333,678,282,285,431,432,532,686,368,166,3860
POA3285,11,25,4,9,24,23,8,10,0,108,229,132,84,150,198,198,183,68,9,1255
POA3286,15,6,5,5,0,5,10,0,0,40,85,51,40,55,63,91,95,36,13,532
POA3287,0,7,0,0,5,7,0,4,0,23,76,62,50,45,69,76,23,19,4,418
POA3289,14,7,0,4,8,16,9,0,0,65,142,77,57,83,105,149,125,47,30,804
POA3292,0,5,0,9,0,0,11,4,0,32,11,6,13,19,23,40,62,14,4,191
POA3293,6,0,0,0,3,3,0,3,0,29,57,35,24,38,51,57,51,21,3,336
POA3294,16,3,11,12,9,6,21,11,5,87,177,77,96,115,110,131,175,68,17,967
POA3300,160,100,96,90,80,89,92,90,56,856,1768,1157,1169,1066,1189,1388,1373,939,426,10479
POA3301,20,7,10,9,20,19,16,6,0,111,236,132,114,105,196,210,206,59,6,1267
POA3302,12,0,5,8,0,4,4,0,0,24,55,34,39,43,54,60,49,27,4,356
POA3303,6,4,7,6,0,4,4,3,5,36,41,27,35,34,59,34,27,14,7,282
POA3304,55,39,28,30,48,36,58,20,21,335,466,229,260,287,331,473,458,194,79,2786
POA3305,218,127,120,153,150,161,163,84,24,1204,2082,1383,1291,1416,1808,2126,1932,937,374,13344
POA3309,0,3,0,0,0,0,4,3,0,12,27,15,0,11,20,11,16,14,0,122
POA3310,4,0,0,3,0,4,4,3,0,24,22,20,16,26,31,71,54,30,3,263
POA3311,13,12,11,11,15,34,27,19,13,150,189,143,136,110,170,321,299,226,110,1707
POA3312,13,12,7,9,15,18,16,7,3,98,186,82,92,95,146,171,165,75,8,1023
POA3314,14,4,4,7,7,7,7,3,0,53,108,50,47,72,71,82,94,30,10,569
POA3315,37,12,11,21,23,17,27,13,4,166,254,155,126,168,207,306,265,131,80,1686
POA3317,4,5,3,3,4,4,0,4,5,26,29,19,15,17,35,32,22,18,7,184
POA3318,10,13,3,8,16,14,29,9,8,111,182,77,114,119,150,209,214,110,65,1243
POA3319,6,9,5,3,18,15,3,5,0,69,56,28,33,32,56,92,67,30,3,410
POA3321,36,9,7,9,18,20,11,3,0,116,437,191,157,265,268,252,151,53,7,1780
POA3322,0,0,0,0,5,0,0,3,0,10,27,12,18,14,19,35,29,22,5,176
POA3323,0,0,0,0,3,0,0,0,0,10,12,10,12,5,12,15,12,5,6,91
