POA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3049,4,0,28,36,13,85,3,48,7,223,16,56,78,54,48,83,31,52,9,429,100,242,182,97,159,70,57,78,20,1014,131,214,147,74,154,58,64,62,21,938,155,143,146,125,179,75,77,82,17,999,114,110,112,95,202,39,100,81,13,865,24,32,32,27,46,17,16,23,0,223,0,3,3,0,5,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,553,806,729,501,807,434,355,431,97,4710
POA3051,7,18,9,69,15,58,3,30,6,219,50,309,72,255,168,174,29,107,24,1193,311,1665,256,291,320,144,85,161,44,3283,304,896,118,107,177,56,39,48,27,1776,214,472,58,68,114,38,26,29,23,1035,111,253,45,43,70,16,22,46,9,611,40,86,3,14,20,9,3,10,0,185,5,11,0,0,0,3,0,0,0,18,0,4,0,0,0,0,0,0,0,4,1048,3692,558,852,896,503,209,441,136,8321
POA3052,11,52,10,174,48,87,0,109,9,499,30,239,49,221,126,131,9,78,15,896,102,659,110,115,146,61,25,64,20,1299,98,279,39,32,53,24,17,21,16,578,75,150,17,27,31,6,9,15,0,325,67,111,8,8,23,8,3,8,6,237,17,65,3,5,9,3,3,3,3,113,0,16,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,399,1574,242,587,431,319,70,290,62,3980
POA3053,0,29,16,116,21,101,3,64,9,357,65,496,127,397,211,276,61,141,40,1810,322,1853,307,394,394,188,111,194,62,3815,200,610,92,93,106,51,29,61,15,1258,124,238,49,60,52,23,29,44,10,625,75,171,12,33,41,18,18,23,10,409,36,89,6,9,18,10,0,3,3,176,9,12,6,0,4,0,0,0,0,34,0,3,0,0,0,0,0,0,0,3,833,3506,610,1109,853,663,244,529,147,8499
POA3054,0,3,4,34,5,36,0,14,0,96,25,167,35,183,108,87,9,33,15,666,223,988,151,165,190,96,18,22,37,1886,187,518,54,49,63,40,8,16,11,943,178,354,34,19,51,17,7,17,16,695,118,287,29,30,51,21,6,4,14,565,36,135,5,6,25,6,5,9,0,228,7,25,3,0,8,0,0,5,0,49,0,0,0,0,0,0,0,0,0,3,786,2492,310,479,500,307,58,118,92,5130
POA3055,4,8,19,50,3,70,9,46,0,205,32,178,101,203,129,159,32,80,7,930,334,1324,309,362,351,181,81,142,38,3129,394,941,163,119,237,60,59,77,28,2076,281,533,118,105,214,44,39,45,23,1405,133,331,79,66,130,26,33,47,19,863,35,80,14,22,41,8,8,21,4,228,5,9,0,3,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1224,3406,808,934,1110,549,262,462,116,8863
POA3056,0,19,14,50,15,88,11,58,4,261,74,376,152,430,216,259,41,133,28,1714,715,2992,542,600,644,288,105,195,96,6186,784,1908,247,190,388,112,52,92,53,3833,467,998,159,118,255,80,46,71,35,2226,235,562,99,84,184,55,35,70,16,1338,33,136,24,12,31,14,4,16,3,289,4,19,4,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,2310,7018,1242,1498,1743,900,299,636,232,15877
POA3057,0,6,9,38,8,38,3,37,0,137,38,211,64,170,95,122,18,59,7,788,488,1910,286,319,448,183,59,104,51,3835,455,1157,154,125,222,64,22,32,34,2271,297,458,88,59,132,34,25,33,21,1134,121,258,37,42,76,25,17,20,0,601,21,57,7,12,19,7,9,16,3,155,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1415,4062,645,759,1003,480,151,304,116,8945
POA3058,3,10,45,114,17,289,18,126,9,633,63,250,228,382,175,267,51,193,38,1649,505,2023,597,599,587,342,147,242,83,5122,951,2197,426,288,528,206,85,141,70,4901,745,1426,378,280,496,202,126,150,64,3869,295,647,208,179,343,125,119,144,43,2103,57,142,60,40,77,24,27,45,7,469,12,5,4,0,6,4,4,15,4,42,0,0,0,0,0,0,0,0,0,7,2621,6712,1947,1880,2233,1460,579,1052,316,18787
POA3059,10,16,62,52,34,221,11,105,12,515,47,189,190,140,150,189,67,73,36,1093,288,741,362,222,333,161,132,137,73,2444,417,579,303,189,344,139,147,133,41,2291,388,352,271,203,372,143,171,164,37,2100,255,232,212,133,325,136,166,130,36,1618,63,64,39,22,48,37,32,30,5,337,8,0,3,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,1474,2168,1442,960,1595,1025,719,778,254,10419
